#
# BUFR Code and Flag Table
# hand modified from BC_CodeFlagTable.xls file from AShimazaki@wmo.int Dec 01, 2009
#
SNo,FXY,CodeFigure,enDescription1,enDescription2,enDescription3
1,001003,0,Antarctica,,
2,001003,1,Region I,,
3,001003,2,Region II,,
4,001003,3,Region III,,
5,001003,4,Region IV,,
6,001003,5,Region V,,
7,001003,6,Region VI,,
8,001003,7,Missing value,,
9,001024,0,No wind speed data available,,
10,001024,1,AMSR-E data,,
11,001024,2,TMI data,,
12,001024,3,NWP: ECMWF,,
13,001024,4,NWP: UK Met Office,,
14,001024,5,NWP: NCEP,,
15,001024,6,Reference climatology,,
16,001024,7,ERS_Scatterometer,,
17,001024,8-30,Reserved for future use,,
18,001024,31,Missing value,,
19,001028,0,No AOD data available,,
20,001028,1,NESDIS,,
21,001028,2,NAVOCEANO,,
22,001028,3,NAAPS,,
23,001028,4,MERIS,,
24,001028,5,AATSR,,
25,001028,6-30,Reserved for future use,,
26,001028,31,Missing value,,
27,001029,0,No SSI data available,,
28,001029,1,MSG_SEVIRI,,
29,001029,2,GOES East,,
30,001029,3,GOES West,,
31,001029,4,ECMWF,,
32,001029,5,NCEP,,
33,001029,6,UK Met Office,,
34,001029,7-30,Reserved for future use,,
35,001029,31,Missing value,,
36,001036,0-036000,Reserved,,
37,001036,036001,"Australia, Bureau of Meteorology (BOM)",,
38,001036,036002,"Australia, Joint Australian Facility for Ocean Observing Systems (JAFOOS)",,
39,001036,036003,"Australia, the Commonwealth Scientific and Industrial Research Organisation (CSIRO)",,
40,001036,036004-124000,Reserved,,
41,001036,124001,"Canada, Marine Environmental Data Service (MEDS)",,
42,001036,124002,"Canada, Institute of Ocean Sciences (IOS)",,
43,001036,124003-156000,Reserved,,
44,001036,156001,"China, The State Oceanic Administration",,
45,001036,156002,"China, Second Institute of Oceanography State Oceanic Administration",,
46,001036,156003,"China, Institute of Ocean Technology",,
47,001036,156004-250000,Reserved,,
48,001036,250001,"France, Institut de Recherche pour le Développement (IRD)",,
49,001036,250002,"France, Institut Français de Recherche pour l'Exploitation de la mer (IFREMER)",,
50,001036,250003-276000,Reserved,,
51,001036,276001,"Germany, Bundesamt fuer Seeschiffahrt und Hydrographie (BSH)",,
52,001036,276002,"Germany, Institut fuer Meereskunde, Kiel",,
53,001036,276003-356000,Reserved,,
54,001036,356001,"India, National Institute of Oceanography (NIO)",,
55,001036,356002,"India, National Institute for Ocean Technology (NIOT)",,
56,001036,356003,"India, National Centre for Ocean Information Service",,
57,001036,356004-392000,Reserved,,
58,001036,392001,"Japan, Japan Meteorological Agency (JMA)",,
59,001036,392002,"Japan, Frontier Observational Research System for Global Change",,
60,001036,392003,"Japan, Japan Marine Science and Technology Centre (JAMSTEC)",,
61,001036,392004-410000,Reserved,,
62,001036,410001,"Republic of Korea, Seoul National University",,
63,001036,410002,"Republic of Korea, Korea Ocean Research and Development Institute  (KORDI)",,
64,001036,410003,"Republic of Korea, Meteorological Research Institute",,
65,001036,410004-540000,Reserved,,
66,001036,540001,"New Caledonia, Institut de Recherche pour le Développement (IRD)",,
67,001036,540002-554000,Reserved,,
68,001036,554001,"New Zealand, National Institute of Water and Atmospheric Research (NIWA)",,
69,001036,554002-64300,Reserved,,
70,001036,643001,"Russia, State Oceanographic Institute of Roshydromet",,
71,001036,643002,"Russia, Federal Service for Hydrometeorology and Environmental Monitoring",,
72,001036,643003-724000,Reserved,,
73,001036,724001,"Spain, Instituto Español de Oceanografia",,
74,001036,724002-826000,Reserved,,
75,001036,826001,"United Kingdom, Hydrographic Office",,
76,001036,826002,"United Kingdom, Southampton Oceanography Centre (SOC)",,
77,001036,826003-840000,Reserved,,
78,001036,840001,"USA, NOAA Atlantic Oceanographic and Meteorological Laboratories (AOML)",,
79,001036,840002,"USA, NOAA Pacific Marine Environmental Laboratories (PMEL)",,
80,001036,840003,"USA, Scripps Institution of Oceanography (SIO)",,
81,001036,840004,"USA, Woods Hole Oceanographic Institution (WHOI)",,
82,001036,840005,"USA, University of Washington",,
83,001036,840006,"USA, Naval Oceanographic Office",,
84,001036,840007-1048574,Reserved,,
85,001036,1048575,Missing value,,
86,001038,0,No sea ice set,,
87,001038,1,NSIDC SSM/I Cavalieri et al (1992),,
88,001038,2,AMSR-E,,
89,001038,3,ECMWF,,
90,001038,4,CMS (France) cloud mask used by Medspiration,,
91,001038,5,EUMETSAT OSI-SAF,,
92,001038,6-30,Reserved for future use,,
93,001038,31,Missing value,,
94,001090,0,Lagged-Average Forecasting (LAF),,
95,001090,1,Breeding,,
96,001090,2,Singular vectors,,
97,001090,3,Multiple analysis cycles,,
98,001090,4-191,Reserved,,
99,001090,192-254,Reserved for local use,,
100,001090,255,Missing value,,
101,001092,0,Unperturbed high-resolution control forecast,,
102,001092,1,Unperturbed low-resolution control forecast,,
103,001092,2,Negatively perturbed forecast,,
104,001092,3,Positively perturbed forecast,,
105,001092,4-191,Reserved,,
106,001092,192-254,Reserved for local use,,
107,001092,255,Missing value,,
108,001101,0-99,Reserved,,
109,001101,100,Algeria,,
110,001101,101,Angola,,
111,001101,102,Benin,,
112,001101,103,Botswana,,
113,001101,104,Burkina Faso,,
114,001101,105,Burundi,,
115,001101,106,Cameroon,,
116,001101,107,Cape Verde,,
117,001101,108,Central African Republic,,
118,001101,109,Chad,,
119,001101,110,Comoros,,
120,001101,111,Congo,,
121,001101,112,Cote d'Ivoire,,
122,001101,113,Democratic Republic of the Congo,,
123,001101,114,Djibouti,,
124,001101,115,Egypt,,
125,001101,116,Eritrea,,
126,001101,117,Ethiopia,,
127,001101,118,France (RA I),,
128,001101,119,Gabon,,
129,001101,120,Gambia,,
130,001101,121,Ghana,,
131,001101,122,Guinea,,
132,001101,123,Guinea-Bissau,,
133,001101,124,Kenya,,
134,001101,125,Lesotho,,
135,001101,126,Liberia,,
136,001101,127,Libyan Arab Jamahiriya,,
137,001101,128,Madagascar,,
138,001101,129,Malawi,,
139,001101,130,Mali,,
140,001101,131,Mauritania,,
141,001101,132,Mauritius,,
142,001101,133,Morocco,,
143,001101,134,Mozambique,,
144,001101,135,Namibia,,
145,001101,136,Niger,,
146,001101,137,Nigeria,,
147,001101,138,Portugal (RA I),,
148,001101,139,Rwanda,,
149,001101,140,Sao Tom and Prince,,
150,001101,141,Senegal,,
151,001101,142,Seychelles,,
152,001101,143,Sierra Leone,,
153,001101,144,Somalia,,
154,001101,145,South Africa,,
155,001101,146,Spain,,
156,001101,147,Sudan,,
157,001101,148,Swaziland,,
158,001101,149,Togo,,
159,001101,150,Tunisia,,
160,001101,151,Uganda,,
161,001101,152,United Kingdom of Great Britain and Northern Ireland (RA I),,
162,001101,153,United Republic of Tanzania,,
163,001101,154,Zambia,,
164,001101,155,Zimbabwe,,
165,001101,156-199,Reserved for Region I (Africa),,
166,001101,200,Afghanistan,,
167,001101,201,Bahrain,,
168,001101,202,Bangladesh,,
169,001101,203,Bhutan,,
170,001101,204,Cambodia,,
171,001101,205,China,,
172,001101,206,Democratic People's Republic of Korea,,
173,001101,207,"Hong Kong, China",,
174,001101,208,India,,
175,001101,209,"Iran, Islamic Republic of",,
176,001101,210,Iraq ,,
177,001101,211,Japan,,
178,001101,212,Kazakhstan,,
179,001101,213,Kuwait,,
180,001101,214,Kyrgyz Republic,,
181,001101,215,Lao People's Democratic Republic,,
182,001101,216,"Macao, China",,
183,001101,217,Maldives,,
184,001101,218,Mongolia,,
185,001101,219,Myanmar,,
186,001101,220,Nepal,,
187,001101,221,Oman,,
188,001101,222,Pakistan,,
189,001101,223,Qatar,,
190,001101,224,Republic of Korea,,
191,001101,225,Republic of Yemen,,
192,001101,226,Russian Federation (RA II),,
193,001101,227,Saudi Arabia,,
194,001101,228,Sri Lanka,,
195,001101,229,Tajikistan,,
196,001101,230,Thailand,,
197,001101,231,Turkmenistan,,
198,001101,232,United Arab Emirates,,
199,001101,233,Uzbekistan,,
200,001101,234,"Viet Nam, Socialist Republic of",,
201,001101,235-299,Reserved for Region II (Asia),,
202,001101,300,Argentina,,
203,001101,301,Bolivia,,
204,001101,302,Brazil,,
205,001101,303,Chile,,
206,001101,304,Colombia,,
207,001101,305,Ecuador,,
208,001101,306,France,,
209,001101,307,Guyana,,
210,001101,308,Paraguay ,,
211,001101,309,Peru,,
212,001101,310,Suriname,,
213,001101,311,Uruguay,,
214,001101,312,Venezuela,,
215,001101,313-399,Reserved for Region III (South America),,
216,001101,400,Antigua and Barbuda,,
217,001101,401,Bahamas,,
218,001101,402,Barbados ,,
219,001101,403,Belize,,
220,001101,404,British Caribbean Territories,,
221,001101,405,Canada,,
222,001101,406,Colombia,,
223,001101,407,Costa Rica,,
224,001101,408,Cuba,,
225,001101,409,Dominica,,
226,001101,410,Dominican Republic,,
227,001101,411,El Salvador,,
228,001101,412,France (RA IV),,
229,001101,413,Guatemala,,
