#
# BUFR Table D
# hand modified from B_TableD_LATEST.xls file from AShimazaki@wmo.int Dec 15, 2009
# mods:
# 1)
# 1932,07,307091,(BUFR template for surface observations from one-hour period with national and WMO station identification),302175,"Intensity of precipitation, size of precipitation element",Operational
# should be:
# 1932,07,307091,(BUFR template for surface observations from one-hour period with national and WMO station identification),302075,"Intensity of precipitation, size of precipitation element",Operational
# 
#
SNo,Category,FXY1,enElementName1,FXY2,enElementName2,Status
1,00,300002,,000002,"Table A category, line 1",Operational
2,00,300002,,000003,"Table A category, line 2",Operational
3,00,300003,,000010,"F,  part descriptor",Operational
4,00,300003,,000011,"X,  part descriptor",Operational
5,00,300003,,000012,"Y,  part descriptor",Operational
6,00,300004,,300003,,Operational
7,00,300004,,000013,"Element name, line 1",Operational
8,00,300004,,000014,"Element name, line 2",Operational
9,00,300004,,000015,Units name,Operational
10,00,300004,,000016,Units scale sign,Operational
11,00,300004,,000017,Units scale,Operational
12,00,300004,,000018,Units reference sign,Operational
13,00,300004,,000019,Units reference value,Operational
14,00,300004,,000020,Element data width,Operational
15,00,300010,,300003,Table D descriptor to be defined,Operational
16,00,300010,,101000,Delayed replication of 1 descriptor,Operational
17,00,300010,,031001,Delayed descriptor replication factor,Operational
18,00,300010,,000030,Descriptor defining sequence,Operational
19,01,301001,,001001,WMO block number,Operational
20,01,301001,,001002,WMO station number,Operational
21,01,301002,,001003,WMO Region number,Operational
22,01,301002,,001004,WMO Region sub-area,Operational
23,01,301002,,001005,Buoy/platform identifier,Operational
24,01,301003,,001011,Ship's call sign,Operational
25,01,301003,,001012,Direction of motion of moving observing platform,Operational
26,01,301003,,001013,Speed of motion of moving observing platform,Operational
27,01,301004,(Surface station identification),001001,WMO block number,Operational
28,01,301004,(Surface station identification),001002,WMO station number,Operational
29,01,301004,(Surface station identification),001015,Station or site name,Operational
30,01,301004,(Surface station identification),002001,Type of station,Operational
31,01,301005,(Origin and identification sequence),001035,Originating centre,Operational
32,01,301005,(Origin and identification sequence),001034,Identification of originating/generating sub-centre,Operational
33,01,301011,,004001,Year,Operational
34,01,301011,,004002,Month,Operational
35,01,301011,,004003,Day,Operational
36,01,301012,,004004,Hour,Operational
37,01,301012,,004005,Minute,Operational
38,01,301013,,004004,Hour,Operational
39,01,301013,,004005,Minute,Operational
40,01,301013,,004006,Second,Operational
41,01,301014,(Time period),102002,Replication of 2 descriptors 2 times,Operational
42,01,301014,(Time period),301011,"Year, Month, Day",Operational
43,01,301014,(Time period),301012,"Hour, Minute",Operational
44,01,301021,,005001,Latitude (high accuracy),Operational
45,01,301021,,006001,Longitude (high accuracy),Operational
46,01,301022,,005001,Latitude (high accuracy),Operational
47,01,301022,,006001,Longitude (high accuracy),Operational
48,01,301022,,007001,Height of station,Operational
49,01,301023,,005002,Latitude (coarse accuracy),Operational
50,01,301023,,006002,Longitude (coarse accuracy),Operational
51,01,301024,,005002,Latitude (coarse accuracy),Operational
52,01,301024,,006002,Longitude (coarse accuracy),Operational
53,01,301024,,007001,Height of station,Operational
54,01,301025,,301023,Latitude and longitude (coarse accuracy),Operational
55,01,301025,,004003,Day,Operational
56,01,301025,,301012,Time,Operational
57,01,301026,,301021,Latitude and longitude (high accuracy),Operational
58,01,301026,,004003,(Time period in days),Operational
59,01,301026,,004003,(Time period in days),Operational
60,01,301026,,004004,(Time period in hours),Operational
61,01,301026,,004004,(Time period in hours),Operational
62,01,301026,,004005,(Time period in minutes),Operational
63,01,301026,,004005,(Time period in minutes),Operational
64,01,301027,(Description of a feature in 3-D or 2-D),008007,"Dimensional significance, 0=Point, 1=Line, 2=Area, 3=Volume",Operational
65,01,301027,(Description of a feature in 3-D or 2-D),101000,Delayed replication of 1 descriptor,Operational
66,01,301027,(Description of a feature in 3-D or 2-D),031001,Replication factor,Operational
67,01,301027,(Description of a feature in 3-D or 2-D),301028,Description of horizontal section,Operational
68,01,301027,(Description of a feature in 3-D or 2-D),008007,"Dimensional significance, Missing=Cancel",Operational
69,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",008040,Flight level significance,Operational
70,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",033042,Type of limit represented by following (flight level) value,Operational
71,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",007010,Flight level,Operational
72,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",101000,Delayed replication of 1 descriptor,Operational
73,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",031002,Extended replication factor (see Note 6),Operational
74,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",301023,Location,Operational
75,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",019007,Radius of feature (see Note 7),Operational
76,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",008040,"Flight level significance, Missing=Cancel",Operational
77,01,301031,,301001,WMO block and station number,Operational
78,01,301031,,002001,Type of station,Operational
79,01,301031,,301011,Date,Operational
80,01,301031,,301012,Time,Operational
81,01,301031,,301022,"Latitude and longitude (high  accuracy), height of station",Operational
82,01,301032,,301001,WMO block and station number,Operational
83,01,301032,,002001,Type of station,Operational
84,01,301032,,301011,Date,Operational
85,01,301032,,301012,Time,Operational
86,01,301032,,301024,"Latitude and longitude (coarse accuracy), height of station",Operational
87,01,301033,(Buoy/platform - fixed),001005,Buoy/platform identifier,Operational
88,01,301033,(Buoy/platform - fixed),002001,Type of station,Operational
89,01,301033,(Buoy/platform - fixed),301011,Date,Operational
90,01,301033,(Buoy/platform - fixed),301012,Time,Operational
91,01,301033,(Buoy/platform - fixed),301021,Latitude and longitude (high accuracy),Operational
92,01,301034,(Buoy/platform - fixed),001005,Buoy/platform identifier,Operational
93,01,301034,(Buoy/platform - fixed),002001,Type of station,Operational
94,01,301034,(Buoy/platform - fixed),301011,Date,Operational
95,01,301034,(Buoy/platform - fixed),301012,Time,Operational
96,01,301034,(Buoy/platform - fixed),301023,Latitude and longitude (coarse accuracy),Operational
