.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
|----------|--------|----------------------------------------------------------|
|          |        |                                                          |
| NC004001 | A63231 | MSG TYPE 004-001  AIREP                                  |
| NC004002 | A63232 | MSG TYPE 004-002  PIREP                                  |
| NC004003 | A63233 | MSG TYPE 004-003  ASDAR/ACARS in AMDAR                   |
| NC004004 | A63234 | MSG TYPE 004-004  MDCRS ACARS (ARINC to NCEP)            |
| NC004005 | A63235 | MSG TYPE 004-005  RECCO                                  |
| NC004006 | A55200 | MSG TYPE 004-006  Europe ASDAR/ACARS in BUFR (E-ADAS)    |
| NC004007 | A55201 | MSG TYPE 004-007  MDCRS ACARS (ARINC to AFWA to NCEP)    |
| NC004008 | A55202 | MSG TYPE 004-008  TAMDAR from MADIS (Mesaba)             |
| NC004009 | A55203 | MSG TYPE 004-009  Canada ASDAR/ACARS in BUFR             |
| NC004010 | A55204 | MSG TYPE 004-010  TAMDAR direct from AirDat in BUFR      |
| NC004011 | A55205 | MSG TYPE 004-011  Korea ASDAR/ACARS in BUFR              |
| NC004012 | A55206 | MSG TYPE 004-012  TAMDAR from MADIS (PenAir)             |
| NC004013 | A55207 | MSG TYPE 004-013  TAMDAR from MADIS (Chautauqua)         |
| NC004014 | A55208 | MSG TYPE 004-014  France ASDAR/ACARS in BUFR             |
|          |        |                                                          |
| YYMMDD   | 301011 | DATE -- YEAR, MONTH, DAY                                 |
| HHMM     | 301012 | TIME -- HOUR, MINUTE                                     |
| HHMMSS   | 301013 | TIME -- HOUR, MINUTE, SECOND                             |
| LTLONH   | 301021 | HIGH ACCURACY LATITUDE/LONGITUDE POSITION                |
|          |        |                                                          |
| BID      | 352001 | BULLETIN ID DATA                                         |
| RAWRPT   | 352002 | RAW REPORT                                               |
| RCPTIM   | 352003 | REPORT RECEIPT TIME DATA                                 |
| FILENAME | 352004 | FILE NAME SEQUENCE                                       |
|          |        |                                                          |
| ACRID    | 362015 | ACARS REPORT ID DATA                                     |
| ACSUP    | 362016 | ACARS SUPPLEMENTARY DATA                                 |
| ACTRB    | 362017 | ACARS TURBULENCE DATA                                    |
| ACMST    | 362018 | ACARS MOISTURE DATA                                      |
|          |        |                                                          |
| AFRID    | 362030 | AIRCRAFT REPORT ID DATA                                  |
| AFTMP    | 362032 | AIRCRAFT TEMPERATURE DATA                                |
| AFWND    | 362033 | AIRCRAFT WIND DATA                                       |
| AFMST    | 362034 | AIRCRAFT MOISTURE DATA                                   |
| AFICG    | 362035 | AIRCRAFT ICING DATA                                      |
| AFCLD    | 362036 | AIRCRAFT CLOUD DATA                                      |
| APTRB    | 362037 | PIREP TURBULENCE DATA                                    |
| APPWX    | 362038 | PIREP PRESENT WEATHER DATA                               |
| ARPHT    | 362039 | RECCO MANDATORY LEVEL PRESSURE/HEIGHT DATA               |
| ARSWD    | 362040 | RECCO SURFACE WIND DATA                                  |
| ADSUP    | 362041 | AMDAR SUPPLEMENTARY DATA                                 |
|          |        |                                                          |
