fxy, count, header, center 
'0-0-1', 2, JSMT44 KWBC, 7.0 (US National Weather Service (NCEP)) 
'0-0-2', 4, JSMF17 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-3', 3, JSMF15 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-4', 2, JSML35 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-5', 3, JSMT37 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-6', 2, JSMT36 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-7', 2, JSMT35 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-8', 2, JSMT32 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-9', 1, JSMF13 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-10', 2, JSMT34 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-11', 2, JSMT31 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-12', 1, JSML33 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-17', 1, JSMT33 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-0-18', 1, JSMT33 KWNO, 7.0 (US National Weather Service (NCEP)) 
'0-1-1', 27, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-1-2', 27, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-1-3', 1, IUKD12 EDZW, 255.0 (Unknown center=255) 
'0-1-6', 2, IUAA01 CWAO, 53.0 (Montreal (RSMC)) 
'0-1-7', 20, IUCI64 SBBR, 46.0 (Brazilian Space Agency ? INPE) 
'0-1-8', 5, IUAA01 CWAO, 53.0 (Montreal (RSMC)) 
'0-1-11', 5, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-1-12', 9, ISZD59 EUSR, 210.1 (Frascati (ESA/ESRIN)) 
'0-1-15', 1, ISAI01 SBBR, 255.0 (Unknown center=255) 
'0-1-18', 3, IUPT42 KBOU, 59.0 (The NOAA Forecast Systems Laboratory) 
'0-1-22', 3, JUVE00 KKCI, 7.0 (US National Weather Service (NCEP)) 
'0-1-23', 2, IUAC01 RKSL, 40.0 (Seoul) 
'0-1-25', 1, ISXA40 KWNO, 7.3 (NCEP /  Central Operations) 
'0-1-26', 3, JUVE00 KKCI, 7.0 (US National Weather Service (NCEP)) 
'0-1-31', 54, IUCI64 SBBR, 46.0 (Brazilian Space Agency ? INPE) 
'0-1-32', 60, IUCI64 SBBR, 46.0 (Brazilian Space Agency ? INPE) 
'0-1-33', 12, ISZA01 LFPW, 85.0 (Toulouse (RSMC)) 
'0-1-34', 9, ISZD59 EUSR, 210.1 (Frascati (ESA/ESRIN)) 
'0-1-41', 11, ISZD59 EUSR, 210.1 (Frascati (ESA/ESRIN)) 
'0-1-42', 11, ISZD59 EUSR, 210.1 (Frascati (ESA/ESRIN)) 
'0-1-43', 11, ISZD59 EUSR, 210.1 (Frascati (ESA/ESRIN)) 
'0-1-50', 1, IUTD14 EKMI, 94.0 (Copenhagen) 
'0-1-63', 34, JSMT71 KWNH, 7.0 (US National Weather Service (NCEP)) 
'0-1-101', 1, ISAI01 SBBR, 255.0 (Unknown center=255) 
'0-1-102', 1, ISAI01 SBBR, 255.0 (Unknown center=255) 
'0-1-194', 1, ISXT40 KBOU, 59.0 (The NOAA Forecast Systems Laboratory) 
'0-1-198', 1, JUSA41 KWNO, 7.3 (NCEP /  Central Operations) 
'0-1-205', 2, JUSA41 KWBC, 7.3 (NCEP /  Central Operations) 
'0-2-1', 4, ISAI01 SBBR, 255.0 (Unknown center=255) 
'0-2-3', 10, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-2-5', 2, IUAA01 CWAO, 53.0 (Montreal (RSMC)) 
'0-2-11', 23, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-2-12', 14, IUST51 KWBC, 7.0 (US National Weather Service (NCEP)) 
'0-2-13', 9, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-2-14', 9, IUPE01 SBBR, 255.0 (Unknown center=255) 
'0-2-19', 1, IUTD14 EKMI, 94.0 (Copenhagen) 
'0-2-20', 6, IUCI64 SBBR, 46.0 (Brazilian Space Agency ? INPE) 
'0-2-21', 10, ISZD59 EUSR, 210.1 (Frascati (ESA/ESRIN)) 
'0-2-22', 1, IUTX01 KNES, 7.3 (NCEP /  Central Operations) 
'0-2-23', 6, IUCI64 SBBR, 46.0 (Brazilian Space Agency ? INPE) 
'0-2-28', 4, JFCX01 KNES, 160.0 (US NOAA/NESDIS) 
'0-2-29', 4, JFCX01 KNES, 160.0 (US NOAA/NESDIS) 
'0-2-38', 1, ISAI01 SBBR, 255.0 (Unknown center=255) 
'0-2-48', 2, ISZA01 LFPW, 85.0 (Toulouse (RSMC)) 
'0-2-49', 1, JUTX07 KNES, 7.0 (US National Weather Service (NCEP)) 
'0-2-50', 1, JUTX07 KNES, 7.0 (US National Weather Service (NCEP)) 
'0-2-53', 4, JUTX07 KNES, 7.0 (US National Weather Service (NCEP)) 
'0-2-54', 4, JUTX07 KNES, 7.0 (US National Weather Service (NCEP)) 
'0-2-57', 4, JFCX01 KNES, 160.0 (US NOAA/NESDIS) 
'0-2-61', 2, IUAA01 CWAO, 53.0 (Montreal (RSMC)) 
'0-2-62', 2, IUAA01 CWAO, 53.0 (Montreal (RSMC)) 
'0-2-64', 5, IUAA01 CWAO, 53.0 (Montreal (RSMC)) 
'0-2-121', 4, ISZA01 LFPW, 85.0 (Toulouse (RSMC)) 
'0-2-134', 1, IUPT42 KBOU, 59.0 (The NOAA Forecast Systems Laboratory) 
'0-2-135', 1, IUPT42 KBOU, 59.0 (The NOAA Forecast Systems Laboratory) 
'0-2-152', 5, IUCI64 SBBR, 46.0 (Brazilian Space Agency ? INPE) 
