header, nMess, nObs, Kbytes, hash, center, table, edition, category 
ISXX03 KNES, 61573, 4306521, 30923, 0x1d9f3c71, 160.0 (US NOAA/NESDIS), 0.6.1, 3, Surface data (satellite) (12.137.0) 
IUCI64 SBBR, 2684, 2030630, 24637, 0xe4ee0be, 46.0 (Brazilian Space Agency ? INPE), 0.12.0, 3, Single level upper-air data (satellite) (5.0.0) 
JFCX01 KNES, 5669, 1334038, 44209, 0xa7ed08f5, 160.0 (US NOAA/NESDIS), 0.10.0, 3, Single level upper-air data (satellite) (5.87.0) 
JUSA41 KWNO, 155612, 881877, 1333065, 0x4dfbbfba, 7.3 (NCEP /  Central Operations), 0.12.0, 3, FOR EXPERIMENTAL USE (241.0.0) 
JUSA41 KWBC, 60945, 744005, 487232, 0x789df846, 7.3 (NCEP /  Central Operations), 0.12.0, 3, FOR EXPERIMENTAL USE (243.0.0) 
JSMF15 KWNO, 122, 522975, 29773, 0x5601ff18, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMF14 KWNO, 75, 474100, 27845, 0x5641a138, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMF13 KWNO, 34, 373225, 21741, 0x56c0e578, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JUTX07 KNES, 5948, 337640, 107518, 0x4d1c5a4a, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Vertical soundings (satellite) (3.0.0) 
IUTX01 KNES, 7869, 231597, 78631, 0xe4104e, 7.3 (NCEP /  Central Operations), 0.4.0, 3, Vertical soundings (satellite) (3.104.0) 
IUCN51 RJTD, 414, 203555, 5574, 0xdf7174ae, 34.0 (Tokyo (RSMC)  Japan Meteorological Agency), 0.8.0, 3, Single level upper-air data (satellite) (5.0.0) 
ISZA01 LFPW, 601, 146880, 6040, 0xd122b920, 85.0 (Toulouse (RSMC)), 0.11.0, 3, Surface data (satellite) (12.0.0) 
ISXT40 KBOU, 548, 133713, 4396, 0xc4dc2310, 59.0 (The NOAA Forecast Systems Laboratory), 0.3.3, 3, Surface data (satellite) (12.0.0) 
JSML35 KWNO, 25, 127494, 7834, 0xa619aff8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSML33 KWNO, 10, 122202, 8181, 0xc60fbb08, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMF17 KWNO, 43, 118025, 7204, 0x55e22e08, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
