#
# BUFR local only from C:/dev/tds/thredds/bufrTables/src/main/sources/archive/B4L-058-013-B.diff 
#
Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits
1,1192,"Receiving circuit",CCITT_IA5,0,0,24
1,1193,"Global octant",Code_Table,0,0,4
1,1194,"Beam position",Numeric,0,0,4
1,1195,"Decimal point value (dp)",Numeric,0,0,4
1,1196,"Observation number",CCITT_IA5,0,0,64
1,1197,"Runway number",Numeric,0,0,6
1,1198,"Marsden square number",Code_Table,0,0,10
1,1199,"nature of mission",CCITT_IA5,0,0,64
1,1200,"Radar Capability indicator (XXX)",Code_Table,0,0,2
1,1201,"Country or agency that operates the satellite",Code_Table,0,0,8
1,1203,"Satellite name",CCITT_IA5,0,0,16
1,1204,"Satellite series",CCITT_IA5,0,0,16
1,1206,"TOVS generating center name",CCITT_IA5,0,0,32
1,1207,"File name",CCITT_IA5,0,0,72
1,1208,"Satellite data type",Code_Table,0,0,4
1,1209,"Observation type for MCSST",Code_Table,0,0,8
1,1210,"Observation source",Code_Table,0,0,7
1,1211,"Beam position",Numeric,0,0,5
1,1212,"Data processing block number",Numeric,0,0,24
1,1213,"Tip source type identifier",Code_Table,0,0,3
1,1214,"Header originator",CCITT_IA5,0,0,32
1,1215,"Bulletin header update or correction indicator",CCITT_IA5,0,0,48
1,1216,"Engineering status",Numeric,0,0,14
1,1217,"Satellite number",Numeric,0,0,5
1,1218,"Sequence (report) type",CCITT_IA5,0,0,176
1,1219,"Mission number",CCITT_IA5,0,0,40
1,1220,"Observation number",Numeric,0,0,7
1,1221,"Surface type",Code_Table,0,0,8
1,1222,"Report modifier",CCITT_IA5,0,0,32
1,1223,"Runway parallel indicator",Code_Table,0,0,3
1,1224,"Terrain code identifier",Code_Table,0,0,5
2,2192,"Wind units source ID",Code_Table,0,0,2
2,2193,"satellite channels used in computation",Numeric,0,0,20
2,2194,"satellite channels used in computation",Numeric,0,0,15
2,2195,"Reason for no report OR ground equipment",Code_Table,0,0,4
2,2196,"Type of thermodynamic sensing equipment (eTeT)",Code_Table,0,0,7
2,2197,"Correction technique (cT, cw)",Code_Table,0,0,3
2,2198,"Data reduction method (mr)",Code_Table,0,0,4
2,2199,"grp_pos_ind",Numeric,0,0,4
2,2200,"Indicator for frequency or wave number (Ia)",Code_Table,0,0,3
2,2201,"Type of rocket motor (rm)",Code_Table,0,0,3
2,2202,"Type of wind sensing equipment (ewew)",Code_Table,0,0,7
2,2203,"Method of determining direction of moving platform",Code_Table,0,0,3
2,2204,"Method of determining speed of moving platform",Code_Table,0,0,3
2,2205,"Ozone flag",Code_Table,0,0,3
2,2206,"Algorithm identifier",Code_Table,0,0,4
2,2207,"Equation identifier",Code_Table,0,0,5
2,2208,"Type of method for measuring pressure",Code_Table,0,0,2
2,2209,"Xbt instrument type (IxIxIx)",Code_Table,0,0,10
2,2210,"Recorder type (XRXR)",Code_Table,0,0,7
2,2211,"Sensor status flag",Flag_Table,0,0,8
2,2212,"Maintenance Check flag",Flag_Table,0,0,2
2,2213,"satellite channels used in computation",Numeric,0,0,5
4,4192,"Precipitation time period (tR)",Code_Table,0,0,4
4,4193,"Last time that this observation record was",Numeric,0,0,31
4,4206,"GMT seconds",s,3,0,27
5,5192,"Image line number",Numeric,0,0,3
5,5193,"Image sample number",Numeric,0,0,4
5,5194,"Orbit number",Numeric,0,0,14
5,5195,"six decimal pt latitude",deg,6,-90000000,28
5,5196,"Orbit number",Numeric,0,0,16
5,5197,"Frame number",Numeric,0,0,8
5,5198,"Orbit number",Numeric,0,0,24
5,5199,"Orbit number",Numeric,0,0,20
6,6192,"six decimal pt longitude",deg,6,-180000000,29
7,7192,"Local zenith angle",deg,2,0,13
7,7196,"Station height precision",Code_Table,0,0,4
7,7197,"Solar zenith angle",deg,1,0,11
