#
# BUFR Table B
# hand modified from BC_TableB.xls file from AShimazaki@wmo.int Dec 01, 2009
#
Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth
0,1,Table A: entry,CCITT IA5,0,0,24,Character,0,3
0,2,"Table A: data category description, line 1",CCITT IA5,0,0,256,Character,0,32
0,3,"Table A: data category description, line 2",CCITT IA5,0,0,256,Character,0,32
0,4,BUFR/CREX Master table (see Note 1),CCITT IA5,0,0,16,Character,0,2
0,5,BUFR/CREX edition number,CCITT IA5,0,0,24,Character,0,3
0,6,BUFR Master table Version number (see Note 2),CCITT IA5,0,0,16,Character,0,2
0,7,CREX Master table version number (see Note 3),CCITT IA5,0,0,16,Character,0,2
0,8,BUFR Local table version number (see Note 4),CCITT IA5,0,0,16,Character,0,2
0,10,F descriptor to be added or defined,CCITT IA5,0,0,8,Character,0,1
0,11,X descriptor to be added or defined,CCITT IA5,0,0,16,Character,0,2
0,12,Y descriptor to be added or defined,CCITT IA5,0,0,24,Character,0,3
0,13,"Element name, line 1",CCITT IA5,0,0,256,Character,0,32
0,14,"Element name, line 2",CCITT IA5,0,0,256,Character,0,32
0,15,Units name,CCITT IA5,0,0,192,Character,0,24
0,16,Units scale sign,CCITT IA5,0,0,8,Character,0,1
0,17,Units scale,CCITT IA5,0,0,24,Character,0,3
0,18,Units reference sign,CCITT IA5,0,0,8,Character,0,1
0,19,Units reference value,CCITT IA5,0,0,80,Character,0,10
0,20,Element data width,CCITT IA5,0,0,24,Character,0,3
0,30,Descriptor defining sequence,CCITT IA5,0,0,48,Character,0,6
1,1001,WMO block number,Numeric,0,0,7,Numeric,0,2
1,1002,WMO station number,Numeric,0,0,10,Numeric,0,3
1,1003,WMO Region number/geographical area,Code table,0,0,3,Code table,0,1
1,1004,WMO Region sub-area (see Note 9),Numeric,0,0,3,Numeric,0,1
1,1005,Buoy/platform identifier,Numeric,0,0,17,Numeric,0,5
1,1006,Aircraft flight number,CCITT IA5,0,0,64,Character,0,8
1,1007,Satellite identifier,Code table,0,0,10,Code table,0,4
1,1008,Aircraft registration number or other identification,CCITT IA5,0,0,64,Character,0,8
1,1009,Type of commercial aircraft,CCITT IA5,0,0,64,Character,0,8
1,1010,Stationary buoy platform identifier; e.g. C-MAN buoys,CCITT IA5,0,0,64,Character,0,8
1,1011,Ship or mobile land station identifier,CCITT IA5,0,0,72,Character,0,9
1,1012,Direction of motion of moving observing platform*,Degree true,0,0,9,Degree true,0,3
1,1013,Speed of motion of moving observing platform??*,m s-1,0,0,10,m s-1,0,3
1,1014,Platform drift speed (high precision),m s-1,2,0,10,m s-1,2,4
1,1015,Station or site name,CCITT IA5,0,0,160,Character,0,20
1,1018,Short station or site name,CCITT IA5,0,0,40,Character,0,5
1,1019,Long Station or site name,CCITT IA5,0,0,256,Character,0,32
1,1020,WMO Region sub-area,Numeric,0,0,4,Numeric,0,2
1,1021,Synoptic feature identifier,Numeric,0,0,14,Numeric,0,4
1,1022,Name of feature (see Note 11),CCITT IA5,0,0,224,Character,0,28
1,1023,Observation sequence number,Numeric,0,0,9,Numeric,0,3
1,1024,Wind Speed source,Code table,0,0,5,Code table,0,2
1,1025,Storm identifier (see Note 1),CCITT IA5,0,0,24,Character,0,3
1,1026,WMO storm name*,CCITT IA5,0,0,64,Character,0,8
1,1027,WMO long storm name*,CCITT IA5,0,0,80,Character,0,10
1,1028,Aerosol optical Depth (AOD) source,Code table,0,0,5,Code table,0,2
1,1029,SSI Source,Code table,0,0,5,Code table,0,2
1,1030,Numerical model identifier (see Note 13),CCITT IA5,0,0,128,Character,0,16
1,1031,Identification of originating/generating centre (see Note 10),Code table,0,0,16,Code table,0,5
1,1032,Generating application,"Code table defined by originating/generating centre (Notes 3, 4 and 5)",0,0,8,Code table,0,3
1,1033,Identification of originating/generating centre,Common Code table C-1,0,0,8,Common Code table C-1,0,3
1,1034,Identification of originating/generating sub-centre,Common Code table C-12,0,0,8,Common Code table C-12,0,3
1,1035,Originating Centre,Common Code Table C-11,0,0,16,Common Code Table C-11,0,5
1,1036,Agency in charge of operating the observing platform,Code table,0,0,20,Code table,0,7
1,1037,SIGMET sequence identifier,CCITT IA5,0,0,24,Character,0,3
1,1038,Source of Sea Ice Fraction,Code table,0,0,5,Code table,0,2
1,1039,Graphical Area Forecast (GFA) sequence identifier,CCITT IA5,0,0,40,Character,0,5
1,1041,Absolute platform velocity - first component (see Note 6),m s-1,5,-1073741824,31,m s-1,5,10
1,1042,Absolute platform velocity - second component  (see Note 6),m s-1,5,-1073741824,31,m s-1,5,10
1,1043,Absolute platform velocity - third component  (see Note 6),m s-1,5,-1073741824,31,m s-1,5,10
1,1050,Platform transmitter ID number,Numeric,0,0,17,Numeric,0,6
1,1051,Platform transmitter ID number,CCITT IA5,0,0,96,Character,0,12
1,1060,Aircraft reporting point (Beacon identifier),CCITT IA5,0,0,64,Character,0,8
1,1062,Short ICAO location indicator,CCITT IA5,0,0,32,Character,0,4
1,1063,ICAO location indicator,CCITT IA5,0,0,64,Character,0,8
1,1064,Runway designator,CCITT IA5,0,0,32,Character,0,4
1,1065,ICAO region identifier,CCITT IA5,0,0,256,Character,0,32
1,1075,Tide station identification,CCITT IA5,0,0,40,Character,0,5
1,1080,Ship line number according to SOOP,CCITT IA5,0,0,32,Character,0,4
1,1081,Radiosonde serial number,CCITT IA5,0,0,160,Character,0,20
1,1082,Radiosonde ascension number (see Note 12),Numeric,0,0,14,Numeric,0,4
1,1083,Radiosonde release number (see Note 12),Numeric,0,0,3,Numeric,0,1
1,1085,Observing platform manufacturer's model,CCITT IA5,0,0,160,Character,0,20
1,1086,Observing platform manufacturer's serial number,CCITT IA5,0,0,256,Character,0,32
1,1087,WMO Marine observing platform extended identifier,Numeric,0,0,23,Numeric,0,7
1,1090,Technique for making up initial perturbations,Code table,0,0,8,Code table,0,3
1,1091,Ensemble member number,Numeric,0,0,10,Numeric,0,4
1,1092,Type of ensemble forecast,Code table,0,0,8,Code table,0,3
1,1093,Balloon lot number,CCITT IA5,0,0,96,Character,0,12
1,1094,WBAN Number,Numeric,0,0,17,Numeric,0,5
1,1095,Observer identification,CCITT IA5,0,0,32,Character,0,4
1,1096,Station acquisition,CCITT IA5,0,0,160,Character,0,20
1,1101,State identifier,Code table,0,0,10,Code table,0,3
1,1102,National station number,Numeric,0,0,30,Numeric,0,9
1,1124,Grid point identifier,Numeric,0,0,24,Numeric,0,8
1,1144,Snapshot identifier,Numeric,0,0,31,Numeric,0,10
2,2001,Type of station,Code table,0,0,2,Code table,0,1
2,2002,Type of instrumentation for wind measurement,Flag table,0,0,4,Flag table,0,2
2,2003,Type of measuring equipment used,Code table,0,0,4,Code table,0,2
2,2004,Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported,Code table,0,0,4,Code table,0,2
2,2005,Precision of temperature observation,K,2,0,7,K,2,3
2,2011,Radiosonde type,Code table,0,0,8,Code table,0,3
2,2012,Radiosonde computational method,Code table,0,0,4,Code table,0,2
2,2013,Solar and infrared radiation correction,Code table,0,0,4,Code table,0,2
2,2014,Tracking technique/status of system used,Code table,0,0,7,Code table,0,3
2,2015,Radiosonde completeness,Code table,0,0,4,Code table,0,2
2,2016,Radiosonde configuration,Flag table,0,0,5,Flag table,0,2
2,2019,Satellite instruments,Code table,0,0,11,Code table,0,4
2,2020,Satellite classification,Code table,0,0,9,Code table,0,3
