#
# BUFR Table D
# hand modified from B_TableD.xls file from AShimazaki@wmo.int Dec 01, 2009
#
SNo,Category,FXY1,enElementName1,FXY2,enElementName2
1,00,300002,,000002,"Table A category, line 1"
2,00,300002,,000003,"Table A category, line 2"
3,00,300003,,000010,"F,  part descriptor"
4,00,300003,,000011,"X,  part descriptor"
5,00,300003,,000012,"Y,  part descriptor"
6,00,300004,,300003,
7,00,300004,,000013,"Element name, line 1"
8,00,300004,,000014,"Element name, line 2"
9,00,300004,,000015,Units name
10,00,300004,,000016,Units scale sign
11,00,300004,,000017,Units scale
12,00,300004,,000018,Units reference sign
13,00,300004,,000019,Units reference value
14,00,300004,,000020,Element data width
15,00,300010,,300003,Table D descriptor to be defined
16,00,300010,,101000,Delayed replication of 1 descriptor
17,00,300010,,031001,Delayed descriptor replication factor
18,00,300010,,000030,Descriptor defining sequence
19,01,301001,,001001,WMO block number
20,01,301001,,001002,WMO station number
21,01,301002,,001003,WMO Region number
22,01,301002,,001004,WMO Region sub-area
23,01,301002,,001005,Buoy/platform identifier
24,01,301003,,001011,Ship's call sign
25,01,301003,,001012,Direction of motion of moving observing platform
26,01,301003,,001013,Speed of motion of moving observing platform
27,01,301004,(Surface station identification),001001,WMO block number
28,01,301004,(Surface station identification),001002,WMO station number
29,01,301004,(Surface station identification),001015,Station or site name
30,01,301004,(Surface station identification),002001,Type of station
31,01,301005,(Origin and identification sequence),001035,Originating centre
32,01,301005,(Origin and identification sequence),001034,Identification of originating/generating sub-centre
33,01,301011,,004001,Year
34,01,301011,,004002,Month
35,01,301011,,004003,Day
36,01,301012,,004004,Hour
37,01,301012,,004005,Minute
38,01,301013,,004004,Hour
39,01,301013,,004005,Minute
40,01,301013,,004006,Second
41,01,301014,(Time period),102002,Replication of 2 descriptors 2 times
42,01,301014,(Time period),301011,"Year, Month, Day"
43,01,301014,(Time period),301012,"Hour, Minute"
44,01,301021,,005001,Latitude (high accuracy)
45,01,301021,,006001,Longitude (high accuracy)
46,01,301022,,005001,Latitude (high accuracy)
47,01,301022,,006001,Longitude (high accuracy)
48,01,301022,,007001,Height of station
49,01,301023,,005002,Latitude (coarse accuracy)
50,01,301023,,006002,Longitude (coarse accuracy)
51,01,301024,,005002,Latitude (coarse accuracy)
52,01,301024,,006002,Longitude (coarse accuracy)
53,01,301024,,007001,Height of station
54,01,301025,,301023,Latitude and longitude (coarse accuracy)
55,01,301025,,004003,Day
56,01,301025,,301012,Time
57,01,301026,,301021,Latitude and longitude (high accuracy)
58,01,301026,,004003,(Time period in days)
59,01,301026,,004003,(Time period in days)
60,01,301026,,004004,(Time period in hours)
61,01,301026,,004004,(Time period in hours)
62,01,301026,,004005,(Time period in minutes)
63,01,301026,,004005,(Time period in minutes)
64,01,301027,(Description of a feature in 3-D or 2-D),008007,"Dimensional significance, 0=Point, 1=Line, 2=Area, 3=Volume"
65,01,301027,(Description of a feature in 3-D or 2-D),101000,Delayed replication of 1 descriptor
66,01,301027,(Description of a feature in 3-D or 2-D),031001,Replication factor
67,01,301027,(Description of a feature in 3-D or 2-D),301028,Description of horizontal section
68,01,301027,(Description of a feature in 3-D or 2-D),008007,"Dimensional significance, Missing=Cancel"
69,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",008040,Flight level significance
70,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",033042,Type of limit represented by following (flight level) value
71,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",007010,Flight level
72,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",101000,Delayed replication of 1 descriptor
73,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",031002,Extended replication factor (see note 6)
74,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",301023,Location
75,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",019007,Radius of feature (see note 7)
76,01,301028,"(Horizontal section of a feature described as a polygon, circle, line or point)",008040,"Flight level significance, Missing=Cancel"
77,01,301031,,301001,WMO block and station number
78,01,301031,,002001,Type of station
79,01,301031,,301011,Date
80,01,301031,,301012,Time
81,01,301031,,301022,"Latitude and longitude (high  accuracy), height of station"
82,01,301032,,301001,WMO block and station number
83,01,301032,,002001,Type of station
84,01,301032,,301011,Date
85,01,301032,,301012,Time
86,01,301032,,301024,"Latitude and longitude (coarse accuracy), height of station"
87,01,301033,(Buoy/platform - fixed),001005,Buoy/platform identifier
88,01,301033,(Buoy/platform - fixed),002001,Type of station
89,01,301033,(Buoy/platform - fixed),301011,Date
90,01,301033,(Buoy/platform - fixed),301012,Time
91,01,301033,(Buoy/platform - fixed),301021,Latitude and longitude (high accuracy)
92,01,301034,(Buoy/platform - fixed),001005,Buoy/platform identifier
93,01,301034,(Buoy/platform - fixed),002001,Type of station
94,01,301034,(Buoy/platform - fixed),301011,Date
95,01,301034,(Buoy/platform - fixed),301012,Time
96,01,301034,(Buoy/platform - fixed),301023,Latitude and longitude (coarse accuracy)
97,01,301035,(Buoy/platform - moving) (see note 4),001005,Buoy/platform identifier
98,01,301035,(Buoy/platform - moving) (see note 4),001012,Direction of motion of moving observing platform
99,01,301035,(Buoy/platform - moving) (see note 4),001013,Speed of motion of moving observing platform
100,01,301035,(Buoy/platform - moving) (see note 4),002001,Type of station
101,01,301035,(Buoy/platform - moving) (see note 4),301011,Date
102,01,301035,(Buoy/platform - moving) (see note 4),301012,Time
103,01,301035,(Buoy/platform - moving) (see note 4),301023,Latitude and longitude (coarse accuracy)
104,01,301036,(Ship),301003,Ship's call sign and motion
105,01,301036,(Ship),002001,Type of station
106,01,301036,(Ship),301011,Date
107,01,301036,(Ship),301012,Time
108,01,301036,(Ship),301023,Latitude and longitude (coarse accuracy)
109,01,301037,(Land station for vertical soundings),301001,WMO block and station number
110,01,301037,(Land station for vertical soundings),002011,Radiosonde type
111,01,301037,(Land station for vertical soundings),002012,Radiosonde computational method
112,01,301037,(Land station for vertical soundings),301011,Date
113,01,301037,(Land station for vertical soundings),301012,Time
114,01,301037,(Land station for vertical soundings),301022,"Latitude and longitude (high accuracy), height of station"
115,01,301038,(Land station for vertical soundings),301001,WMO block and station number
116,01,301038,(Land station for vertical soundings),002011,Radiosonde type
117,01,301038,(Land station for vertical soundings),002012,Radiosonde computational method
118,01,301038,(Land station for vertical soundings),301011,Date
119,01,301038,(Land station for vertical soundings),301012,Time
120,01,301038,(Land station for vertical soundings),301024,"Latitude and longitude (coarse accuracy), height of station"
121,01,301039,(Ship for vertical soundings),301003,Ship's call sign and motion
