-1:98:0:230
0:VAR0:undefined
44:ESVAR:Snow evaporation variable resolution  [m of water]
45:SMLTVAR:Snowmelt variable resolution  [m of water]
46:SDURVAR:Solar duration variable resolution  [s]
57:UVBVAR:Downward UV radiation at the surface variable resolution  [w m-2 s]
58:PARVAR:Photosynthetically active radiation at the surface variable resolution  [w m-2 s]
142:LSPVAR:Stratiform precipitation Large-scale precipitation variable resolution  [m]
143:CPVAR:Convective precipitation variable resolution  [m]
144:SFVAR:Snowfall convective plus stratiform variable resolution  [m of water equivalent]
145:BLDVAR:Boundary layer dissipation variable resolution  [W m-2 s]
146:SSHFVAR:Surface sensible heat flux variable resolution  [W m-2 s]
147:SLHFVAR:Surface latent heat flux variable resolution  [W m-2 s]
169:SSRDVAR:Surface solar radiation downwards variable resolution  [W m-2 s]
175:STRDVAR:Surface thermal radiation downwards variable resolution  [W m-2 s]
176:SSRVAR:Surface solar radiation variable resolution  [W m-2 s]
177:STRVAR:Surface thermal radiation variable resolution  [W m-2 s]
178:TSRVAR:Top solar radiation variable resolution  [W m-2 s]
179:TTRVAR:Top thermal radiation variable resolution  [W m-2 s]
180:EWSSVAR:East-West surface stress variable resolution  [N m-2 s]
181:NSSSVAR:North-South surface stress variable resolution  [N m-2 s]
182:EVAR:Evaporation variable resolution  [m of water]
189:SUNDVAR:Sunshine duration variable resolution  [s]
195:LGWSVAR:Latitudinal component of gravity wave stress variable resolution  [N m-2 s]
196:MGWSVAR:Meridional component of gravity wave stress variable resolution  [N m-2 s]
197:GWDVAR:Gravity wave dissipation variable resolution  [W m-2 s]
198:SRCVAR:Skin reservoir content variable resolution  [m of water]
205:ROVAR:Runoff variable resolution  [m]
208:TSRCVAR:Top net solar radiation clear sky variable resolution  [W m-2 s]
209:TTRCVAR:Top net thermal radiation clear sky variable resolution  [W m-2 s]
210:SSRCVAR:Surface net solar radiation clear sky variable resolution  [W m-2 s]
211:STRCVAR:Surface net thermal radiation clear sky variable resolution  [W m-2 s]
212:SIVAR:Solar insolation variable resolution  [W m-2]
255:VAR255:undefined
