Discipline,Category,Parameter,Name,Unit,Missing,Range Folded,No Coverage,Description,Notes
209,2,0,LightningDensityNLDN1min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 1-min - NLDN,
209,2,1,LightningDensityNLDN5min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 5-min - NLDN,
209,2,2,LightningDensityNLDN15min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 15-min - NLDN,
209,2,3,LightningDensityNLDN30min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 30-min - NLDN,
209,2,4,LightningProbabilityNext30min,%,0,n/a,0,Lightning Probability 0-30 minutes - NLDN,updated units and special values
209,3,0,MergedAzShear0to2kmAGL,0.001/s,0,0,0,Azimuth Shear 0-2km AGL,updated units and special values
209,3,1,MergedAzShear3to6kmAGL,0.001/s,0,0,0,Azimuth Shear 3-6km AGL,updated units and special values
209,3,2,RotationTrack30min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 30-min,updated units and special values
209,3,3,RotationTrack60min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 60-min,updated units and special values
209,3,4,RotationTrack120min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 120-min,updated units and special values
209,3,5,RotationTrack240min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 240-min,updated units and special values
209,3,6,RotationTrack360min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 360-min,updated units and special values
209,3,7,RotationTrack1440min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 1440-min,updated units and special values
209,3,14,RotationTrackML30min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 30-min,updated units and special values
209,3,15,RotationTrackML60min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 60-min,updated units and special values
209,3,16,RotationTrackML120min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 120-min,updated units and special values
209,3,17,RotationTrackML240min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 240-min,updated units and special values
209,3,18,RotationTrackML360min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 360-min,updated units and special values
209,3,19,RotationTrackML1440min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 1440-min,updated units and special values
209,3,26,SHI,index,-1,n/a,-3,Severe Hail Index,
209,3,27,POSH,%,-1,n/a,-3,Prob of Severe Hail,
209,3,28,MESH,mm,-1,n/a,-3,Maximum Estimated Size of Hail (MESH),
209,3,29,MESHMax30min,mm,-1,n/a,-3,MESH Hail Swath 30-min,
209,3,30,MESHMax60min,mm,-1,n/a,-3,MESH Hail Swath 60-min,
209,3,31,MESHMax120min,mm,-1,n/a,-3,MESH Hail Swath 120-min,
