High Resolution Rapid Refresh (HRRR)
GRIB2 Table Documentation CONUS 2-D Fields
02 September 2011

RecordNumber,	TableNumber,	DisciplineNumber,	CategoryNumber,	ParameterNumber,	WGrib2Name,	NCLName,				FieldType,			Description,													Units,
1,		0,		0,			16,		196,			var,		REFC_P0_L200_GLC0,			Composite Reflectivity,		Maximum reflectivity in model column,										dBZ,
2,      0,      0,          3,              193,                    var,            5WAVH_P0_L3_GLC0,                       Echo Top,                       Echo top height of 18dBZ surface,                                                                               m,
3,      0,      0,                      3,              194,                    var,            UGWD_P0_L200_GLC0,                      VIL,                            Vertically integrated liquid,                                                                                   kg/m^2,
4,      0,      0,                      3,              195,                    var,            VGWD_P0_L200_GLC0,                      Radar VIL,                      Radar-derived vertically integrated liquid,                                                                     kg/m^2,
5,		0,		0,			19,		0,			VIS,		VIS_P0_L1_GLC0,				Visibility,			Surface visibility,												m,
6,		8,		0,			3,		206,			var,		NLGSP_P8_2L100_GLC0_1h,			Maximum Updraft,		Maximum updraft velocity in 1000-400 mb layer over previous hour,						m/s,
7,		8,		2,			0,		196,			var,		CNWAT_P8_2L100_GLC0_1h,			Maximum Downdraft,		Maximum downdraft velocity in 1000-400 mb layer over previous hour,						m/s,
8,		8,		0,			2,		9,			DZDT,		DZDT_P8_2L104_GLC0,			Mean Vertical Velocity,		Mean vertical velocity in sigma 0.8-0.5 layer,									m/s,
9,		0,		0,			3,		1,			PRMSL,		PRMSL_P0_L101_GLC0,			Pressure,			Pressure reduced to mean sea level via MAPS method,								Pa,
10,		0,		0,			16,		195,			var,		REFD_P0_L103_GLC0,			Reflectivity,			Reflectivity at 1 km above ground level,									dBZ,
11,		8,		0,			1,		198,			var,		MINRH_P8_L103_GLC0_1h,			Maximum Reflectivity,		Maximum reflectivity at 1 km above ground level over previous hour,						dBZ,
12,		8,		3,			192,	2,			SBT124,		SBT124_P8_2L103_GLC0_1h,		Maximum Updraft Helicity,	Maximum updraft helicity in layer 2-5 km above ground level over previous hour,					m^2/s^2,
13,     8,      3,          192,    3,          SBT125,         SBT125_P8_2L103_GLC0_1h,                Maximum Updraft Helicity,       Maximum updraft helicity in layer 1-6 km above ground level over previous hour,                                 m^2/s^2,
14,		8,		10,			3,		192,			var,		SURGE_P8_L200_GLC0_1h,			Vertically Integrated Graupel,	Maximum vertically integrated graupel in model column over previous hour,					kg/m^2,
15,		8,		2,			0,		206,			var,		RDRIP_P8_L200_GLC0_1h,			Lightning Threat 1,		Maximum lightning threat 1 based on vertical flux of graupel at -15C over previous hour,			flashes/km^2/(5 min),
16,		8,		0,			1,		206,			var,		TIPD_P8_L200_GLC0_1h,			Lightning Threat 2,		Maximum lightning threat 2 based on vertically integrated graupel snow and cloud ice over previous hour,	flashes/km^2/(5 min),
17,		8,		0,			17,		192,			var,		LTNG_P8_L200_GLC0_1h,			Lightning Threat 3,		Maximum lightning threat 3 based on a weighted combination of lightning threat 1 and 2 over previous hour,	flashes/km^2/(5 min),
18,		0,		0,			7,		197,			var,		UPHL_P0_2L103_GLC0,			Updraft Helicity,		Updraft helicity in layer 2-5 km above ground level,								m^2/s^2,
19,		8,		3,			192,		1,			SBT123,		SBT123_P8_2L103_GLC0,			Updraft Helicity,		Updraft helicity in layer 1-6 km above ground level,                                                            m^2/s^2,
20,		0,		0,			0,		195,			var,		LRGHR_P0_L200_GLC0,			Convective Initiation1,		Time since last convective initation (> 1 hr) based upon lightning threat 3 and no adjacent activity,		minutes,
21,		0,		0,			0,		196,			var,		CNVHR_P0_L200_GLC0,			Convective Acitivity1,		Time since last convective activity based upon lightning threat 3,						minutes,
22,		0,		0,			1,		213,			var,		CNVMR_P0_L200_GLC0,			Convective Initiation2,		Time since last convective initation (> 1 hr) based upon flux of rain/graupel and no adjacent activity,		minutes,
23,		0,		0,			0,		201,			var,		SHAHR_P0_L200_GLC0,			Convective Activitiy2,		Time since last convective activity based upon vertical flux of rain and graupel,				minutes,
24,		0,		0,			1,		214,			var,		SHAMR_P0_L200_GLC0,			Convective Initiation3,		Time since last convective initation (> 1 hr) based upon 35 dBZ reflectivity at -10C and no adjacent activity,	minutes,
25,		0,		0,			0,		202,			var,		VDFHR_P0_L200_GLC0,			Convective Activity3,		Time since last convective activitiy based upon 35 dBZ reflectivity at -10C,                                    minutes,
26,             0,              0,                      2,              19,                     WMIXE,          WMIXE_P0_L103_GLC0,                     Wind Energy,                    Wind energy generation potential using 0.5*density*speed^3 at 80 m above ground level,                          W/m^2,
27,             0,              10,                     1,              2,                      UOGRD,          UOGRD_P0_L103_GLC0,                     Wind,                           U-component of wind at 80 m above ground level,                                                                 m/s,
28,             0,              10,                     1,              3,                      VOGRD,          VOGRD_P0_L103_GLC0,                     Wind,                           V-component of wind at 80 m above ground level,                                                                 m/s,
29,		0,		0,			3,		0,			PRES,		PRES_P0_L1_GLC0,			Pressure,			Surface pressure,												Pa,
30,		0,		0,			0,		0,			TMP,		TMP_P0_L1_GLC0,				Temperature,			Surface (skin) temperature,											K,
31,		0,		2,			0,		2,			TSOIL,		TSOIL_P0_L1_GLC0,			Soil Temperature,		Surface (skin) soil temperature,										K,
32,		0,		2,			0,		192,			var,		SOILW_P0_L1_GLC0,			Soil Moisture,			Surface (skin) volumetric soil moisture content (0 to 2.5 cm layer below surface),				fraction,
33,		0,		2,			0,		2,			TSOIL,		TSOIL_P0_L106_GLC0(0),			Soil Temperature,		Soil temperature 5 cm below surface,										K,
34,		0,		2,			0,		192,			var,		SOILW_P0_L106_GLC0(0),			Soil Moisture,			Volumetric soil moisture content 5 cm below surface (2.5 to 12.5 cm layer below surface),			fraction,
35,		0,		2,			0,		2,			TSOIL,		TSOIL_P0_L106_GLC0(1),			Soil Temperature,		Soil temperature 20 cm below surface,										K,
36,		0,		2,			0,		192,			var,		SOILW_P0_L106_GLC0(1),			Soil Moisture,			Volumetric soil moisture content 20 cm below surface (12.5 to 30 cm layer below surface),			fraction,
37,		0,		2,			0,		2,			TSOIL,		TSOIL_P0_L106_GLC0(2),			Soil Temperature,		Soil temperature 40 cm below surface,										K,
38,		0,		2,			0,		192,			var,		SOILW_P0_L106_GLC0(2),			Soil Moisture,			Volumetric soil moisture content 40 cm below surface (30 to 100 cm layer below surface),			fraction,
39,		0,		2,			0,		2,			TSOIL,		TSOIL_P0_L106_GLC0(3),			Soil Temperature,		Soil temperature 160 cm below surface,										K,
40,		0,		2,			0,		192,			var,		SOILW_P0_L106_GLC0(3),			Soil Moisture,			Volumetric soil moisture content 160 cm below surface (100 to 230 cm layer below surface),			fraction,
41,		0,		2,			0,		2,			TSOIL,		TSOIL_P0_L106_GLC0(4),			Soil Temperature,		Soil temperature 300 cm below surface,										K,
42,		0,		2,			0,		192,			var,		SOILW_P0_L106_GLC0(4),			Soil Moisture,			Volumetric soil moisture content 300 cm below surface (230 to 300 cm layer below surface),			fraction,
43,		0,		0,			1,		13,			WEASD,		WEASD_P0_L1_GLC0,			Snow Water,			Water equivalent of accumulated snow depth,									kg/m^2,
44,		0,		0,			0,		0,			TMP,		TMP_P0_L103_GLC0,			Temperature,			Temperature at 2 m above ground level,										K,
45,		0,		0,			1,		0,			SPFH,		SPFH_P0_L103_GLC0,			Specific Humidity,		Specific humidity at 2 m above ground level,									kg/kg,
46,		0,		0,			0,		2,			POT,		POT_P0_L103_GLC0,			Temperature,			Potential temperature at 2 m above ground level,								K,
47,		0,		0,			0,		6,			DPT,		DPT_P0_L103_GLC0,			Dewpoint,			Dewpoint temperature at 2 m above ground level,									K,
48,		0,		0,			1,		1,			RH,		RH_P0_L103_GLC0,			Relative Humidity,		Relative humidity at 2 m above ground level,									%,
491,		0,		0,			2,		2,			UGRD,		UGRD_P0_L103_GLC0,			Wind,				U-component of wind at 10 m above ground level,									m/s,
492,		0,		0,			2,		3,			VGRD,		VGRD_P0_L103_GLC0,			Wind,				V-component of wind at 10 m above ground level,									m/s,
50,		8,		0,			0,		192,			var,		SNOHF_P8_L103_GLC0_1h,			Maximum Wind,			Maximum horizontal wind speed at 10 m above ground level over previous hour,					m/s,
51,		8,		0,			1,		8,			APCP,		APCP_P8_L1_GLC0_accHHh,			Precipitation,			Total precipitation accumulated since initial time,								kg/m^2,
52,		8,		0,			1,		10,			ACPCP,		ACPCP_P8_L1_GLC0_accHHh,		Precipitation,			Total convective precipitation accumulated since initial time,							kg/m^2,
53,		8,		0,			1,		9,			NCPCP,		NCPCP_P8_L1_GLC0_accHHh,		Precipitation,			Total large-scale precipitation accumulated since initial time,							kg/m^2,
54,		8,		0,			1,		13,			WEASD,		WEASD_P8_L1_GLC0_accHHh,		Precipitation,			Water equivalent of accumulated snow depth since intial time,							kg/m^2,
55,             8,              0,                      1,              8,                      APCP,           APCP_P8_L1_GLC0_acc1h,                  Precipitation,                  Total precipitation accumulated over previous hour,                                                             kg/m^2,
56,             8,              0,                      1,              10,                     ACPCP,          ACPCP_P8_L1_GLC0_acc1h,                 Precipitation,                  Convective-scale precipitation accumulated over previous hour,                                                  kg/m^2,
57,             8,              0,                      1,              9,                      NCPCP,          NCPCP_P8_L1_GLC0_acc1h,                 Precipitation,                  Large-scale precipitation accumulated over previous hour,                                                       kg/m^2,
58,             8,		0,			1,		13,			WEASD,          WEASD_P8_L1_GLC0_acc1h,           	Precipitation,                  Water equivalent of accumulated snow depth over previous hour,                                                  kg/m^2,
59,		0,		0,			1,		195,			var,		CSNOW_P0_L1_GLC0,			Precipitation Type1,		Categorical snow (yes=1 no=0),											flag,
60,		0,		0,			1,		194,			var,		CICEP_P0_L1_GLC0,			Precipitation Type2,		Categorical ice pellets (yes=1 no=0),										flag,
61,		0,		0,			1,		193,			var,		CFRZR_P0_L1_GLC0,			Precipitation Type3,		Categorical freezing rain (yes=1 no=0),										flag,
62,		0,		0,			1,		192,			var,		CRAIN_P0_L1_GLC0,			Precipitation Type4,		Categorical rain (yes=1 no=0),											flag,
63,             0,		0,			2,		197,			var,		FRICV_P0_L1_GLC0,			Wind,				Friction Velocity,												m/s,
64,		0,		0,			0,		11,			SHTFL,		SHTFL_P0_L1_GLC0,			Heat Flux,			Sensible heat net flux at surface,										W/m^2,
65,		0,		0,			0,		10,			LHTFL,		LHTFL_P0_L1_GLC0,			Heat Flux,			Latent heat net flux at surface,										W/m^2,
66,		0,		2,			0,		193,			var,		GFLUX_P0_L1_GLC0,			Heat Flux,			Ground heat flux at surface,											W/m^2,
67,		0,		0,			7,		192,			var,		LFTX_P0_2L100_GLC0,			Lifted Index,			Surface lifted index using 500 mb reference level,								K,
68,		0,		0,			7,		6,			CAPE,		CAPE_P0_L1_GLC0,			Instability,			Surface CAPE using highest theta-e parcel from lowest 10 mb,							J/kg,
69,		0,		0,			7,		7,			CIN,		CIN_P0_L1_GLC0,				Instability,			Surface CIN using highest theta-e parcel from lowest 10 mb,							J/kg,
70,		0,		0,			1,		3,			PWAT,		PWAT_P0_L200_GLC0,			Precipitable Water,		Precipitable water in model column,										kg/m^2,
71,		0,		0,			6,		3,			LCDC,		LCDC_P0_L214_GLC0,			Cloud Cover,                    Low-level cloud cover fraction based on maximum below 642 mb within 30 km radius of a grid point,		%,
72,		0,		0,			6,		4,			MCDC,		MCDC_P0_L224_GLC0,			Cloud Cover,                    Mid-level cloud cover fraction based on maximum between 642 mb and 350 mb within 30 km radius of a grid point,  %,
73,		0,		0,			6,		5,			HCDC,		HCDC_P0_L234_GLC0,			Cloud Cover,                    High-level cloud cover fraction based on maximum between 350 mb and 150 mb within 30 km radius of a grid point, %,
74,		0,		0,			6,		1,			TCDC,		TCDC_P0_L200_GLC0,			Cloud Cover,                    Total cloud cover fraction based on maximum in model column within 30 km radius of a grid point,                %,
75,		0,		0,			3,		5,			HGT,		HGT_P0_L2_GLC0,				Cloud Base,			Geopotential height of cloud base,										gpm,
76,		0,		0,			3,		5,			HGT,		HGT_P0_L3_GLC0,				Cloud Top,			Geopotential height of cloud top,										gpm,
77,		0,		0,			5,		193,			var,		ULWRF_P0_L8_GLC0,			Radiation,			Outgoing longwave radiation at top of atmosphere,								W/m^2,
78,		0,		0,			4,		192,			var,		DSWRF_P0_L1_GLC0,			Radiation,			Incoming shortwave radiation at the surface,									W/m^2,
79,		0,		0,			7,		8,			HLCY,		HLCY_P0_2L103_GLC0(1),			Helicity,			Storm-relative helicity for 0-3 km above ground level using Bunkers et al. 2000 storm-motion,			m^2/s^2,
80,		0,		0,			7,		8,			HLCY,		HLCY_P0_2L103_GLC0(0),			Helicity,			Storm-relative helicity for 0-1 km above ground level using Bunkers et al. 2000 storm-motion,			m^2/s^2,
81,		0,		0,			2,		194,			var,		USTM_P0_2L103_GLC0,			Storm Motion-U,			U-component of convective storm motion for right-moving cells using Bunkers et al. 2000,			m/s,
82,		0,		0,			2,		195,			var,		VSTM_P0_2L103_GLC0,			Storm Motion-V,			V-component of convective storm motion for right-moving cells using Bunkers et al. 2000,			m/s,
83,		0,		0,			2,		15,			VUCSH,		VUCSH_P0_2L103_GLC0(0),			Wind Shear-U,			U-component of vector wind difference between 10 m and 1 km above ground level,					m/s,
84,		0,		0,			2,		16,			VVCSH,		VVCSH_P0_2L103_GLC0(0),			Wind Shear-V,			V-component of vector wind difference between 10 m and 1 km above ground level,					m/s,
85,		0,              0,                      2,              15,			VUCSH,		VUCSH_P0_2L103_GLC0(1),			Wind Shear,			U-component of vector wind difference between wind in surface-500 m and 5.5-6.0 km layers above ground level,	m/s,
86,		0,              0,                      2,              16,			VVCSH,		VVCSH_P0_2L103_GLC0(1),			Wind Shear,			V-component of vector wind difference between wind in surface-500 m and 5.5-6.0 km layers above ground level,	m/s,
87,		0,		0,			0,		0,			TMP,		TMP_P0_2L108_GLC0,			Temperature,			Mean temperature in lowest 30 mb,										K,
88,		0,		0,			0,		2,			POT,		POT_P0_2L108_GLC0,			Temperature,			Mean potential temperature in lowest 30 mb,									K,
89,		0,		0,			1,		1,			RH,		RH_P0_2L108_GLC0,			Relative Humidity,		Mean relative humidity in lowest 30 mb,										%,
90,		0,		0,			0,		6,			DPT,		DPT_P0_2L108_GLC0,			Dewpoint,			Mean dewpoint temperature in lowest 30 mb,									K,
91,		0,		0,			7,		193,			var,		4LFTX_P0_2L108_GLC0,			Lifted Index,			Most unstable lifted index in six lowest 30 mb layers using 500 mb reference level,				K,
92,		0,		0,			7,		6,			CAPE,		CAPE_P0_2L108_GLC0(0),			Instability,			CAPE using highest average theta-e in six lowest 30 mb layers,							J/kg,
93,		0,		0,			7,		7,			CIN,		CIN_P0_2L108_GLC0(0),			Instability,			CIN using highest average theta-e in six lowest 30 mb layers,							J/kg,
94,		0,		0,			3,		196,			var,		HPBL_P0_L1_GLC0,			Height,				Planetary boundary layer height,										m,
95,		0,		0,			3,		5,			HGT,		HGT_P0_L5_GLC0,				Height,				Adiabatic condensation level above ground (LCL),								gpm,
96,		0,		0,			7,		6,			CAPE,		CAPE_P0_2L108_GLC0(1),			Instability,			Mixed-layer CAPE (MLCAPE) using average theta-e of the three lowest 30 mb layers,				J/kg,
97,		0,		0,			7,		7,			CIN,		CIN_P0_2L108_GLC0(1),			Instability,			Mixed-layer CIN (MLCIN) using average theta-e of the three lowest 30 mb layers,					J/kg,
98,		0,		0,			7,		6,			CAPE,		CAPE_P0_2L108_GLC0(2),			Instability,			Most unstable CAPE (MUCAPE) using parcel with highest theta-e in lowest 300 mb,					J/kg,
99,		0,		0,			7,		7,			CIN,		CIN_P0_2L108_GLC0(2),			Instability,			Most unstable CIN (MUCIN) using parcel with highest theta-e in lowest 300 mb,					J/kg,
100,		0,		0,			3,		200,			var,		PLPL_P0_2L108_GLC0,			Pressure,			Pressure level of most unstable parcel in lowest 300 mb,							Pa,
101,		0,		0,			2,		22,			GUST,		GUST_P0_L1_GLC0,			Wind,				Wind gust speed at 10 m above ground level,									m/s,
102,	        0,		255,			255,		255,			var,		VAR_255_255_255_P0_L200_GLC0,		Relative Humidity,		Relative humidity with respect to precipitable water in model column,						%,
