High Resolution Rapid Refresh (HRRR)
CONUS 2-D Fields
GRIB2 Table Documentation
04 May 2020
Record,MasterTable,LocalTable,Discipline,Category,Parameter,WGrib2Name,                         NCLName,                                             FieldType,      VerticalLevels,          Units,
     1,          2,         1,         0,      16,       196,     REFC,                REFC_P0_L10_GLC0,                                Composite reflectivity,   entire atmosphere,             dB,
     2,          2,         1,         0,      16,         3,    RETOP,                RETOP_P0_L3_GLC0,                                              Echo Top,           cloud top,              m,
     3,          2,         1,         0,      16,       201,      var,        VAR_0_16_201_P0_L10_GLC0,  Hydrometeor-Based Vertically-Integrated Liquid Water,   entire atmosphere,         kg/m^2,
     4,          2,         1,         0,      15,         3,      VIL,                 VIL_P0_L10_GLC0,    Radar-Simulated Vertically-Integrated Liquid Water,   entire atmosphere,         kg/m^2,
     5,          2,         1,         0,      19,         0,      VIS,                  VIS_P0_L1_GLC0,                                            Visibility,             surface,              m,
     6,          2,         1,         0,      16,       195,     REFD,                REFD_P0_L20_GLC0,                                          Reflectivity,          1000 m AGL,             dB,
     7,          2,         1,         0,      16,       195,     REFD,                REFD_P0_L20_GLC0,                                          Reflectivity,          4000 m AGL,             dB,
     8,          2,         1,         0,      16,       195,     REFD,                REFD_P0_L20_GLC0,                                          Reflectivity,               263 K,             dB,
     9,          2,         1,         0,       2,        22,     GUST,                 GUST_P0_L1_GLC0,                                     Wind Speed (Gust),             surface,            m/s,
    10,          2,         1,         0,       2,         9,     DZDT,               DZDT_P0_L100_GLC0,                         Vertical Velocity (Geometric),             700 hPa,            m/s,
    11,          2,         1,         0,       2,       220,   MAXUVV,      MAXUVV_P8_2L108_GLC0_max1h,            Hourly Maximum of Upward Vertical Velocity,    100-1000 hPa AGL,            m/s,
    12,          2,         1,         0,       2,       221,   MAXDVV,      MAXDVV_P8_2L108_GLC0_max1h,          Hourly Maximum of Downward Vertical Velocity,    100-1000 hPa AGL,            m/s,
    13,          2,         1,         0,       2,         9,     DZDT,               DZDT_P0_L100_GLC0,                         Vertical Velocity (Geometric),       0.5-0.8 sigma,            m/s,
    14,          2,         1,         0,       3,       198,    MSLMA,              MSLMA_P0_L101_GLC0,                          MSLP (MAPS System Reduction),      mean sea level,             Pa,
    15,          2,         1,         0,      16,       198,   MAXREF,       MAXREF_P8_L103_GLC0_max1h,                           Hourly Maximum Reflectivity,          1000 m AGL,             dB,
    16,          2,         1,         0,      16,       195,     REFD,                REFD_P0_L20_GLC0,                           Hourly Maximum Reflectivity,               263 K,             dB,
