#
# BUFR diff written from C:/dev/lib/mbufrtools_unx/bufrtables/B0000461300.txt against resource:/resources/bufrTables/wmo/TableB-121109.v14.csv 
#
Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits
1, 1102,"NATIONAL AWS NUMBER",NUMERIC,0,0,20
1, 1192,"MODEL VERSION NUMBER",CODE TABLE 001192,0,0,8
1, 1193,"SIGMA_0 SIMULATION METHOD",CODE TABLE 1193,0,0,4
1, 1194,"CARRIER BALLOON/AIRCRAFT IDENTIFIER",CCITTIA5,0,0,72
1, 1195,"MOBIL LAND STATION IDENTIFIER",CCITTIA5,0,0,72
1, 1196,"CONSTANT LEVEL BALLOON IDENTIFIER",CCITTIA5,0,0,72
1, 1197,"RTP - PLATFORM TYPE",CODE TABLE 1197,0,0,10
1, 1198,"ITP - DECK ID",CODE TABLE 1198,0,0,10
1, 1199,"DUP - DUPLICATE STATUS",CODE TABLE 1199,0,0,4
1, 1201,"GENERATING APPLICATION",CODE TABLE 1201,0,0,8
1, 1205,"SATELLITE IDENTIFIER",CODE TABLE 1205,0,0,10
1, 1208,"VELOCITY OF PLATFORM, X",M/S,5,-1073741824,31
1, 1209,"VELOCITY OF PLATFORM, Y",M/S,5,-1073741824,31
1, 1210,"VELOCITY OF PLATFORM, Z",M/S,5,-1073741824,31
2, 2192,"SAR AZIMUTH ANGLE",DEGREE,0,0,9
2, 2193,"1D VAR SATELLITE CHANNEL(S) USED",FLAG TABLE 2193,0,0,28
2, 2194,"CONSTANT LEVEL BALLOON TYPE",CODE TABLE 2194,0,0,4
2, 2195,"TYPE OF SATELLITE INSTRUMENTATION",CODE TABLE 2195,0,0,4
2, 2196,"SATELLITE CLASSIFICATION",CODE TABLE 2196,0,0,9
2, 2197,"SATELLITE CHANNEL CENTRE FREQUENCY",Hz,-8,0,26
2, 2198,"SATELLITE CHANNEL BAND WIDTH",Hz,-8,0,26
2, 2199,"INTEGRATED MEAN HUMIDITY COMPUTATIONAL METHOD",CODE TABLE 2199,0,0,4
2, 2201,"SIMULATED SATELLITE INSTRUMENT",FLAG TABLE 2201,0,0,4
2, 2202,"SIMULATED DATA PROCESSING TECHNIQUE USED",FLAG TABLE 2202,0,0,4
2, 2220,"DATA PRODUCER",CODE TABLE 2220,0,0,9
2, 2221,"SEGMENT SIZE AT NADIR IN X DIRECTION",M,0,0,18
2, 2222,"SEGMENT SIZE AT NADIR IN Y DIRECTION",M,0,0,18
2, 2223,"TOVS/ATOVS/AVHRR CHANNEL NUMBER",CODE TABLE 2223,0,0,6
2, 2231,"HEIGHT ASSIGNMENT METHOD",CODE TABLE 2231,0,0,4
2, 2232,"TRACER CORRELATION METHOD",CODE TABLE 2232,0,0,3
2, 2240,"TYPE OF TERMODYNAMIC SENSING",CODE TABLE 2240,0,0,8
2, 2241,"TYPE OF ROCKET MOTOR",CODE TABLE 2241,0,0,3
2, 2242,"TYPE OF WIND SENSING EQUIPMENT",CODE TABLE 2242,0,0,8
2, 2243,"TERMODYNAMIC CORRECTION TECHNIQUE",CODE TABLE 2243,0,0,3
2, 2244,"WIND CORRECTION TECHNIQUE",CODE TABLE 2244,0,0,3
2, 2245,"METHOD OF REDUCING OF DATA",CODE TABLE 2245,0,0,4
2, 2251,"RADIANCE COMPUTATIONAL METHOD",CODE TABLE 2251,0,0,4
2, 2252,"SATELLITE INSTRUMENT DATA USED IN PROCESSING",FLAG TABLE 2252,0,0,31
2, 2253,"HUMIDITY COMPUTATIONAL METHOD",CODE TABLE 2253,0,0,8
2, 2254,"RADIANCE TYPE",CODE TABLE 2254,0,0,4
5, 5193,"ALONG TRACK ROW NUMBER AT 50 KM",NUMERIC,0,0,10
5, 5194,"ALONG TRACK ROW NUMBER AT 25 KM",NUMERIC,0,0,11
5, 5195,"ENSEMBLE MEMBER NUMBER",NUMERIC,0,0,7
5, 5217,"LOCATION OF PLATFORM, X",M,2,-1073741824,31
5, 5232,"DIRECTION (SPECTRAL)",DEGREE,2,0,16
6, 6193,"CROSS TRACK CELL NUMBER AT 50 KM",NUMERIC,0,0,6
6, 6194,"CROSS TRACK CELL NUMBER AT 25 KM",NUMERIC,0,0,7
6, 6217,"LOCATION OF PLATFORM, Y",M,2,-1073741824,31
6, 6232,"WAVENUMBER (SPECTRAL)",RADS/M,5,0,13
