Class,FXY,enElementName,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth,Status
00,000001,Table A: entry,CCITT IA5,0,0,24,Character,0,3,Operational
00,000002,"Table A: data category description, line 1",CCITT IA5,0,0,256,Character,0,32,Operational
00,000003,"Table A: data category description, line 2",CCITT IA5,0,0,256,Character,0,32,Operational
00,000004,BUFR/CREX Master table,CCITT IA5,0,0,16,Character,0,2,Operational
00,000005,BUFR/CREX edition number,CCITT IA5,0,0,24,Character,0,3,Operational
00,000006,BUFR Master table Version number,CCITT IA5,0,0,16,Character,0,2,Operational
00,000007,CREX Master table version number,CCITT IA5,0,0,16,Character,0,2,Operational
00,000008,BUFR Local table version number,CCITT IA5,0,0,16,Character,0,2,Operational
00,000010,F descriptor to be added or defined,CCITT IA5,0,0,8,Character,0,1,Operational
00,000011,X descriptor to be added or defined,CCITT IA5,0,0,16,Character,0,2,Operational
00,000012,Y descriptor to be added or defined,CCITT IA5,0,0,24,Character,0,3,Operational
00,000013,"Element name, line 1",CCITT IA5,0,0,256,Character,0,32,Operational
00,000014,"Element name, line 2",CCITT IA5,0,0,256,Character,0,32,Operational
00,000015,Units name,CCITT IA5,0,0,192,Character,0,24,Operational
00,000016,Units scale sign,CCITT IA5,0,0,8,Character,0,1,Operational
00,000017,Units scale,CCITT IA5,0,0,24,Character,0,3,Operational
00,000018,Units reference sign,CCITT IA5,0,0,8,Character,0,1,Operational
00,000019,Units reference value,CCITT IA5,0,0,80,Character,0,10,Operational
00,000020,Element data width,CCITT IA5,0,0,24,Character,0,3,Operational
00,000030,Descriptor defining sequence,CCITT IA5,0,0,48,Character,0,6,Operational
01,001001,WMO block number,Numeric,0,0,7,Numeric,0,2,Operational
01,001002,WMO station number,Numeric,0,0,10,Numeric,0,3,Operational
01,001003,WMO Region number/geographical area,Code table,0,0,3,Code table,0,1,Operational
01,001004,WMO Region sub-area,Numeric,0,0,3,Numeric,0,1,Operational
01,001005,Buoy/platform identifier,Numeric,0,0,17,Numeric,0,5,Operational
01,001006,Aircraft flight number,CCITT IA5,0,0,64,Character,0,8,Operational
01,001007,Satellite identifier,Code table,0,0,10,Code table,0,4,Operational
01,001008,Aircraft registration number or other identification,CCITT IA5,0,0,64,Character,0,8,Operational
01,001009,Type of commercial aircraft,CCITT IA5,0,0,64,Character,0,8,Operational
01,001010,Stationary buoy platform identifier; e.g. C-MAN buoys,CCITT IA5,0,0,64,Character,0,8,Operational
01,001011,Ship or mobile land station identifier,CCITT IA5,0,0,72,Character,0,9,Operational
01,001012,Direction of motion of moving observing platform,Degree true,0,0,9,Degree true,0,3,Operational
01,001013,Speed of motion of moving observing platform??,m s-1,0,0,10,m s-1,0,3,Operational
01,001014,Platform drift speed (high precision),m s-1,2,0,10,m s-1,2,4,Operational
01,001015,Station or site name,CCITT IA5,0,0,160,Character,0,20,Operational
01,001018,Short station or site name,CCITT IA5,0,0,40,Character,0,5,Operational
01,001019,Long Station or site name,CCITT IA5,0,0,256,Character,0,32,Operational
01,001020,WMO Region sub-area,Numeric,0,0,4,Numeric,0,2,Operational
01,001021,Synoptic feature identifier,Numeric,0,0,14,Numeric,0,4,Operational
01,001022,Name of feature,CCITT IA5,0,0,224,Character,0,28,Operational
01,001023,Observation sequence number,Numeric,0,0,9,Numeric,0,3,Operational
01,001024,Wind Speed source,Code table,0,0,5,Code table,0,2,Operational
01,001025,Storm identifier,CCITT IA5,0,0,24,Character,0,3,Operational
01,001026,WMO storm name,CCITT IA5,0,0,64,Character,0,8,Operational
01,001027,WMO long storm name,CCITT IA5,0,0,80,Character,0,10,Operational
01,001028,Aerosol optical Depth (AOD) source,Code table,0,0,5,Code table,0,2,Operational
01,001029,SSI Source,Code table,0,0,5,Code table,0,2,Operational
01,001030,Numerical model identifier,CCITT IA5,0,0,128,Character,0,16,Operational
01,001031,Identification of originating/generating centre,Code table,0,0,16,Code table,0,5,Operational
01,001032,Generating application,Code table defined by originating/generating centre,0,0,8,Code table,0,3,Operational
01,001033,Identification of originating/generating centre,Common Code table C-1,0,0,8,Common Code table C-1,0,3,Operational
01,001034,Identification of originating/generating sub-centre,Common Code table C-12,0,0,8,Common Code table C-12,0,3,Operational
01,001035,Originating Centre,Common Code Table C-11,0,0,16,Common Code Table C-11,0,5,Operational
01,001036,Agency in charge of operating the observing platform,Code table,0,0,20,Code table,0,7,Operational
01,001037,SIGMET sequence identifier,CCITT IA5,0,0,24,Character,0,3,Operational
01,001038,Source of Sea Ice Fraction,Code table,0,0,5,Code table,0,2,Operational
01,001039,Graphical Area Forecast (GFA) sequence identifier,CCITT IA5,0,0,40,Character,0,5,Operational
01,001041,Absolute platform velocity - first component,m s-1,5,-1073741824,31,m s-1,5,10,Operational
01,001042,Absolute platform velocity - second component,m s-1,5,-1073741824,31,m s-1,5,10,Operational
01,001043,Absolute platform velocity - third component,m s-1,5,-1073741824,31,m s-1,5,10,Operational
01,001050,Platform transmitter ID number,Numeric,0,0,17,Numeric,0,6,Operational
01,001051,Platform transmitter ID number,CCITT IA5,0,0,96,Character,0,12,Operational
01,001052,Platform transmitter ID,Code table,0,0,3,Code table,0,1,Pre-operational
01,001053,Tsunameter report sequence number triggered by a tsunami event,Numeric,0,0,7,Numeric,0,2,Pre-operational
01,001060,Aircraft reporting point (Beacon identifier),CCITT IA5,0,0,64,Character,0,8,Operational
01,001062,Short ICAO location indicator,CCITT IA5,0,0,32,Character,0,4,Operational
01,001063,ICAO location indicator,CCITT IA5,0,0,64,Character,0,8,Operational
01,001064,Runway designator,CCITT IA5,0,0,32,Character,0,4,Operational
01,001065,ICAO region identifier,CCITT IA5,0,0,256,Character,0,32,Operational
01,001075,Tide station identification,CCITT IA5,0,0,40,Character,0,5,Operational
01,001080,Ship line number according to SOOP,CCITT IA5,0,0,32,Character,0,4,Operational
01,001081,Radiosonde serial number,CCITT IA5,0,0,160,Character,0,20,Operational
01,001082,Radiosonde ascension number,Numeric,0,0,14,Numeric,0,4,Operational
01,001083,Radiosonde release number,Numeric,0,0,3,Numeric,0,1,Operational
01,001085,Observing platform manufacturer's model,CCITT IA5,0,0,160,Character,0,20,Operational
01,001086,Observing platform manufacturer's serial number,CCITT IA5,0,0,256,Character,0,32,Operational
01,001087,WMO Marine observing platform extended identifier,Numeric,0,0,23,Numeric,0,7,Operational
01,001090,Technique for making up initial perturbations,Code table,0,0,8,Code table,0,3,Operational
01,001091,Ensemble member number,Numeric,0,0,10,Numeric,0,4,Operational
01,001092,Type of ensemble forecast,Code table,0,0,8,Code table,0,3,Operational
01,001093,Balloon lot number,CCITT IA5,0,0,96,Character,0,12,Operational
01,001094,WBAN Number,Numeric,0,0,17,Numeric,0,5,Operational
01,001095,Observer identification,CCITT IA5,0,0,32,Character,0,4,Operational
01,001096,Station acquisition,CCITT IA5,0,0,160,Character,0,20,Operational
01,001097,Star catalog number,Numeric,0,0,13,Numeric,0,4,Validation
01,001098,Type of product,Code table,0,0,12,Code table,0,4,Validation
01,001099,Unique product definition,CCITTIA5,0,0,2048,CCITTIA5,0,256,Validation
01,001101,State identifier,Code table,0,0,10,Code table,0,3,Operational
01,001102,National station number,Numeric,0,0,30,Numeric,0,9,Operational
01,001103,IMO Number. Unique Lloyd's registry,Numeric,0,0,14,Numeric,0,5,Validation
01,001110,Aircraft tail number,CCITT IA5,0,0,48,character,0,6,Validation
01,001111,Origination airport,CCITT IA5,0,0,24,character,0,3,Validation
01,001112,Destination airport,CCITT IA5,0,0,24,character,0,3,Validation
01,001124,Grid point identifier,Numeric,0,0,24,Numeric,0,8,Operational
01,001144,Snapshot identifier,Numeric,0,0,31,Numeric,0,10,Operational
02,002001,Type of station,Code table,0,0,2,Code table,0,1,Operational
02,002002,Type of instrumentation for wind measurement,Flag table,0,0,4,Flag table,0,2,Operational
02,002003,Type of measuring equipment used,Code table,0,0,4,Code table,0,2,Operational
02,002004,Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported,Code table,0,0,4,Code table,0,2,Operational
02,002005,Precision of temperature observation,K,2,0,7,K,2,3,Operational
02,002007,Type of sensor for water level measuring instrument,Code table,0,0,4,Code table,0,2,Validation
02,002011,Radiosonde type,Code table,0,0,8,Code table,0,3,Operational
02,002012,Radiosonde computational method,Code table,0,0,4,Code table,0,2,Operational
02,002013,Solar and infrared radiation correction,Code table,0,0,4,Code table,0,2,Operational
02,002014,Tracking technique/status of system used,Code table,0,0,7,Code table,0,3,Operational
02,002015,Radiosonde completeness,Code table,0,0,4,Code table,0,2,Operational
02,002016,Radiosonde configuration,Flag table,0,0,5,Flag table,0,2,Operational
02,002019,Satellite instruments,Code table,0,0,11,Code table,0,4,Operational
02,002020,Satellite classification,Code table,0,0,9,Code table,0,3,Operational
02,002021,Satellite instrument data used in processing,Flag table,0,0,9,Flag table,0,3,Operational
02,002022,Satellite data-processing technique used,Flag table,0,0,8,Flag table,0,3,Operational
02,002023,Satellite derived wind computation method,Code table,0,0,4,Code table,0,2,Operational
02,002024,Integrated mean humidity computational method,Code table,0,0,4,Code table,0,2,Operational
02,002025,Satellite channel(s) used in computation,Flag table,0,0,25,Flag table,0,9,Operational
02,002026,Cross-track resolution,m,2,0,12,m,2,4,Operational
02,002027,Along-track resolution,m,2,0,12,m,2,4,Operational
02,002028,Segment size at nadir in x-direction,m,0,0,18,m,0,6,Operational
02,002029,Segment size at nadir in y-direction,m,0,0,18,m,0,6,Operational
02,002030,Method of current measurement,Code table,0,0,3,Code table,0,1,Operational
02,002031,Duration and time of current measurement,Code table,0,0,5,Code table,0,2,Operational
02,002032,Indicator for digitization,Code table,0,0,2,Code table,0,1,Operational
02,002033,Method of salinity/depth measurement,Code table,0,0,3,Code table,0,1,Operational
02,002034,Drogue type,Code table,0,0,5,Code table,0,2,Operational
02,002035,Cable length,m,0,0,9,m,0,3,Operational
02,002036,Buoy type,Code table,0,0,2,Code table,0,1,Operational
02,002037,Method of tidal observation,Code table,0,0,3,Code table,0,1,Operational
02,002038,Method of water temperature and/or salinity measurement,Code table,0,0,4,Code table,0,2,Operational
02,002039,Method of wet-bulb temperature measurement,Code table,0,0,3,Code table,0,1,Operational
02,002040,Method of removing velocity and motion of platform from current,Code table,0,0,4,Code table,0,2,Operational
02,002041,Method for estimating reports related to synoptic features,Code table,0,0,6,Code table,0,2,Operational
02,002042,Indicator for sea-surface current speed,Code table,0,0,2,Code table,0,1,Operational
02,002044,Indicator for method of calculating spectral wave data,Code table,0,0,4,Code table,0,2,Operational
02,002045,Indicator for type of platform,Code table,0,0,4,Code table,0,2,Operational
02,002046,Wave measurement instrumentation,Code table,0,0,4,Code table,0,2,Operational
02,002047,Deep-ocean tsunameter type,Code table,0,0,7,Code table,0,2,Pre-operational
02,002048,Satellite sensor indicator,Code table,0,0,4,Code table,0,2,Operational
02,002049,Geostationary satellite data-processing technique used,Flag table,0,0,8,Flag table,0,3,Operational
02,002050,Geostationary sounder satellite channels used,Flag table,0,0,20,Flag table,0,7,Operational
02,002051,Indicator to specify observing method for extreme temperatures,Code table,0,0,4,Code table,0,2,Operational
02,002052,Geostationary imager satellite channels used,Flag table,0,0,6,Flag table,0,2,Operational
02,002053,GOES-I/M brightness temperature characteristics,Code table,0,0,4,Code table,0,2,Operational
02,002054,GOES-I/M soundings parameter characteristics,Code table,0,0,4,Code table,0,2,Operational
02,002055,Geostationary soundings statistical parameters,Code table,0,0,4,Code table,0,2,Operational
