"No","ClassNo","ClassName_E","FXY","ElementName_E","Note_E","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit","CREX_Scale","CREX_DataWidth_Char","Status"
1.00,"00","BUFR/CREX table entries","000001","Table A: entry",,"CCITT IA5","0","0","24","Character","0","3","Operational"
2.00,"00","BUFR/CREX table entries","000002","Table A: data category description, line 1",,"CCITT IA5","0","0","256","Character","0","32","Operational"
3.00,"00","BUFR/CREX table entries","000003","Table A: data category description, line 2",,"CCITT IA5","0","0","256","Character","0","32","Operational"
4.00,"00","BUFR/CREX table entries","000004","BUFR/CREX Master table","(see Note 1)#BUFR_15_1_1_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
5.00,"00","BUFR/CREX table entries","000005","BUFR/CREX edition number",,"CCITT IA5","0","0","24","Character","0","3","Operational"
6.00,"00","BUFR/CREX table entries","000006","BUFR Master table Version number","(see Note 2)#BUFR_15_1_1_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
7.00,"00","BUFR/CREX table entries","000007","CREX Master table version number","(see Note 3)#BUFR_15_1_1_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
8.00,"00","BUFR/CREX table entries","000008","BUFR Local table version number","(see Note 4)#BUFR_15_1_1_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
9.00,"00","BUFR/CREX table entries","000010","F descriptor to be added or defined",,"CCITT IA5","0","0","8","Character","0","1","Operational"
10.00,"00","BUFR/CREX table entries","000011","X descriptor to be added or defined",,"CCITT IA5","0","0","16","Character","0","2","Operational"
11.00,"00","BUFR/CREX table entries","000012","Y descriptor to be added or defined",,"CCITT IA5","0","0","24","Character","0","3","Operational"
12.00,"00","BUFR/CREX table entries","000013","Element name, line 1",,"CCITT IA5","0","0","256","Character","0","32","Operational"
13.00,"00","BUFR/CREX table entries","000014","Element name, line 2",,"CCITT IA5","0","0","256","Character","0","32","Operational"
