"No","CodeFigureForI6I6I6","CodeFigureForBUFR","CodeFigureForGRIB2","SatelliteName_E","Status"
1.00,"000","0","0","Reserved","Operational"
2.00,,,,"001-099: Numbers allocated to Europe","Operational"
3.00,"001","1","1","ERS 1","Operational"
4.00,"002","2","2","ERS 2","Operational"
5.00,"003","3","3","METOP-1","Operational"
6.00,"004","4","4","METOP-2","Operational"
7.00,"005","5","5","METOP-3","Operational"
8.00,"020","20","20","SPOT1","Operational"
9.00,"021","21","21","SPOT2","Operational"
10.00,"022","22","22","SPOT3","Operational"
11.00,"023","23","23","SPOT4","Operational"
12.00,"040","40","40","OERSTED","Operational"
13.00,"041","41","41","CHAMP","Operational"
14.00,"042","42","42","TerraSAR-X","Operational"
15.00,"046","46","46","SMOS","Operational"
16.00,"050","50","50","METEOSAT 3","Operational"
17.00,"051","51","51","METEOSAT 4","Operational"
18.00,"052","52","52","METEOSAT 5","Operational"
19.00,"053","53","53","METEOSAT 6","Operational"
20.00,"054","54","54","METEOSAT 7","Operational"
21.00,"055","55","55","METEOSAT 8","Operational"
22.00,"056","56","56","METEOSAT 9","Operational"
23.00,"057","57","57","METEOSAT 10","Operational"
24.00,"058","58","58","METEOSAT 1","Operational"
25.00,"059","59","59","METEOSAT 2","Operational"
26.00,"060","60","60","ENVISAT","Operational"
27.00,"070","70","70","METEOSAT 11","Operational"
28.00,,,,"100-199: Numbers allocated to Japan","Operational"
29.00,"120","120","120","ADEOS","Operational"
30.00,"121","121","121","ADEOS II","Operational"
31.00,"140","140","140","GOSAT","Operational"
32.00,"150","150","150","GMS 3","Operational"
33.00,"151","151","151","GMS 4","Operational"
34.00,"152","152","152","GMS 5","Operational"
35.00,"171","171","171","MTSAT-1R","Operational"
36.00,"172","172","172","MTSAT-2","Operational"
37.00,,,,"200-299: Numbers allocated to USA","Operational"
38.00,"200","200","200","NOAA 8","Operational"
39.00,"201","201","201","NOAA 9","Operational"
40.00,"202","202","202","NOAA 10","Operational"
41.00,"203","203","203","NOAA 11","Operational"
42.00,"204","204","204","NOAA 12","Operational"
43.00,"205","205","205","NOAA 14","Operational"
44.00,"206","206","206","NOAA 15","Operational"
45.00,"207","207","207","NOAA 16","Operational"
46.00,"208","208","208","NOAA 17","Operational"
47.00,"209","209","209","NOAA 18","Operational"
48.00,"220","220","220","LANDSAT 5","Operational"
49.00,"221","221","221","LANDSAT 4","Operational"
50.00,"222","222","222","LANDSAT 7","Operational"
51.00,"223","223","223","NOAA 19","Operational"
52.00,"224","224","224","NPP","Operational"
53.00,"240","240","240","DMSP 7","Operational"
54.00,"241","241","241","DMSP 8","Operational"
55.00,"242","242","242","DMSP 9","Operational"
56.00,"243","243","243","DMSP 10","Operational"
57.00,"244","244","244","DMSP 11","Operational"
58.00,"245","245","245","DMSP 12","Operational"
59.00,"246","246","246","DMSP 13","Operational"
60.00,"247","247","247","DMSP 14","Operational"
61.00,"248","248","248","DMSP 15","Operational"
62.00,"249","249","249","DMSP 16","Operational"
63.00,"250","250","250","GOES 6","Operational"
64.00,"251","251","251","GOES 7","Operational"
65.00,"252","252","252","GOES 8","Operational"
66.00,"253","253","253","GOES 9","Operational"
67.00,"254","254","254","GOES 10","Operational"
