"No","Code","Agency_E","Type_E","InstrumentShortName_E","InstrumentLongName_E","Status"
1.00,"10","BNSC","Radiometer","AATSR","Advanced along track scanning radiometer","Operational"
2.00,"11","BNSC","Radiometer","ATSR","Along track scanning radiometer","Operational"
3.00,"12","BNSC","Radiometer","ATSR-2","Along track scanning radiometer - 2","Operational"
4.00,"13","BNSC","Radiometer","MWR","Microwave radiometer","Operational"
5.00,"30","CNES","Communications","ARGOS",,"Operational"
6.00,"40","CNES","Lidar","Laser reflectors",,"Operational"
7.00,"41","CNES","Lidar","DORIS","Doppler orbitography and radio-positioning integrated by satellite","Operational"
8.00,"42","CNES","Lidar","DORIS-NG","Doppler orbitography and radio-positioning integrated by satellite-NG","Operational"
9.00,"47","CNES","Radar altimeter","POSEIDON-1 (SSALT1)","Positioning ocean solid Earth ice dynamics orbiting navigator (single frequency solid state radar altimeter)","Operational"
10.00,"48","CNES","Radar altimeter","POSEIDON-2 (SSALT2)","Positioning ocean solid Earth ice dynamics orbiting navigator (double frequency solid state radar altimeter)","Operational"
11.00,"50","CNES","Imaging radiometer","ATSR/M","ATSR/M","Operational"
12.00,"51","CNES","High resolution optical imager","HRG",,"Operational"
13.00,"52","CNES","Radiometer","HRV","High-resolution visible","Operational"
14.00,"53","CNES","Radiometer","HRVIR","High-resolution visible and infrared","Operational"
15.00,"54","CNES","Radiometer","ScaRaB/MV2","Scanner for Earth's radiation budget","Operational"
16.00,"55","CNES","Radiometer","POLDER","POLDER","Operational"
17.00,"60","CNES","Spectrometer","VEGETATION","VEGETATION","Operational"
18.00,"61","CNES","Spectrometer","WINDII","WINDII","Operational"
19.00,"80","CSA","Communications","RADARSAT DTT",,"Operational"
20.00,"81","CSA","Communications","RADARSAT TTC",,"Operational"
21.00,"85","CSA","Radar","SAR (CSA)","Synthetic aperture radar (CSA)","Operational"
22.00,"90","CSA","Radiometer","MOPITT","Measurements of pollution in the troposphere","Operational"
23.00,"91","CSA","Atmospheric chemistry instrument","OSIRIS","Optical spectrograph and Infrared imaging system","Operational"
24.00,"97","CSIRO","Radiometer","Panchromatic imager",,"Operational"
25.00,"98","CRCSS","Atmospheric temperature and humidity sounder","GPS receiver",,"Operational"
26.00,"102","DLR","Radiometer","CHAMP GPS sounder","GPS turborogue space receiver (TRSR)","Operational"
