"No","CodeFigure_DataCategories","Name_DataCategories_E","CodeFigure_InternationalDataSubcategories","Name_InternationalDataSubcategories_E","Status"
1.00,"000","Surface data - land","000","Hourly synoptic observations from fixed-land stations (SYNOP)","Operational"
2.00,"000","Surface data - land","001","Intermediate synoptic observations from fixed-land stations (SYNOP)","Operational"
3.00,"000","Surface data - land","002","Main synoptic observations from fixed-land stations (SYNOP)","Operational"
4.00,"000","Surface data - land","003","Hourly synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
5.00,"000","Surface data - land","004","Intermediate synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
6.00,"000","Surface data - land","005","Main synoptic observations from mobile land stations (SYNOP MOBIL)","Operational"
7.00,"000","Surface data - land","006","One-hour observations from automated stations","Operational"
8.00,"000","Surface data - land","007","n-minute observations from AWS stations","Operational"
9.00,"000","Surface data - land","010","Routine aeronautical observations (METAR)","Operational"
10.00,"000","Surface data - land","011","Special aeronautical observations (SPECI)","Operational"
11.00,"000","Surface data - land","014","Ground-based GPS humidity observations (GPSIWV)","Operational"
12.00,"000","Surface data - land","020","Climatological observations (CLIMAT)","Operational"
13.00,"000","Surface data - land","030","Sferics locations","Pre-operational"
14.00,"000","Surface data - land","040","Hydrologic reports","Operational"
15.00,"000","Surface data - land","050","Hourly synoptic observations with supplementary one-hour data","Operational"
16.00,"000","Surface data - land","051","Intermediate synoptic observations with supplementary one-hour data","Operational"
17.00,"000","Surface data - land","052","Main synoptic observations with supplementary one-hour data","Operational"
18.00,"001","Surface data - sea","000","Synoptic observations (SHIP)","Operational"
19.00,"001","Surface data - sea","006","One-hour observations from automated stations","Operational"
20.00,"001","Surface data - sea","007","n-minute observations from AWS stations","Operational"
21.00,"001","Surface data - sea","020","Climatological observations (CLIMAT SHIP)","Operational"
22.00,"001","Surface data - sea","025","Buoy observation (BUOY)","Operational"
23.00,"001","Surface data - sea","030","Tide gauge","Operational"
24.00,"001","Surface data - sea","031","Observed water level time series","Operational"
25.00,"002","Vertical soundings (other than satellite)","001","Upper-wind reports from fixed-land stations (PILOT)","Operational"
26.00,"002","Vertical soundings (other than satellite)","002","Upper-wind reports from ships (PILOT SHIP)","Operational"
27.00,"002","Vertical soundings (other than satellite)","003","Upper-wind reports from mobile land stations (PILOT MOBIL)","Operational"
28.00,"002","Vertical soundings (other than satellite)","004","Upper-level temperature/humidity/wind reports from fixed-land stations (TEMP)","Operational"
29.00,"002","Vertical soundings (other than satellite)","005","Upper-level temperature/humidity/wind reports from ships (TEMP SHIP)","Operational"
30.00,"002","Vertical soundings (other than satellite)","006","Upper-level temperature/humidity/wind report from mobile land stations (TEMP MOBIL)","Operational"
31.00,"002","Vertical soundings (other than satellite)","007","Upper-level temperature/humidity/wind reports from dropwinsondes (TEMP DROP)","Operational"
32.00,"002","Vertical soundings (other than satellite)","010","Wind profiler reports","Operational"
33.00,"002","Vertical soundings (other than satellite)","011","RASS temperature profiles","Operational"
34.00,"002","Vertical soundings (other than satellite)","020","ASDAR/ACARS profiles (AMDAR)","Operational"
35.00,"002","Vertical soundings (other than satellite)","025","Climatological observations from fixed-land stations (CLIMAT TEMP)","Operational"
36.00,"002","Vertical soundings (other than satellite)","026","Climatological observations from ships (CLIMAT TEMP SHIP)","Operational"
37.00,"003","Vertical soundings (satellite)","000","Temperature (SATEM)","Operational"
38.00,"003","Vertical soundings (satellite)","001","TIROS (TOVS)","Operational"
39.00,"003","Vertical soundings (satellite)","002","ATOVS","Operational"
40.00,"003","Vertical soundings (satellite)","003","AMSU-A","Operational"
41.00,"003","Vertical soundings (satellite)","004","AMSU-B","Operational"
42.00,"003","Vertical soundings (satellite)","005","HIRS","Operational"
43.00,"003","Vertical soundings (satellite)","006","MHS","Operational"
44.00,"003","Vertical soundings (satellite)","007","IASI","Operational"
45.00,"003","Vertical soundings (satellite)","020","IR temperature/humidity sounding","Validation"
46.00,"003","Vertical soundings (satellite)","030","Hyperspectral temperature/humidity sounding","Validation"
47.00,"003","Vertical soundings (satellite)","040","MW temperature/humidity sounding","Validation"
48.00,"003","Vertical soundings (satellite)","050","Radio occultation sounding","Validation"
49.00,"004","Single level upper-air data (other than satellite)","000","ASDAR/ACARS (AMDAR)","Operational"
50.00,"004","Single level upper-air data (other than satellite)","001","Manual (AIREP, PIREP)","Operational"
51.00,"005","Single level upper-air data (satellite)","000","Cloud wind data (SATOB)","Operational"
52.00,"005","Single level upper-air data (satellite)","001","Cloud properties","Validation"
53.00,"006","Radar data","000","Reflectivity data","Operational"
54.00,"006","Radar data","001","Doppler wind profiles","Operational"
55.00,"006","Radar data","002","Derived products","Operational"
56.00,"006","Radar data","003","Ground radar weather (RADOB)","Operational"
57.00,"007","Synoptic features","000","Forecast tropical cyclone tracks from EPS","Operational"
58.00,"007","Synoptic features","001","Squall line","Operational"
59.00,"008","Physical/chemical constituents","000","Ozone measurement at surface","Operational"
60.00,"008","Physical/chemical constituents","001","Ozone vertical sounding","Operational"
61.00,"009","Dispersal and transport","000","Trajectories, analysis or forecast","Operational"
62.00,"010","Radiological data","001","Observation (RADREP)","Operational"
63.00,"010","Radiological data","002","Forecast (RADOF)","Operational"
64.00,"012","Surface data (satellite)","000","ERS-uwa","Operational"
65.00,"012","Surface data (satellite)","001","ERS-uwi","Operational"
66.00,"012","Surface data (satellite)","002","ERS-ura","Operational"
67.00,"012","Surface data (satellite)","003","ERS-uat","Operational"
68.00,"012","Surface data (satellite)","004","SSM/I radiometer","Operational"
69.00,"012","Surface data (satellite)","005","Quikscat","Operational"
70.00,"012","Surface data (satellite)","006","Surface temp./radiation (SATOB)","Operational"
71.00,"012","Surface data (satellite)","007","ASCAT data","Operational"
72.00,"012","Surface data (satellite)","008","Soil moisture","Validation"
73.00,"012","Surface data (satellite)","009","Normalised differential vegetation index (NDVI)","Validation"
74.00,"012","Surface data (satellite)","010","Normalised radar backscatter","Validation"
75.00,"012","Surface data (satellite)","011","Surface emissivity","Validation"
76.00,"021","Radiances (satellite measured)","000","Earth radiation budget","Validation"
77.00,"021","Radiances (satellite measured)","005","Cross-track infrared sounder","Operational"
78.00,"022","Radar (satellite) but not altimeter and scatterometer","000","Cloud and precipitation radar","Validation"
79.00,"022","Radar (satellite) but not altimeter and scatterometer","001","Synthetic aperture radar","Validation"
80.00,"023","Lidar (satellite)","000","Lidar based missions (for wind, for cloud/aerosol, for water vapour, for altimetry)","Validation"
81.00,"024","Scatterometry (satellite)","000","Wind scatterometry","Validation"
82.00,"025","Altimetry (satellite)","000","Radar altimetry","Validation"
83.00,"026","Spectrometry (satellite)","000","Cross nadir shortwave spectrometry (for chemistry)","Validation"
84.00,"026","Spectrometry (satellite)","001","Cross nadir IR spectrometry (for chemistry)","Validation"
85.00,"026","Spectrometry (satellite)","002","Limb sounding shortwave spectrometry","Validation"
86.00,"026","Spectrometry (satellite)","003","Limb sounding IR spectrometry","Validation"
87.00,"026","Spectrometry (satellite)","004","Limb sounding sub-millimetre wave spectrometry","Validation"
88.00,"027","Gravity measurements (satellite)",,"To be defined","Validation"
89.00,"028","Precision orbit (satellite)",,"To be defined","Validation"
90.00,"029","Space environment (satellite)",,"To be defined","Validation"
91.00,"030","Calibration dataset (satellite)","000","Subsetted data","Validation"
92.00,"030","Calibration dataset (satellite)","001","Collocated data","Validation"
93.00,"030","Calibration dataset (satellite)","002","On-board calibration data","Validation"
94.00,"030","Calibration dataset (satellite)","003","Bias Monitoring","Validation"
95.00,"030","Calibration dataset (satellite)","004","Near Real-Time Correction","Validation"
96.00,"030","Calibration dataset (satellite)","005","Re-analysis Correction","Validation"
97.00,"031","Oceanographic data","000","Surface observation","Operational"
98.00,"031","Oceanographic data","001","Surface observation along track (TRACKOB)","Operational"
99.00,"031","Oceanographic data","002","Spectral wave observation (WAVEOB)","Operational"
100.00,"031","Oceanographic data","003","Bathythermal observation (BATHY)","Operational"
101.00,"031","Oceanographic data","004","Sub-surface floats (profile)","Operational"
102.00,"031","Oceanographic data","005","XBT/XCTD profiles (TESAC)","Operational"
103.00,"031","Oceanographic data","006","Waves reports","Operational"
104.00,"031","Oceanographic data","007","Tsunameter data","Operational"
105.00,"101","Image data (satellite)","000","Multi-purpose VIS/IR imagery","Validation"
106.00,"101","Image data (satellite)","001","Conical scanning MW imagery (intermediate frequencies)","Validation"
