"No","Title_E","OctetNo","Contents_E","Note_E","Status"
1.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
2.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","16","Scale factor of radius of spherical Earth",,"Operational"
3.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","17-20","Scaled value of radius of spherical Earth",,"Operational"
4.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
5.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
6.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
7.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
8.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","31-34","Ni - number of points along a parallel",,"Operational"
9.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","35-38","Nj - number of points along a meridian",,"Operational"
10.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","39-42","Basic angle of the initial production domain","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
11.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
12.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","47-50","La1 - latitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
13.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","51-54","Lo1 - longitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
14.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","55","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
15.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","56-59","La2 - latitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
16.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","60-63","Lo2 - longitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
17.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","64-67","Di - i direction increment","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
