"No","FXY","ElementName_E","CodeFigure","EntryName_E","EntryName_sub1_E","EntryName_sub2_E","Note_E","Status"
1,"001003","WMO Region number/geographical area","0","Antarctica",,,,"Operational"
2,"001003","WMO Region number/geographical area","1","Region I",,,,"Operational"
3,"001003","WMO Region number/geographical area","2","Region II",,,,"Operational"
4,"001003","WMO Region number/geographical area","3","Region III",,,,"Operational"
5,"001003","WMO Region number/geographical area","4","Region IV",,,,"Operational"
6,"001003","WMO Region number/geographical area","5","Region V",,,,"Operational"
7,"001003","WMO Region number/geographical area","6","Region VI",,,,"Operational"
8,"001003","WMO Region number/geographical area","7","Missing value",,,,"Operational"
9,"001007","Satellite identifier",,,,,,"Operational"
10,"001024","Wind speed source","0","No wind speed data available",,,,"Operational"
11,"001024","Wind speed source","1","AMSR-E data",,,,"Operational"
12,"001024","Wind speed source","2","TMI data",,,,"Operational"
13,"001024","Wind speed source","3","NWP: ECMWF",,,,"Operational"
14,"001024","Wind speed source","4","NWP: UK Met Office",,,,"Operational"
15,"001024","Wind speed source","5","NWP: NCEP",,,,"Operational"
16,"001024","Wind speed source","6","Reference climatology",,,,"Operational"
17,"001024","Wind speed source","7","ERS_Scatterometer",,,,"Operational"
18,"001024","Wind speed source","8-30","Reserved for future use",,,,"Operational"
19,"001024","Wind speed source","31","Missing value",,,,"Operational"
20,"001028","Aerosol optical depth (AOD) source","0","No AOD data available",,,,"Operational"
21,"001028","Aerosol optical depth (AOD) source","1","NESDIS",,,,"Operational"
22,"001028","Aerosol optical depth (AOD) source","2","NAVOCEANO",,,,"Operational"
23,"001028","Aerosol optical depth (AOD) source","3","NAAPS",,,,"Operational"
24,"001028","Aerosol optical depth (AOD) source","4","MERIS",,,,"Operational"
25,"001028","Aerosol optical depth (AOD) source","5","AATSR",,,,"Operational"
26,"001028","Aerosol optical depth (AOD) source","6-30","Reserved for future use",,,,"Operational"
27,"001028","Aerosol optical depth (AOD) source","31","Missing value",,,,"Operational"
28,"001029","SSI source","0","No SSI data available",,,,"Operational"
29,"001029","SSI source","1","MSG_SEVIRI",,,,"Operational"
30,"001029","SSI source","2","GOES East",,,,"Operational"
31,"001029","SSI source","3","GOES West",,,,"Operational"
32,"001029","SSI source","4","ECMWF",,,,"Operational"
33,"001029","SSI source","5","NCEP",,,,"Operational"
34,"001029","SSI source","6","UK Met Office",,,,"Operational"
35,"001029","SSI source","7-30","Reserved for future use",,,,"Operational"
36,"001029","SSI source","31","Missing value",,,,"Operational"
37,"001031","Identification of originating/generating centre",,,,,,"Operational"
38,"001033","Identification of originating/generating centre",,,,,,"Operational"
39,"001034","Identification of originating/generating sub-centre",,,,,,"Operational"
40,"001036","Agency in charge of operating the observing platform","0-36000","Reserved",,,,"Operational"
41,"001036","Agency in charge of operating the observing platform","36001","Australia, Bureau of Meteorology (BOM)",,,,"Operational"
42,"001036","Agency in charge of operating the observing platform","36002","Australia, Joint Australian Facility for Ocean Observing Systems (JAFOOS)",,,,"Operational"
43,"001036","Agency in charge of operating the observing platform","36003","Australia, the Commonwealth Scientific and Industrial Research Organization (CSIRO)",,,,"Operational"
44,"001036","Agency in charge of operating the observing platform","36004-124000","Reserved",,,,"Operational"
45,"001036","Agency in charge of operating the observing platform","124001","Canada, Marine Environmental Data Service (MEDS)",,,,"Operational"
46,"001036","Agency in charge of operating the observing platform","124002","Canada, Institute of Ocean Sciences (IOS)",,,,"Operational"
47,"001036","Agency in charge of operating the observing platform","124003-156000","Reserved",,,,"Operational"
48,"001036","Agency in charge of operating the observing platform","156001","China, The State Oceanic Administration",,,,"Operational"
49,"001036","Agency in charge of operating the observing platform","156002","China, Second Institute of Oceanography, State Oceanic Administration",,,,"Operational"
50,"001036","Agency in charge of operating the observing platform","156003","China, Institute of Ocean Technology",,,,"Operational"
51,"001036","Agency in charge of operating the observing platform","156004-250000","Reserved",,,,"Operational"
52,"001036","Agency in charge of operating the observing platform","250001","France, Institut de Recherche pour le Développement (IRD)",,,,"Operational"
53,"001036","Agency in charge of operating the observing platform","250002","France, Institut Français de Recherche pour l'Exploitation de la mer (IFREMER)",,,,"Operational"
54,"001036","Agency in charge of operating the observing platform","250003-276000","Reserved",,,,"Operational"
55,"001036","Agency in charge of operating the observing platform","276001","Germany, Bundesamt fuer Seeschiffahrt und Hydrographie (BSH)",,,,"Operational"
56,"001036","Agency in charge of operating the observing platform","276002","Germany, Institut fuer Meereskunde, Kiel",,,,"Operational"
57,"001036","Agency in charge of operating the observing platform","276003-356000","Reserved",,,,"Operational"
58,"001036","Agency in charge of operating the observing platform","356001","India, National Institute of Oceanography (NIO)",,,,"Operational"
59,"001036","Agency in charge of operating the observing platform","356002","India, National Institute for Ocean Technology (NIOT)",,,,"Operational"
60,"001036","Agency in charge of operating the observing platform","356003","India, National Centre for Ocean Information Service",,,,"Operational"
61,"001036","Agency in charge of operating the observing platform","356004-392000","Reserved",,,,"Operational"
62,"001036","Agency in charge of operating the observing platform","392001","Japan, Japan Meteorological Agency (JMA)",,,,"Operational"
63,"001036","Agency in charge of operating the observing platform","392002","Japan, Frontier Observational Research System for Global Change",,,,"Operational"
64,"001036","Agency in charge of operating the observing platform","392003","Japan, Japan Marine Science and Technology Centre (JAMSTEC)",,,,"Operational"
65,"001036","Agency in charge of operating the observing platform","392004-410000","Reserved",,,,"Operational"
66,"001036","Agency in charge of operating the observing platform","410001","Republic of Korea, Seoul National University",,,,"Operational"
67,"001036","Agency in charge of operating the observing platform","410002","Republic of Korea, Korea Ocean Research and Development Institute  (KORDI)",,,,"Operational"
68,"001036","Agency in charge of operating the observing platform","410003","Republic of Korea, Meteorological Research Institute",,,,"Operational"
69,"001036","Agency in charge of operating the observing platform","410004-540000","Reserved",,,,"Operational"
70,"001036","Agency in charge of operating the observing platform","540001","New Caledonia, Institut de Recherche pour le Développement (IRD)",,,,"Operational"
71,"001036","Agency in charge of operating the observing platform","540002-554000","Reserved",,,,"Operational"
72,"001036","Agency in charge of operating the observing platform","554001","New Zealand, National Institute of Water and Atmospheric Research (NIWA)",,,,"Operational"
73,"001036","Agency in charge of operating the observing platform","554002-643000","Reserved",,,,"Operational"
74,"001036","Agency in charge of operating the observing platform","643001","Russian Federation, State Oceanographic Institute of Roshydromet",,,,"Operational"
75,"001036","Agency in charge of operating the observing platform","643002","Russian Federation, Federal Service for Hydrometeorology and Environmental Monitoring",,,,"Operational"
76,"001036","Agency in charge of operating the observing platform","643003-724000","Reserved",,,,"Operational"
77,"001036","Agency in charge of operating the observing platform","724001","Spain, Instituto Español de Oceanografia",,,,"Operational"
78,"001036","Agency in charge of operating the observing platform","724002-826000","Reserved",,,,"Operational"
79,"001036","Agency in charge of operating the observing platform","826001","United Kingdom, Hydrographic Office",,,,"Operational"
80,"001036","Agency in charge of operating the observing platform","826002","United Kingdom, Southampton Oceanography Centre (SOC)",,,,"Operational"
81,"001036","Agency in charge of operating the observing platform","826003-840000","Reserved",,,,"Operational"
82,"001036","Agency in charge of operating the observing platform","840001","USA, NOAA Atlantic Oceanographic and Meteorological Laboratories (AOML)",,,,"Operational"
83,"001036","Agency in charge of operating the observing platform","840002","USA, NOAA Pacific Marine Environmental Laboratories (PMEL)",,,,"Operational"
84,"001036","Agency in charge of operating the observing platform","840003","USA, Scripps Institution of Oceanography (SIO)",,,,"Operational"
85,"001036","Agency in charge of operating the observing platform","840004","USA, Woods Hole Oceanographic Institution (WHOI)",,,,"Operational"
86,"001036","Agency in charge of operating the observing platform","840005","USA, University of Washington",,,,"Operational"
87,"001036","Agency in charge of operating the observing platform","840006","USA, Naval Oceanographic Office",,,,"Operational"
88,"001036","Agency in charge of operating the observing platform","840007-1048574","Reserved",,,,"Operational"
89,"001036","Agency in charge of operating the observing platform","1048575","Missing value",,,,"Operational"
90,"001038","Source of sea ice fraction","0","No sea ice set",,,,"Operational"
91,"001038","Source of sea ice fraction","1","NSIDC SSM/I Cavalieri et al. (1992)",,,,"Operational"
92,"001038","Source of sea ice fraction","2","AMSR-E",,,,"Operational"
93,"001038","Source of sea ice fraction","3","ECMWF",,,,"Operational"
94,"001038","Source of sea ice fraction","4","CMS (France) cloud mask used by Medspiration",,,,"Operational"
95,"001038","Source of sea ice fraction","5","EUMETSAT OSI-SAF",,,,"Operational"
96,"001038","Source of sea ice fraction","6-30","Reserved for future use",,,,"Operational"
97,"001038","Source of sea ice fraction","31","Missing value",,,,"Operational"
98,"001052","Platform transmitter ID","0","Primary",,,,"Operational"
99,"001052","Platform transmitter ID","1","Secondary",,,,"Operational"
100,"001052","Platform transmitter ID","2","Reserved",,,,"Operational"
101,"001052","Platform transmitter ID","3","Missing value",,,,"Operational"
102,"001090","Technique for making up initial perturbations","0","Lagged-average forecasting (LAF)",,,,"Operational"
103,"001090","Technique for making up initial perturbations","1","Breeding",,,,"Operational"
104,"001090","Technique for making up initial perturbations","2","Singular vectors",,,,"Operational"
105,"001090","Technique for making up initial perturbations","3","Multiple analysis cycles",,,,"Operational"
106,"001090","Technique for making up initial perturbations","4-191","Reserved",,,,"Operational"
107,"001090","Technique for making up initial perturbations","192-254","Reserved for local use",,,,"Operational"
108,"001090","Technique for making up initial perturbations","255","Missing value",,,,"Operational"
109,"001092","Type of ensemble forecast","0","Unperturbed high-resolution control forecast",,,,"Operational"
110,"001092","Type of ensemble forecast","1","Unperturbed low-resolution control forecast",,,,"Operational"
111,"001092","Type of ensemble forecast","2","Negatively perturbed forecast",,,,"Operational"
112,"001092","Type of ensemble forecast","3","Positively perturbed forecast",,,,"Operational"
113,"001092","Type of ensemble forecast","4-191","Reserved",,,,"Operational"
114,"001092","Type of ensemble forecast","192-254","Reserved for local use",,,,"Operational"
115,"001092","Type of ensemble forecast","255","Missing value",,,,"Operational"
116,"001101","State identifier","0-99","Reserved",,,,"Operational"
117,"001101","State identifier","100","Algeria",,,,"Operational"
118,"001101","State identifier","101","Angola",,,,"Operational"
119,"001101","State identifier","102","Benin",,,,"Operational"
120,"001101","State identifier","103","Botswana",,,,"Operational"
121,"001101","State identifier","104","Burkina Faso",,,,"Operational"
122,"001101","State identifier","105","Burundi",,,,"Operational"
123,"001101","State identifier","106","Cameroon",,,,"Operational"
124,"001101","State identifier","107","Cape Verde",,,,"Operational"
125,"001101","State identifier","108","Central African Republic",,,,"Operational"
126,"001101","State identifier","109","Chad",,,,"Operational"
127,"001101","State identifier","110","Comoros",,,,"Operational"
128,"001101","State identifier","111","Congo",,,,"Operational"
129,"001101","State identifier","112","Cote d'Ivoire",,,,"Operational"
130,"001101","State identifier","113","Democratic Republic of the Congo",,,,"Operational"
131,"001101","State identifier","114","Djibouti",,,,"Operational"
132,"001101","State identifier","115","Egypt",,,,"Operational"
133,"001101","State identifier","116","Eritrea",,,,"Operational"
134,"001101","State identifier","117","Ethiopia",,,,"Operational"
135,"001101","State identifier","118","France (RA I)",,,,"Operational"
136,"001101","State identifier","119","Gabon",,,,"Operational"
137,"001101","State identifier","120","Gambia",,,,"Operational"
138,"001101","State identifier","121","Ghana",,,,"Operational"
139,"001101","State identifier","122","Guinea",,,,"Operational"
140,"001101","State identifier","123","Guinea-Bissau",,,,"Operational"
141,"001101","State identifier","124","Kenya",,,,"Operational"
142,"001101","State identifier","125","Lesotho",,,,"Operational"
143,"001101","State identifier","126","Liberia",,,,"Operational"
144,"001101","State identifier","127","Libyan Arab Jamahiriya",,,,"Operational"
145,"001101","State identifier","128","Madagascar",,,,"Operational"
146,"001101","State identifier","129","Malawi",,,,"Operational"
147,"001101","State identifier","130","Mali",,,,"Operational"
148,"001101","State identifier","131","Mauritania",,,,"Operational"
149,"001101","State identifier","132","Mauritius",,,,"Operational"
150,"001101","State identifier","133","Morocco",,,,"Operational"
151,"001101","State identifier","134","Mozambique",,,,"Operational"
152,"001101","State identifier","135","Namibia",,,,"Operational"
153,"001101","State identifier","136","Niger",,,,"Operational"
154,"001101","State identifier","137","Nigeria",,,,"Operational"
155,"001101","State identifier","138","Portugal (RA I)",,,,"Operational"
156,"001101","State identifier","139","Rwanda",,,,"Operational"
157,"001101","State identifier","140","Sao Tome and Principe",,,,"Operational"
158,"001101","State identifier","141","Senegal",,,,"Operational"
159,"001101","State identifier","142","Seychelles",,,,"Operational"
160,"001101","State identifier","143","Sierra Leone",,,,"Operational"
161,"001101","State identifier","144","Somalia",,,,"Operational"
162,"001101","State identifier","145","South Africa",,,,"Operational"
163,"001101","State identifier","146","Spain (RA I)",,,,"Operational"
164,"001101","State identifier","147","Sudan",,,,"Operational"
165,"001101","State identifier","148","Swaziland",,,,"Operational"
166,"001101","State identifier","149","Togo",,,,"Operational"
167,"001101","State identifier","150","Tunisia",,,,"Operational"
168,"001101","State identifier","151","Uganda",,,,"Operational"
169,"001101","State identifier","152","United Kingdom of Great Britain and Northern Ireland (RA I)",,,,"Operational"
170,"001101","State identifier","153","United Republic of Tanzania",,,,"Operational"
171,"001101","State identifier","154","Zambia",,,,"Operational"
172,"001101","State identifier","155","Zimbabwe",,,,"Operational"
173,"001101","State identifier","156-199","Reserved for Region I (Africa)",,,,"Operational"
174,"001101","State identifier","200","Afghanistan",,,,"Operational"
175,"001101","State identifier","201","Bahrain",,,,"Operational"
176,"001101","State identifier","202","Bangladesh",,,,"Operational"
177,"001101","State identifier","203","Bhutan",,,,"Operational"
178,"001101","State identifier","204","Cambodia",,,,"Operational"
179,"001101","State identifier","205","China",,,,"Operational"
180,"001101","State identifier","206","Democratic People's Republic of Korea",,,,"Operational"
181,"001101","State identifier","207","Hong Kong, China",,,,"Operational"
182,"001101","State identifier","208","India",,,,"Operational"
183,"001101","State identifier","209","Iran, Islamic Republic of",,,,"Operational"
184,"001101","State identifier","210","Iraq ",,,,"Operational"
185,"001101","State identifier","211","Japan",,,,"Operational"
186,"001101","State identifier","212","Kazakhstan",,,,"Operational"
187,"001101","State identifier","213","Kuwait",,,,"Operational"
188,"001101","State identifier","214","Kyrgyzstan",,,,"Operational"
189,"001101","State identifier","215","Lao People's Democratic Republic",,,,"Operational"
190,"001101","State identifier","216","Macao, China",,,,"Operational"
191,"001101","State identifier","217","Maldives",,,,"Operational"
192,"001101","State identifier","218","Mongolia",,,,"Operational"
193,"001101","State identifier","219","Myanmar",,,,"Operational"
194,"001101","State identifier","220","Nepal",,,,"Operational"
195,"001101","State identifier","221","Oman",,,,"Operational"
196,"001101","State identifier","222","Pakistan",,,,"Operational"
197,"001101","State identifier","223","Qatar",,,,"Operational"
198,"001101","State identifier","224","Republic of Korea",,,,"Operational"
199,"001101","State identifier","225","Yemen",,,,"Operational"
200,"001101","State identifier","226","Russian Federation (RA II)",,,,"Operational"
201,"001101","State identifier","227","Saudi Arabia",,,,"Operational"
202,"001101","State identifier","228","Sri Lanka",,,,"Operational"
203,"001101","State identifier","229","Tajikistan",,,,"Operational"
204,"001101","State identifier","230","Thailand",,,,"Operational"
205,"001101","State identifier","231","Turkmenistan",,,,"Operational"
206,"001101","State identifier","232","United Arab Emirates",,,,"Operational"
207,"001101","State identifier","233","Uzbekistan",,,,"Operational"
208,"001101","State identifier","234","Viet Nam",,,,"Operational"
209,"001101","State identifier","235-299","Reserved for Region II (Asia)",,,,"Operational"
210,"001101","State identifier","300","Argentina",,,,"Operational"
211,"001101","State identifier","301","Bolivia (Plurinational State of)",,,,"Operational"
212,"001101","State identifier","302","Brazil",,,,"Operational"
213,"001101","State identifier","303","Chile",,,,"Operational"
214,"001101","State identifier","304","Colombia",,,,"Operational"
215,"001101","State identifier","305","Ecuador",,,,"Operational"
216,"001101","State identifier","306","France (RA III)",,,,"Operational"
217,"001101","State identifier","307","Guyana",,,,"Operational"
218,"001101","State identifier","308","Paraguay",,,,"Operational"
219,"001101","State identifier","309","Peru",,,,"Operational"
220,"001101","State identifier","310","Suriname",,,,"Operational"
221,"001101","State identifier","311","Uruguay",,,,"Operational"
222,"001101","State identifier","312","Venezuela (Bolivarian Republic of)",,,,"Operational"
223,"001101","State identifier","313-399","Reserved for Region III (South America)",,,,"Operational"
224,"001101","State identifier","400","Antigua and Barbuda",,,,"Operational"
225,"001101","State identifier","401","Bahamas",,,,"Operational"
226,"001101","State identifier","402","Barbados",,,,"Operational"
227,"001101","State identifier","403","Belize",,,,"Operational"
228,"001101","State identifier","404","British Caribbean Territories",,,,"Operational"
229,"001101","State identifier","405","Canada",,,,"Operational"
230,"001101","State identifier","406","Colombia",,,,"Operational"
231,"001101","State identifier","407","Costa Rica",,,,"Operational"
232,"001101","State identifier","408","Cuba",,,,"Operational"
233,"001101","State identifier","409","Dominica",,,,"Operational"
234,"001101","State identifier","410","Dominican Republic",,,,"Operational"
235,"001101","State identifier","411","El Salvador",,,,"Operational"
236,"001101","State identifier","412","France (RA IV)",,,,"Operational"
237,"001101","State identifier","413","Guatemala",,,,"Operational"
238,"001101","State identifier","414","Haiti",,,,"Operational"
239,"001101","State identifier","415","Honduras",,,,"Operational"
240,"001101","State identifier","416","Jamaica",,,,"Operational"
241,"001101","State identifier","417","Mexico",,,,"Operational"
242,"001101","State identifier","418","Netherlands Antilles and Aruba",,,,"Operational"
243,"001101","State identifier","419","Nicaragua",,,,"Operational"
244,"001101","State identifier","420","Panama",,,,"Operational"
245,"001101","State identifier","421","Saint Lucia",,,,"Operational"
246,"001101","State identifier","422","Trinidad and Tobago",,,,"Operational"
247,"001101","State identifier","423","United Kingdom of Great Britain and Northern Ireland (RA IV)",,,,"Operational"
248,"001101","State identifier","424","United States of America (RA IV)",,,,"Operational"
249,"001101","State identifier","425","Venezuela (Bolivarian Republic of)",,,,"Operational"
250,"001101","State identifier","426-499","Reserved for Region IV (North America, Central America and the Caribbean)",,,,"Operational"
251,"001101","State identifier","500","Australia",,,,"Operational"
252,"001101","State identifier","501","Brunei Darussalam",,,,"Operational"
253,"001101","State identifier","502","Cook Islands",,,,"Operational"
254,"001101","State identifier","503","Fiji",,,,"Operational"
255,"001101","State identifier","504","French Polynesia",,,,"Operational"
256,"001101","State identifier","505","Indonesia",,,,"Operational"
257,"001101","State identifier","506","Kiribati",,,,"Operational"
258,"001101","State identifier","507","Malaysia",,,,"Operational"
259,"001101","State identifier","508","Micronesia, Federated States of",,,,"Operational"
260,"001101","State identifier","509","New Caledonia",,,,"Operational"
261,"001101","State identifier","510","New Zealand",,,,"Operational"
262,"001101","State identifier","511","Niue",,,,"Operational"
263,"001101","State identifier","512","Papua New Guinea",,,,"Operational"
264,"001101","State identifier","513","Philippines",,,,"Operational"
265,"001101","State identifier","514","Samoa",,,,"Operational"
266,"001101","State identifier","515","Singapore",,,,"Operational"
267,"001101","State identifier","516","Solomon Islands",,,,"Operational"
268,"001101","State identifier","517","Tonga",,,,"Operational"
269,"001101","State identifier","518","United Kingdom of Great Britain and Northern Ireland (RA V)",,,,"Operational"
270,"001101","State identifier","519","United States of America (RA V)",,,,"Operational"
271,"001101","State identifier","520","Vanuatu",,,,"Operational"
272,"001101","State identifier","521-599","Reserved for Region V (South-West Pacific)",,,,"Operational"
273,"001101","State identifier","600","Albania",,,,"Operational"
274,"001101","State identifier","601","Armenia",,,,"Operational"
275,"001101","State identifier","602","Austria",,,,"Operational"
276,"001101","State identifier","603","Azerbaijan",,,,"Operational"
277,"001101","State identifier","604","Belarus",,,,"Operational"
278,"001101","State identifier","605","Belgium",,,,"Operational"
279,"001101","State identifier","606","Bosnia and Herzegovina",,,,"Operational"
280,"001101","State identifier","607","Bulgaria",,,,"Operational"
281,"001101","State identifier","608","Croatia",,,,"Operational"
282,"001101","State identifier","609","Cyprus",,,,"Operational"
283,"001101","State identifier","610","Czech Republic",,,,"Operational"
284,"001101","State identifier","611","Denmark",,,,"Operational"
