"No","ClassNo","ClassName_E","FXY","ElementName_E","Note_E","BUFR_Unit","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit","CREX_Scale","CREX_DataWidth_Char","Status"
1,"00","BUFR/CREX table entries","000001","Table A: entry",,"CCITT IA5","0","0","24","Character","0","3","Operational"
2,"00","BUFR/CREX table entries","000002","Table A: data category description, line 1",,"CCITT IA5","0","0","256","Character","0","32","Operational"
3,"00","BUFR/CREX table entries","000003","Table A: data category description, line 2",,"CCITT IA5","0","0","256","Character","0","32","Operational"
4,"00","BUFR/CREX table entries","000004","BUFR/CREX Master table","(see Note 1)#BUFR_16_0_0_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
5,"00","BUFR/CREX table entries","000005","BUFR/CREX edition number",,"CCITT IA5","0","0","24","Character","0","3","Operational"
6,"00","BUFR/CREX table entries","000006","BUFR Master table Version number","(see Note 2)#BUFR_16_0_0_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
7,"00","BUFR/CREX table entries","000007","CREX Master table version number","(see Note 3)#BUFR_16_0_0_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
8,"00","BUFR/CREX table entries","000008","BUFR Local table version number","(see Note 4)#BUFR_16_0_0_TableB.doc#BC_Cls00","CCITT IA5","0","0","16","Character","0","2","Operational"
9,"00","BUFR/CREX table entries","000010","F descriptor to be added or defined",,"CCITT IA5","0","0","8","Character","0","1","Operational"
10,"00","BUFR/CREX table entries","000011","X descriptor to be added or defined",,"CCITT IA5","0","0","16","Character","0","2","Operational"
11,"00","BUFR/CREX table entries","000012","Y descriptor to be added or defined",,"CCITT IA5","0","0","24","Character","0","3","Operational"
12,"00","BUFR/CREX table entries","000013","Element name, line 1",,"CCITT IA5","0","0","256","Character","0","32","Operational"
13,"00","BUFR/CREX table entries","000014","Element name, line 2",,"CCITT IA5","0","0","256","Character","0","32","Operational"
14,"00","BUFR/CREX table entries","000015","Units name",,"CCITT IA5","0","0","192","Character","0","24","Operational"
15,"00","BUFR/CREX table entries","000016","Units scale sign",,"CCITT IA5","0","0","8","Character","0","1","Operational"
16,"00","BUFR/CREX table entries","000017","Units scale",,"CCITT IA5","0","0","24","Character","0","3","Operational"
17,"00","BUFR/CREX table entries","000018","Units reference sign",,"CCITT IA5","0","0","8","Character","0","1","Operational"
18,"00","BUFR/CREX table entries","000019","Units reference value",,"CCITT IA5","0","0","80","Character","0","10","Operational"
19,"00","BUFR/CREX table entries","000020","Element data width",,"CCITT IA5","0","0","24","Character","0","3","Operational"
20,"00","BUFR/CREX table entries","000024","Code figure",,"CCITT IA5","0","0","64","Character","0","8","Validation"
21,"00","BUFR/CREX table entries","000025","Code figure meaning",,"CCITT IA5","0","0","496","Character","0","62","Validation"
22,"00","BUFR/CREX table entries","000026","Bit number",,"CCITT IA5","0","0","16","Character","0","2","Validation"
23,"00","BUFR/CREX table entries","000027","Bit number meaning",,"CCITT IA5","0","0","496","Character","0","62","Validation"
24,"00","BUFR/CREX table entries","000030","Descriptor defining sequence",,"CCITT IA5","0","0","48","Character","0","6","Operational"
25,"01","Identification","001001","WMO block number",,"Numeric","0","0","7","Numeric","0","2","Operational"
26,"01","Identification","001002","WMO station number",,"Numeric","0","0","10","Numeric","0","3","Operational"
27,"01","Identification","001003","WMO Region number/geographical area",,"Code table","0","0","3","Code table","0","1","Operational"
28,"01","Identification","001004","WMO Region sub-area","(see Note 9)#BUFR_16_0_0_TableB.doc#BC_Cls01","Numeric","0","0","3","Numeric","0","1","Operational"
29,"01","Identification","001005","Buoy/platform identifier",,"Numeric","0","0","17","Numeric","0","5","Operational"
30,"01","Identification","001006","Aircraft flight number",,"CCITT IA5","0","0","64","Character","0","8","Operational"
31,"01","Identification","001007","Satellite identifier",,"Code table","0","0","10","Code table","0","4","Operational"
32,"01","Identification","001008","Aircraft registration number or other identification",,"CCITT IA5","0","0","64","Character","0","8","Operational"
33,"01","Identification","001009","Type of commercial aircraft",,"CCITT IA5","0","0","64","Character","0","8","Operational"
34,"01","Identification","001010","Stationary buoy platform identifier; e.g. C-MAN buoys",,"CCITT IA5","0","0","64","Character","0","8","Operational"
35,"01","Identification","001011","Ship or mobile land station identifier",,"CCITT IA5","0","0","72","Character","0","9","Operational"
36,"01","Identification","001012","Direction of motion of moving observing platform (degree true)","*#BUFR_16_0_0_TableB.doc#BC_Cls01a","deg","0","0","9","deg","0","3","Operational"
37,"01","Identification","001013","Speed of motion of moving observing platform","*#BUFR_16_0_0_TableB.doc#BC_Cls01a","m/s","0","0","10","m/s","0","3","Operational"
38,"01","Identification","001014","Platform drift speed (high precision)",,"m/s","2","0","10","m/s","2","4","Operational"
39,"01","Identification","001015","Station or site name",,"CCITT IA5","0","0","160","Character","0","20","Operational"
40,"01","Identification","001018","Short station or site name",,"CCITT IA5","0","0","40","Character","0","5","Operational"
41,"01","Identification","001019","Long station or site name",,"CCITT IA5","0","0","256","Character","0","32","Operational"
42,"01","Identification","001020","WMO Region sub-area",,"Numeric","0","0","4","Numeric","0","2","Operational"
43,"01","Identification","001021","Synoptic feature identifier",,"Numeric","0","0","14","Numeric","0","4","Operational"
44,"01","Identification","001022","Name of feature","(see Note 11)#BUFR_16_0_0_TableB.doc#BC_Cls01","CCITT IA5","0","0","224","Character","0","28","Operational"
45,"01","Identification","001023","Observation sequence number",,"Numeric","0","0","9","Numeric","0","3","Operational"
46,"01","Identification","001024","Wind speed source",,"Code table","0","0","5","Code table","0","2","Operational"
47,"01","Identification","001025","Storm identifier","(see Note 1)#BUFR_16_0_0_TableB.doc#BC_Cls01","CCITT IA5","0","0","24","Character","0","3","Operational"
48,"01","Identification","001026","WMO storm name","**#BUFR_16_0_0_TableB.doc#BC_Cls01aa","CCITT IA5","0","0","64","Character","0","8","Operational"
49,"01","Identification","001027","WMO long storm name","**#BUFR_16_0_0_TableB.doc#BC_Cls01aa","CCITT IA5","0","0","80","Character","0","10","Operational"
50,"01","Identification","001028","Aerosol optical depth (AOD) source",,"Code table","0","0","5","Code table","0","2","Operational"
51,"01","Identification","001029","SSI source",,"Code table","0","0","5","Code table","0","2","Operational"
52,"01","Identification","001030","Numerical model identifier","(see Note 13)#BUFR_16_0_0_TableB.doc#BC_Cls01","CCITT IA5","0","0","128","Character","0","16","Operational"
53,"01","Identification","001031","Identification of originating/generating centre","(see Note 10)#BUFR_16_0_0_TableB.doc#BC_Cls01","Code table","0","0","16","Code table","0","5","Operational"
54,"01","Identification","001032","Generating application","(Notes 3, 4 and 5)#BUFR_16_0_0_TableB.doc#BC_Cls01","Code table defined by originating/generating centre","0","0","8","Code table","0","3","Operational"
55,"01","Identification","001033","Identification of originating/generating centre",,"Common Code table C-1","0","0","8","Common Code table C-1","0","3","Operational"
56,"01","Identification","001034","Identification of originating/generating sub-centre",,"Common Code table C-12","0","0","8","Common Code table C-12","0","3","Operational"
57,"01","Identification","001035","Originating centre",,"Common Code table C-11","0","0","16","Common Code Table C-11","0","5","Operational"
58,"01","Identification","001036","Agency in charge of operating the observing platform",,"Code table","0","0","20","Code table","0","7","Operational"
59,"01","Identification","001037","SIGMET sequence identifier",,"CCITT IA5","0","0","24","Character","0","3","Operational"
60,"01","Identification","001038","Source of sea ice fraction",,"Code table","0","0","5","Code table","0","2","Operational"
61,"01","Identification","001039","Graphical Area Forecast (GFA) sequence identifier",,"CCITT IA5","0","0","40","Character","0","5","Operational"
62,"01","Identification","001041","Absolute platform velocity - first component","(see Note 6)#BUFR_16_0_0_TableB.doc#BC_Cls01","m/s","5","-1073741824","31","m/s","5","10","Operational"
63,"01","Identification","001042","Absolute platform velocity - second component","(see Note 6)#BUFR_16_0_0_TableB.doc#BC_Cls01","m/s","5","-1073741824","31","m/s","5","10","Operational"
64,"01","Identification","001043","Absolute platform velocity - third component","(see Note 6)#BUFR_16_0_0_TableB.doc#BC_Cls01","m/s","5","-1073741824","31","m/s","5","10","Operational"
65,"01","Identification","001050","Platform transmitter ID number",,"Numeric","0","0","17","Numeric","0","6","Operational"
66,"01","Identification","001051","Platform transmitter ID number",,"CCITT IA5","0","0","96","Character","0","12","Operational"
67,"01","Identification","001052","Platform transmitter ID",,"Code table","0","0","3","Code table","0","1","Operational"
68,"01","Identification","001053","Tsunameter report sequence number triggered by a tsunami event",,"Numeric","0","0","7","Numeric","0","2","Operational"
69,"01","Identification","001060","Aircraft reporting point (Beacon identifier)",,"CCITT IA5","0","0","64","Character","0","8","Operational"
70,"01","Identification","001062","Short ICAO location indicator",,"CCITT IA5","0","0","32","Character","0","4","Operational"
71,"01","Identification","001063","ICAO location indicator",,"CCITT IA5","0","0","64","Character","0","8","Operational"
72,"01","Identification","001064","Runway designator",,"CCITT IA5","0","0","32","Character","0","4","Operational"
73,"01","Identification","001065","ICAO region identifier",,"CCITT IA5","0","0","256","Character","0","32","Operational"
74,"01","Identification","001075","Tide station identification",,"CCITT IA5","0","0","40","Character","0","5","Operational"
75,"01","Identification","001080","Ship line number according to SOOP",,"CCITT IA5","0","0","32","Character","0","4","Operational"
76,"01","Identification","001081","Radiosonde serial number",,"CCITT IA5","0","0","160","Character","0","20","Operational"
