"No","Edition","FXY","OperatorName_E","OperationDefinition_E","Note_E","Status"
1,3.00,"201YYY","Change data width","Add (YYY-128) bits to the data width given for each data element in Table B, other than CCITT IA5 (character) data, code or flag tables.",,"Operational"
2,3.00,"202YYY","Change scale","Add YYY-128 to the scale for each data element in Table B, other than CCITT IA5 (character) data, code or flag tables.",,"Operational"
3,3.00,"203YYY","Change reference values","Subsequent element descriptors define new reference values for corresponding Table B entries. Each new reference value is represented by YYY bits in the Data section. Definition of new reference values is concluded by coding this operator with YYY = 255. Negative reference values shall be represented by a positive integer with the left-most bit (bit 1) set to 1.",,"Operational"
4,3.00,"204YYY","Add associated field","Precede each data element with YYY bits of information.  This operation associates a data field (e.g. quality control information) of YYY bits with each data element.",,"Operational"
5,3.00,"205YYY","Signify character","YYY characters (CCITT International Alphabet No. 5) are inserted as a data field of YYY x 8 bits in length.",,"Operational"
6,3.00,"206YYY","Signify data width for the immediately following local descriptor","YYY bits of data are described by the immediately following descriptor.",,"Operational"
7,3.00,"221YYY","Data not present","Data values present in section 4 (Data section) corresponding to the following YYY descriptors shall be limited to data from classes 1-9, and class 31.",,"Operational"
8,3.00,"222000","Quality information follows","The values of Class 33 elements which follow relate to the data defined by the data present bit-map.",,"Operational"
9,3.00,"223000","Substituted values operator","The substituted values which follow relate to the data defined by the data present bit-map.",,"Operational"
10,3.00,"223255","Substituted values marker operator","This operator shall signify a data item containing a substituted value; the element descriptor for the substituted value is obtained by the application of the data present bit-map associated with the substituted values operator.",,"Operational"
11,3.00,"224000","First order statistical values follow","The statistical values which follow relate to the data defined by the data present bit-map.",,"Operational"
12,3.00,"224255","First order statistical values marker operator","This operator shall signify a data item containing a first order statistical value of the type indicated by the preceding 0 08 023 element descriptor; the element descriptor to which the first order statistic relates is obtained by the application of the data present bit-map associated with the first order statistical values follow operator; first order statistical values shall be represented as defined by this element descriptor.",,"Operational"
13,3.00,"225000","Difference statistical values follow","The statistical values which follow relate to the data defined by the data present bit-map.",,"Operational"
14,3.00,"225255","Difference statistical values marker operator","This operator shall signify a data item containing a difference statistical value of the type indicated by the preceding 0 08 024 element descriptor; the element descriptor to which the difference statistical value relates is obtained by the application of the data present bit-map associated with the difference statistical values follow operator; difference statistical values shall be represented as defined by this element descriptor, but with a reference value of -2n and a data width of (n+1), where n is the data width given by the original descriptor. This special reference value allows the statistical difference values to be centred around zero.",,"Operational"
15,3.00,"232000","Replaced/retained values follow","The replaced/retained values which follow relate to the data defined by the data present bit-map.",,"Operational"
16,3.00,"232255","Replaced/retained value marker operator","This operator shall signify a data item containing the original of an element which has been replaced by a substituted value.  The element descriptor for the retained value is obtained by the application of the data present bit-map associated with the substituted values operator.",,"Operational"
17,3.00,"235000","Cancel backward data reference","This operator terminates all previously defined back-ward reference and cancels any previously defined data present bit-map; it causes the next data present bit-map to refer to the data descriptors which immediately precede the operator to which it relates.",,"Operational"
18,3.00,"236000","Define data present bit-map","This operator defines the data present bit-map which follows for possible re-use; only one data present bitmap may be defined between this operator and the cancel use defined data present bit-map operator.",,"Operational"
19,3.00,"237000","Use defined data present bit-map","This operator causes the defined data present bit-map to be used again.",,"Operational"
20,3.00,"237255","Cancel use defined data present bit-map","This operator cancels the re-use of the defined data present bit-map.",,"Operational"
21,4.00,"201YYY","Change data width","Add (YYY-128) bits to the data width given for each data element in Table B, other than CCITT IA5 (character) data, code or flag tables.",,"Operational"
22,4.00,"202YYY","Change scale","Add YYY-128 to the scale for each data element in Table B, other than CCITT IA5 (character) data, code or flag tables.",,"Operational"
23,4.00,"203YYY","Change reference values","Subsequent element descriptors define new reference values for corresponding Table B entries. Each new reference value is represented by Y bits in the Data section. Definition of new reference values is concluded by coding this operator with YYY = 255. Negative reference values shall be represented by a positive integer with the left-most bit (bit 1) set to 1.",,"Operational"
24,4.00,"204YYY","Add associated field","Precede each data element with YYY bits of information.  This operation associates a data field (e.g. quality control information) of YYY bits with each data element.",,"Operational"
25,4.00,"205YYY","Signify character","YYY characters (CCITT International Alphabet No. 5) are inserted as a data field of Y x 8 bits in length.",,"Operational"
26,4.00,"206YYY","Signify data width for the immediately following local descriptor","YYY bits of data are described by the immediately following descriptor.",,"Operational"
