"No","Category","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
1,"00","BUFR table entries sequences","300002",,,"000002","Table A: data category description, line 1","Table A category, line 1",,"Operational"
2,"00","BUFR table entries sequences","300002",,,"000003","Table A: data category description, line 2","Table A category, line 2",,"Operational"
3,"00","BUFR table entries sequences","300003",,,"000010","F descriptor to be added or defined","F, part descriptor",,"Operational"
4,"00","BUFR table entries sequences","300003",,,"000011","X descriptor to be added or defined","X, part descriptor",,"Operational"
5,"00","BUFR table entries sequences","300003",,,"000012","Y descriptor to be added or defined","Y, part descriptor",,"Operational"
6,"00","BUFR table entries sequences","300004",,,"300003",,,,"Operational"
7,"00","BUFR table entries sequences","300004",,,"000013","Element name, line 1","Element name, line 1",,"Operational"
8,"00","BUFR table entries sequences","300004",,,"000014","Element name, line 2","Element name, line 2",,"Operational"
9,"00","BUFR table entries sequences","300004",,,"000015","Units name","Units name",,"Operational"
10,"00","BUFR table entries sequences","300004",,,"000016","Units scale sign","Units scale sign",,"Operational"
11,"00","BUFR table entries sequences","300004",,,"000017","Units scale","Units scale",,"Operational"
12,"00","BUFR table entries sequences","300004",,,"000018","Units reference sign","Units reference sign",,"Operational"
13,"00","BUFR table entries sequences","300004",,,"000019","Units reference value","Units reference value",,"Operational"
14,"00","BUFR table entries sequences","300004",,,"000020","Element data width","Element data width",,"Operational"
15,"00","BUFR table entries sequences","300010",,,"300003",,"Table D descriptor to be defined",,"Operational"
16,"00","BUFR table entries sequences","300010",,,"101000","Replication descriptor","Delayed replication of 1 descriptor",,"Operational"
17,"00","BUFR table entries sequences","300010",,,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
18,"00","BUFR table entries sequences","300010",,,"000030","Descriptor defining sequence","Descriptor defining sequence",,"Operational"
19,"00","BUFR table entries sequences","300015","(Code table definition)",,"000030","Descriptor defining sequence","Descriptor defining sequence (FXY)",,"Validation"
20,"00","BUFR table entries sequences","300015","(Code table definition)",,"102000","Replication descriptor","Delayed replication of 2 descriptors",,"Validation"
21,"00","BUFR table entries sequences","300015","(Code table definition)",,"031002","Extended delayed descriptor replication factor","Extended delayed descriptor replication factor",,"Validation"
22,"00","BUFR table entries sequences","300015","(Code table definition)",,"000024","Code figure","Code figure",,"Validation"
23,"00","BUFR table entries sequences","300015","(Code table definition)",,"000025","Code figure meaning","Code figure meaning",,"Validation"
24,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000030","Descriptor defining sequence","Descriptor defining sequence (FXY)",,"Validation"
25,"00","BUFR table entries sequences","300016","(Flag table definition)",,"102000","Replication descriptor","Delayed replication of 2 descriptors",,"Validation"
26,"00","BUFR table entries sequences","300016","(Flag table definition)",,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Validation"
27,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000026","Bit number","Bit number",,"Validation"
28,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000027","Bit number meaning","Bit number meaning",,"Validation"
29,"01","Location and identification sequences","301001",,,"001001","WMO block number","WMO block number",,"Operational"
30,"01","Location and identification sequences","301001",,,"001002","WMO station number","WMO station number",,"Operational"
31,"01","Location and identification sequences","301002",,,"001003","WMO Region number/geographical area","WMO Region number","*#BUFR_16_0_0_TableD.doc#B_Cat01f","Operational"
32,"01","Location and identification sequences","301002",,,"001004","WMO Region sub-area","WMO Region sub-area",,"Operational"
33,"01","Location and identification sequences","301002",,,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
34,"01","Location and identification sequences","301003",,,"001011","Ship or mobile land station identifier","Ship's call sign",,"Operational"
35,"01","Location and identification sequences","301003",,,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
36,"01","Location and identification sequences","301003",,,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
37,"01","Location and identification sequences","301004","(Surface station identification)",,"001001","WMO block number","WMO block number",,"Operational"
38,"01","Location and identification sequences","301004","(Surface station identification)",,"001002","WMO station number","WMO station number",,"Operational"
39,"01","Location and identification sequences","301004","(Surface station identification)",,"001015","Station or site name","Station or site name",,"Operational"
40,"01","Location and identification sequences","301004","(Surface station identification)",,"002001","Type of station","Type of station",,"Operational"
41,"01","Location and identification sequences","301005","(Origin and identification sequence)",,"001035","Originating Centre","Originating centre",,"Operational"
42,"01","Location and identification sequences","301005","(Origin and identification sequence)",,"001034","Identification of originating/generating sub-centre","Identification of originating/generating sub-centre",,"Operational"
43,"01","Location and identification sequences","301011",,,"004001","Year","Year",,"Operational"
44,"01","Location and identification sequences","301011",,,"004002","Month","Month",,"Operational"
45,"01","Location and identification sequences","301011",,,"004003","Day","Day",,"Operational"
46,"01","Location and identification sequences","301012",,,"004004","Hour","Hour",,"Operational"
47,"01","Location and identification sequences","301012",,,"004005","Minute","Minute",,"Operational"
48,"01","Location and identification sequences","301013",,,"004004","Hour","Hour",,"Operational"
49,"01","Location and identification sequences","301013",,,"004005","Minute","Minute",,"Operational"
50,"01","Location and identification sequences","301013",,,"004006","Second","Second",,"Operational"
51,"01","Location and identification sequences","301014","(Time period)",,"102002","Replication descriptor","Replication of 2 descriptors 2 times",,"Operational"
52,"01","Location and identification sequences","301014","(Time period)",,"301011",,"Year, Month, Day",,"Operational"
53,"01","Location and identification sequences","301014","(Time period)",,"301012",,"Hour, Minute",,"Operational"
54,"01","Location and identification sequences","301021",,,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
55,"01","Location and identification sequences","301021",,,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
56,"01","Location and identification sequences","301022",,,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
57,"01","Location and identification sequences","301022",,,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
58,"01","Location and identification sequences","301022",,,"007001","Height of station","Height of station",,"Operational"
59,"01","Location and identification sequences","301023",,,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
60,"01","Location and identification sequences","301023",,,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
61,"01","Location and identification sequences","301024",,,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
62,"01","Location and identification sequences","301024",,,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
63,"01","Location and identification sequences","301024",,,"007001","Height of station","Height of station",,"Operational"
64,"01","Location and identification sequences","301025",,,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
65,"01","Location and identification sequences","301025",,,"004003","Day","Day",,"Operational"
66,"01","Location and identification sequences","301025",,,"301012",,"Time",,"Operational"
67,"01","Location and identification sequences","301026",,,"301021",,"Latitude and longitude (high accuracy)",,"Operational"
68,"01","Location and identification sequences","301026",,,"004003","Day","(Time period in days)",,"Operational"
69,"01","Location and identification sequences","301026",,,"004003","Day","(Time period in days)",,"Operational"
70,"01","Location and identification sequences","301026",,,"004004","Hour","(Time period in hours)",,"Operational"
71,"01","Location and identification sequences","301026",,,"004004","Hour","(Time period in hours)",,"Operational"
72,"01","Location and identification sequences","301026",,,"004005","Minute","(Time period in minutes)",,"Operational"
73,"01","Location and identification sequences","301026",,,"004005","Minute","(Time period in minutes)",,"Operational"
74,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance (0 = Point, 1 = Line, 2 = Area, 3 = Volume)",,"Operational"
75,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"101000","Replication descriptor","Delayed replication of 1 descriptor",,"Operational"
76,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"031001","Delayed descriptor replication factor","Replication factor (see Note 5)",,"Operational"
77,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"301028","Horizontal section of a feature described as a polygon, circle, line or point","Description of horizontal section",,"Operational"
78,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance, Missing = Cancel",,"Operational"
79,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight Level significance","Flight level significance",,"Operational"
80,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"033042","Type of limit represented by following value","Type of limit represented by following (flight level) value",,"Operational"
81,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"007010","Flight level","Flight level",,"Operational"
82,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"101000","Replication descriptor","Delayed replication of 1 descriptor",,"Operational"
83,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"031002","Extended delayed descriptor replication factor","Extended replication factor","(see Note 6)#BUFR_16_0_0_TableD.doc#B_Cat01","Operational"
84,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"301023",,"Location",,"Operational"
85,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"019007","Effective radius of feature","Radius of feature","(see Note 7)#BUFR_16_0_0_TableD.doc#B_Cat01","Operational"
86,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight Level significance","Flight level significance, Missing = Cancel",,"Operational"
87,"01","Location and identification sequences","301031",,,"301001",,"WMO block and station number",,"Operational"
88,"01","Location and identification sequences","301031",,,"002001","Type of station","Type of station",,"Operational"
89,"01","Location and identification sequences","301031",,,"301011",,"Date",,"Operational"
90,"01","Location and identification sequences","301031",,,"301012",,"Time",,"Operational"
91,"01","Location and identification sequences","301031",,,"301022",,"Latitude and longitude (high accuracy), height of station",,"Operational"
92,"01","Location and identification sequences","301032",,,"301001",,"WMO block and station number",,"Operational"
93,"01","Location and identification sequences","301032",,,"002001","Type of station","Type of station",,"Operational"
94,"01","Location and identification sequences","301032",,,"301011",,"Date",,"Operational"
95,"01","Location and identification sequences","301032",,,"301012",,"Time",,"Operational"
96,"01","Location and identification sequences","301032",,,"301024",,"Latitude and longitude (coarse accuracy), height of station",,"Operational"
97,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
98,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
99,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301011",,"Date",,"Operational"
100,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301012",,"Time",,"Operational"
101,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301021",,"Latitude and longitude (high accuracy)",,"Operational"
102,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
103,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
104,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301011",,"Date",,"Operational"
105,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301012",,"Time",,"Operational"
106,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
107,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001005","Buoy/platform identifier","Buoy/platform identifier","(see Note 4)#BUFR_16_0_0_TableD.doc#B_Cat01","Operational"
108,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
109,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
110,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"002001","Type of station","Type of station",,"Operational"
111,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301011",,"Date",,"Operational"
112,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301012",,"Time",,"Operational"
113,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
114,"01","Location and identification sequences","301036","(Ship)",,"301003",,"Ship's call sign and motion",,"Operational"
115,"01","Location and identification sequences","301036","(Ship)",,"002001","Type of station","Type of station",,"Operational"
116,"01","Location and identification sequences","301036","(Ship)",,"301011",,"Date",,"Operational"
117,"01","Location and identification sequences","301036","(Ship)",,"301012",,"Time",,"Operational"
118,"01","Location and identification sequences","301036","(Ship)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
119,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301001",,"WMO block and station number",,"Operational"
120,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
121,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
122,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301011",,"Date",,"Operational"
123,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301012",,"Time",,"Operational"
124,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301022",,"Latitude and longitude (high accuracy), height of station",,"Operational"
125,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301001",,"WMO block and station number",,"Operational"
126,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
127,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
128,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301011",,"Date",,"Operational"
129,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301012",,"Time",,"Operational"
130,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301024",,"Latitude and longitude (coarse accuracy), height of station",,"Operational"
131,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301003",,"Ship's call sign and motion",,"Operational"
132,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
133,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
134,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301011",,"Date",,"Operational"
135,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301012",,"Time",,"Operational"
136,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
137,"01","Location and identification sequences","301040",,,"301003",,"Ship's call sign and motion",,"Operational"
138,"01","Location and identification sequences","301040",,,"002011","Radiosonde type","Radiosonde type",,"Operational"
139,"01","Location and identification sequences","301040",,,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
140,"01","Location and identification sequences","301040",,,"301011",,"Date",,"Operational"
141,"01","Location and identification sequences","301040",,,"301012",,"Time",,"Operational"
142,"01","Location and identification sequences","301040",,,"301024",,"Latitude and longitude (coarse accuracy), height of station",,"Operational"
143,"01","Location and identification sequences","301041",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
144,"01","Location and identification sequences","301041",,,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
145,"01","Location and identification sequences","301041",,,"002022","Satellite data-processing technique used","Satellite data-processing technique used",,"Operational"
146,"01","Location and identification sequences","301041",,,"301011",,"Date",,"Operational"
147,"01","Location and identification sequences","301041",,,"301012",,"Time",,"Operational"
148,"01","Location and identification sequences","301042",,,"301041",,"Satellite identifier, data used, and data processing technique; date/time",,"Operational"
149,"01","Location and identification sequences","301042",,,"301021",,"Latitude, longitude",,"Operational"
150,"01","Location and identification sequences","301043",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
151,"01","Location and identification sequences","301043",,,"002023","Satellite derived wind computation method","Cloud motion computational method",,"Operational"
152,"01","Location and identification sequences","301043",,,"301011",,"Date",,"Operational"
153,"01","Location and identification sequences","301043",,,"301013",,"Time",,"Operational"
154,"01","Location and identification sequences","301043",,,"301021",,"Latitude, longitude",,"Operational"
155,"01","Location and identification sequences","301044",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
156,"01","Location and identification sequences","301044",,,"002024","Integrated mean humidity computational method","Integrated mean humidity computational method",,"Operational"
157,"01","Location and identification sequences","301044",,,"301011",,"Date",,"Operational"
158,"01","Location and identification sequences","301044",,,"301013",,"Time",,"Operational"
159,"01","Location and identification sequences","301044",,,"301021",,"Latitude, longitude",,"Operational"
160,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"301011",,"Year, month, day",,"Operational"
161,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"301012",,"Time (hour, minute)",,"Operational"
162,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"201138","Change data width","Change width to 16 bits",,"Operational"
163,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"202131","Change scale","Change scale to 3",,"Operational"
164,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"004006","Second","Second",,"Operational"
165,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"201000","Change data width","Change width back to Table B",,"Operational"
166,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"202000","Change scale","Change scale back to Table B",,"Operational"
167,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"304030","Location of platform","Location relative to the Earth’s centre",,"Operational"
168,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"304031","Speed of platform","Velocity relative to the Earth’s centre",,"Operational"
169,"01","Location and identification sequences","301046",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
170,"01","Location and identification sequences","301046",,,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
171,"01","Location and identification sequences","301046",,,"002048","Satellite sensor indicator","Satellite sensor indicator",,"Operational"
172,"01","Location and identification sequences","301046",,,"021119","Wind scatterometer geophysical model function","Wind scatterometer geophysical model function",,"Operational"
173,"01","Location and identification sequences","301046",,,"025060","Software identification","Software identification",,"Operational"
174,"01","Location and identification sequences","301046",,,"202124","Change scale","Change scale",,"Operational"
175,"01","Location and identification sequences","301046",,,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
176,"01","Location and identification sequences","301046",,,"002027","Along-track resolution","Along-tract resolution",,"Operational"
177,"01","Location and identification sequences","301046",,,"202000","Change scale","Change scale back to Table B",,"Operational"
178,"01","Location and identification sequences","301046",,,"005040","Orbit number","Orbit number",,"Operational"
179,"01","Location and identification sequences","301047","(ERS product header)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
180,"01","Location and identification sequences","301047","(ERS product header)",,"025060","Software identification","Software identification",,"Operational"
181,"01","Location and identification sequences","301047","(ERS product header)",,"001033","Identification of originating/generating centre","Originating/generating centre",,"Operational"
182,"01","Location and identification sequences","301047","(ERS product header)",,"001034","Identification of originating/generating sub-centre","Originating/generating sub-centre",,"Operational"
183,"01","Location and identification sequences","301047","(ERS product header)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observation platform",,"Operational"
184,"01","Location and identification sequences","301047","(ERS product header)",,"301045","Satellite location and velocity","Satellite location and velocity",,"Operational"
185,"01","Location and identification sequences","301047","(ERS product header)",,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
186,"01","Location and identification sequences","301047","(ERS product header)",,"301011",,"Date (year, month, day)",,"Operational"
187,"01","Location and identification sequences","301047","(ERS product header)",,"301012",,"Time (hour, minute)",,"Operational"
188,"01","Location and identification sequences","301047","(ERS product header)",,"201138","Change data width","Change bit width to 16 bits",,"Operational"
189,"01","Location and identification sequences","301047","(ERS product header)",,"202131","Change scale","Change scale to 3",,"Operational"
190,"01","Location and identification sequences","301047","(ERS product header)",,"004006","Second","Second",,"Operational"
191,"01","Location and identification sequences","301047","(ERS product header)",,"201000","Change data width","Change width back to Table B",,"Operational"
192,"01","Location and identification sequences","301047","(ERS product header)",,"202000","Change scale","Change scale back to Table B",,"Operational"
193,"01","Location and identification sequences","301047","(ERS product header)",,"301023",,"Location (latitude, longitude)",,"Operational"
194,"01","Location and identification sequences","301048","(Radar parameters)",,"002104","Antenna polarisation","Antenna polarization",,"Operational"
195,"01","Location and identification sequences","301048","(Radar parameters)",,"002121","Mean frequency","Mean frequency",,"Operational"
196,"01","Location and identification sequences","301048","(Radar parameters)",,"002113","Number of azimuth looks","Number of azimuth looks",,"Operational"
197,"01","Location and identification sequences","301048","(Radar parameters)",,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
198,"01","Location and identification sequences","301048","(Radar parameters)",,"002027","Along-track resolution","Along-track resolution",,"Operational"
199,"01","Location and identification sequences","301048","(Radar parameters)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
200,"01","Location and identification sequences","301048","(Radar parameters)",,"002140","Satellite radar beam azimuth angle","Satellite radar beam azimuth angle",,"Operational"
201,"01","Location and identification sequences","301048","(Radar parameters)",,"202127","Change scale","Change scale to -1",,"Operational"
202,"01","Location and identification sequences","301048","(Radar parameters)",,"001013","Speed of motion of moving observing platform","Radar platform velocity",,"Operational"
203,"01","Location and identification sequences","301048","(Radar parameters)",,"202126","Change scale","Change scale to -2",,"Operational"
204,"01","Location and identification sequences","301048","(Radar parameters)",,"007001","Height of station","Radar platform altitude",,"Operational"
205,"01","Location and identification sequences","301048","(Radar parameters)",,"202000","Change scale","Change scale to Table B",,"Operational"
206,"01","Location and identification sequences","301048","(Radar parameters)",,"025010","Clutter treatment","Clutter treatment",,"Operational"
207,"01","Location and identification sequences","301048","(Radar parameters)",,"021064","Clutter noise estimate","Clutter noise estimate",,"Operational"
208,"01","Location and identification sequences","301049","(Radar beam data)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
209,"01","Location and identification sequences","301049","(Radar beam data)",,"002112","Radar look angle","Radar look angle",,"Operational"
210,"01","Location and identification sequences","301049","(Radar beam data)",,"021062","Backscatter","Backscatter",,"Operational"
211,"01","Location and identification sequences","301049","(Radar beam data)",,"021063","Radiometric resolution (noise value)","Radiometric resolution (Noise value)",,"Operational"
212,"01","Location and identification sequences","301049","(Radar beam data)",,"021065","Missing packet counter","Missing packet counter",,"Operational"
213,"01","Location and identification sequences","301051",,,"001006","Aircraft flight number","Aircraft flight number",,"Operational"
214,"01","Location and identification sequences","301051",,,"002061","Aircraft navigational system","Navigational system",,"Operational"
215,"01","Location and identification sequences","301051",,,"301011",,"Date",,"Operational"
216,"01","Location and identification sequences","301051",,,"301012",,"Time",,"Operational"
217,"01","Location and identification sequences","301051",,,"301021",,"Latitude, longitude",,"Operational"
