"No","Categry","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
1,"00","CREX table entries sequences","D00010",,,"D00003",,"Table D descriptor to be defined",,"Operational"
2,"00","CREX table entries sequences","D00010",,,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
3,"00","CREX table entries sequences","D00010",,,"B00030","Descriptor defining sequence","Descriptor defining sequence",,"Operational"
4,"01","Location and identification sequences","D01029","(Identification)",,"B01018","Short station or site name","Short station identifier",,"Operational"
5,"01","Location and identification sequences","D01029","(Identification)",,"B02001","Type of station","Type of station",,"Operational"
6,"01","Location and identification sequences","D01029","(Identification)",,"D01011",,"Date",,"Operational"
7,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"B01018","Short station or site name","Short station identifier",,"Operational"
8,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"B02001","Type of station","Type of station",,"Operational"
9,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"D01011",,"Date",,"Operational"
10,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"D01024",,"Latitude and longitude, height",,"Operational"
11,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
12,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number or identifier",,"Operational"
13,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02144","Light source type for Brewer spectrophotometer","Light source type for Brewer",,"Operational"
14,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
15,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number/identification",,"Operational"
16,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02145","Wave length setting for Dobson instruments","Wavelength setting for Dobson instrument",,"Operational"
17,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02146","Source conditions for Dobson instruments","Source conditions for Dobson instrument",,"Operational"
18,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01001",,"WMO block number, WMO station number",,"Operational"
19,"01","Location and identification sequences","D01075","(Sounding identification)",,"B01015","Station or site name","Station or site name",,"Operational"
20,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01024",,"Latitude, longitude, height of station",,"Operational"
