"No","CREX2","GRIB2_BUFR4","OriginatingGeneratingCentre_E","Status"
1,"00000","0","WMO Secretariat","Operational"
2,,,"00001-00009: WMCs","Operational"
3,"00001","1","Melbourne","Operational"
4,"00002","2","Melbourne","Operational"
5,"00003","3",")","Operational"
6,"00004","4","Moscow","Operational"
7,"00005","5","Moscow","Operational"
8,"00006","6",")","Operational"
9,"00007","7","US National Weather Service, National Centres for Environmental Prediction (NCEP)","Operational"
10,"00008","8","US National Weather Service Telecommunications Gateway (NWSTG)","Operational"
11,"00009","9","US National Weather Service - Other","Operational"
12,,,"00010-00025: Centres in Region I","Operational"
13,"00010","10","Cairo (RSMC)","Operational"
14,"00011","11",")","Operational"
15,"00012","12","Dakar (RSMC)","Operational"
16,"00013","13",")","Operational"
17,"00014","14","Nairobi (RSMC)","Operational"
18,"00015","15",")","Operational"
19,"00016","16","Casablanca (RSMC)","Operational"
20,"00017","17","Tunis (RSMC)","Operational"
21,"00018","18","Tunis-Casablanca (RSMC)","Operational"
22,"00019","19",")","Operational"
23,"00020","20","Las Palmas","Operational"
24,"00021","21","Algiers (RSMC)","Operational"
25,"00022","22","ACMAD","Operational"
26,"00023","23","Mozambique (NMC)","Operational"
27,"00024","24","Pretoria (RSMC)","Operational"
28,"00025","25","La Réunion (RSMC)","Operational"
29,,,"00026-00040: Centres in Region II","Operational"
30,"00026","26","Khabarovsk (RSMC)","Operational"
31,"00027","27",")","Operational"
32,"00028","28","New Delhi (RSMC)","Operational"
33,"00029","29",")","Operational"
34,"00030","30","Novosibirsk (RSMC)","Operational"
35,"00031","31",")","Operational"
36,"00032","32","Tashkent (RSMC)","Operational"
37,"00033","33","Jeddah (RSMC)","Operational"
38,"00034","34","Tokyo (RSMC), Japan Meteorological Agency","Operational"
39,"00035","35",")","Operational"
40,"00036","36","Bangkok","Operational"
41,"00037","37","Ulaanbaatar","Operational"
42,"00038","38","Beijing (RSMC)","Operational"
43,"00039","39",")","Operational"
44,"00040","40","Seoul","Operational"
45,,,"00041-00050: Centres in Region III","Operational"
46,"00041","41","Buenos Aires (RSMC)","Operational"
47,"00042","42",")","Operational"
48,"00043","43","Brasilia (RSMC)","Operational"
49,"00044","44",")","Operational"
50,"00045","45","Santiago","Operational"
51,"00046","46","Brazilian Space Agency ­ INPE","Operational"
52,"00047","47","Colombia (NMC)","Operational"
53,"00048","48","Ecuador (NMC)","Operational"
54,"00049","49","Peru (NMC)","Operational"
55,"00050","50","Venezuela (NMC)","Operational"
56,,,"00051-00063: Centres in Region IV","Operational"
57,"00051","51","Miami (RSMC)","Operational"
58,"00052","52","Miami RSMC, National Hurricane Centre","Operational"
59,"00053","53","Montreal (RSMC)","Operational"
60,"00054","54",")","Operational"
61,"00055","55","San Francisco","Operational"
62,"00056","56","ARINC Centre","Operational"
63,"00057","57","U.S. Air Force - Air Force Global Weather Central","Operational"
64,"00058","58","Fleet Numerical Meteorology and Oceanography Center, Monterey, CA, USA","Operational"
65,"00059","59","The NOAA Forecast Systems Laboratory, Boulder, CO, USA","Operational"
66,"00060","60","United States National Center for Atmospheric Research (NCAR)","Operational"
67,"00061","61","Service ARGOS - Landover","Operational"
68,"00062","62","US Naval Oceanographic Office","Operational"
69,"00063","63","International Research Institute for Climate and Society (IRI)","Operational"
70,,,"00064-00073: Centres in Region V","Operational"
71,"00064","64","Honolulu (RSMC)","Operational"
72,"00065","65","Darwin (RSMC)","Operational"
73,"00066","66",")","Operational"
74,"00067","67","Melbourne (RSMC)","Operational"
75,"00068","68","Reserved","Operational"
76,"00069","69","Wellington (RSMC)","Operational"
77,"00070","70",")","Operational"
78,"00071","71","Nadi (RSMC)","Operational"
79,"00072","72","Singapore","Operational"
80,"00073","73","Malaysia (NMC)","Operational"
81,,,"00074-00099: Centres in Region VI","Operational"
82,"00074","74","UK Meteorological Office ­ Exeter (RSMC)","Operational"
83,"00075","75",")","Operational"
84,"00076","76","Moscow (RSMC)","Operational"
85,"00077","77","Reserved","Operational"
86,"00078","78","Offenbach (RSMC)","Operational"
87,"00079","79",")","Operational"
88,"00080","80","Rome (RSMC)","Operational"
89,"00081","81",")","Operational"
90,"00082","82","Norrköping","Operational"
91,"00083","83",")","Operational"
92,"00084","84","Toulouse (RSMC)","Operational"
93,"00085","85","Toulouse (RSMC)","Operational"
94,"00086","86","Helsinki","Operational"
95,"00087","87","Belgrade","Operational"
96,"00088","88","Oslo","Operational"
97,"00089","89","Prague","Operational"
98,"00090","90","Episkopi","Operational"
99,"00091","91","Ankara","Operational"
100,"00092","92","Frankfurt/Main","Operational"
101,"00093","93","London (WAFC)","Operational"
102,"00094","94","Copenhagen","Operational"
103,"00095","95","Rota","Operational"
104,"00096","96","Athens","Operational"
105,"00097","97","European Space Agency (ESA)","Operational"
106,"00098","98","European Centre for Medium Range Weather Forecasts (ECMWF) (RSMC)","Operational"
107,"00099","99","De Bilt","Operational"
108,,,"Additional Centres","Operational"
109,"00100","100","Brazzaville","Operational"
110,"00101","101","Abidjan","Operational"
111,"00102","102","Libyan Arab Jamahiriya (NMC)","Operational"
112,"00103","103","Madagascar (NMC)","Operational"
113,"00104","104","Mauritius (NMC)","Operational"
114,"00105","105","Niger (NMC)","Operational"
115,"00106","106","Seychelles (NMC)","Operational"
116,"00107","107","Uganda (NMC)","Operational"
117,"00108","108","United Republic of Tanzania (NMC)","Operational"
118,"00109","109","Zimbabwe (NMC)","Operational"
119,"00110","110","Hong-Kong, China","Operational"
120,"00111","111","Afghanistan (NMC)","Operational"
121,"00112","112","Bahrain (NMC)","Operational"
122,"00113","113","Bangladesh (NMC)","Operational"
123,"00114","114","Bhutan (NMC)","Operational"
124,"00115","115","Cambodia (NMC)","Operational"
125,"00116","116","Democratic People's Republic of Korea (NMC)","Operational"
126,"00117","117","Islamic Republic of Iran (NMC)","Operational"
127,"00118","118","Iraq (NMC)","Operational"
128,"00119","119","Kazakhstan (NMC)","Operational"
129,"00120","120","Kuwait (NMC)","Operational"
130,"00121","121","Kyrgyzstan (NMC)","Operational"
131,"00122","122","Lao People's Democratic Republic (NMC)","Operational"
132,"00123","123","Macao, China","Operational"
133,"00124","124","Maldives (NMC)","Operational"
134,"00125","125","Myanmar (NMC)","Operational"
135,"00126","126","Nepal (NMC)","Operational"
136,"00127","127","Oman (NMC)","Operational"
137,"00128","128","Pakistan (NMC)","Operational"
138,"00129","129","Qatar (NMC)","Operational"
139,"00130","130","Yemen (NMC)","Operational"
140,"00131","131","Sri Lanka (NMC)","Operational"
141,"00132","132","Tajikistan (NMC)","Operational"
142,"00133","133","Turkmenistan (NMC)","Operational"
143,"00134","134","United Arab Emirates (NMC)","Operational"
144,"00135","135","Uzbekistan (NMC)","Operational"
145,"00136","136","Viet Nam (NMC)","Operational"
146,"00137-00139","137-139","Reserved for other centres","Operational"
147,"00140","140","Bolivia (Plurinational State of) (NMC)","Operational"
148,"00141","141","Guyana (NMC)","Operational"
149,"00142","142","Paraguay (NMC)","Operational"
150,"00143","143","Suriname (NMC)","Operational"
151,"00144","144","Uruguay (NMC)","Operational"
152,"00145","145","French Guiana","Operational"
153,"00146","146","Brazilian Navy Hydrographic Centre","Operational"
154,"00147","147","National Commission on Space Activities (CONAE) - Argentina","Operational"
155,"00148-00149","148-149","Reserved for other centres","Operational"
156,"00150","150","Antigua and Barbuda (NMC)","Operational"
157,"00151","151","Bahamas (NMC)","Operational"
158,"00152","152","Barbados (NMC)","Operational"
159,"00153","153","Belize (NMC)","Operational"
160,"00154","154","British Caribbean Territories Centre","Operational"
161,"00155","155","San José","Operational"
162,"00156","156","Cuba (NMC)","Operational"
163,"00157","157","Dominica (NMC)","Operational"
164,"00158","158","Dominican Republic (NMC)","Operational"
165,"00159","159","El Salvador (NMC)","Operational"
166,"00160","160","US NOAA/NESDIS","Operational"
167,"00161","161","US NOAA Office of Oceanic and Atmospheric Research","Operational"
168,"00162","162","Guatemala (NMC)","Operational"
169,"00163","163","Haiti (NMC)","Operational"
170,"00164","164","Honduras (NMC)","Operational"
171,"00165","165","Jamaica (NMC)","Operational"
172,"00166","166","Mexico","Operational"
173,"00167","167","Netherlands Antilles and Aruba (NMC)","Operational"
174,"00168","168","Nicaragua (NMC)","Operational"
175,"00169","169","Panama (NMC)","Operational"
176,"00170","170","Saint Lucia (NMC)","Operational"
177,"00171","171","Trinidad and Tobago (NMC)","Operational"
178,"00172","172","French Departments in RA IV","Operational"
179,"00173","173","US National Aeronautics and Space Administration (NASA)","Operational"
180,"00174","174","Integrated Science Data Management/Marine Environmental Data Service (ISDM/MEDS - Canada)","Operational"
181,"00175","175","Reserved for other centres","Operational"
182,"00176","176","Cooperative Institute for Meteorological Satellite Studies (CIMSS) - United States","Operational"
183,"00177","177","U.S. NOAA National Ocean Service","Operational"
184,"00178-00189","178-189","Reserved for other centres","Operational"
185,"00190","190","Cook Islands (NMC)","Operational"
186,"00191","191","French Polynesia (NMC)","Operational"
187,"00192","192","Tonga (NMC)","Operational"
188,"00193","193","Vanuatu (NMC)","Operational"
189,"00194","194","Brunei Darussalam (NMC)","Operational"
190,"00195","195","Indonesia (NMC)","Operational"
191,"00196","196","Kiribati (NMC)","Operational"
192,"00197","197","Federated States of Micronesia (NMC)","Operational"
193,"00198","198","New Caledonia (NMC)","Operational"
194,"00199","199","Niue","Operational"
195,"00200","200","Papua New Guinea (NMC)","Operational"
196,"00201","201","Philippines (NMC)","Operational"
197,"00202","202","Samoa (NMC)","Operational"
198,"00203","203","Solomon Islands (NMC)","Operational"
199,"00204","204","National Institute of Water and Atmospheric Research  (NIWA – New Zealand)","Operational"
200,"00205-00209","205-209","Reserved for other centres","Operational"
201,"00210","210","Frascati (ESA/ESRIN)","Operational"
202,"00211","211","Lannion","Operational"
203,"00212","212","Lisboa","Operational"
204,"00213","213","Reykjavik","Operational"
205,"00214","214","Madrid","Operational"
206,"00215","215","Zurich","Operational"
207,"00216","216","Service ARGOS Toulouse","Operational"
208,"00217","217","Bratislava","Operational"
209,"00218","218","Budapest","Operational"
210,"00219","219","Ljubljana","Operational"
211,"00220","220","Warsaw","Operational"
212,"00221","221","Zagreb","Operational"
213,"00222","222","Albania (NMC)","Operational"
214,"00223","223","Armenia (NMC)","Operational"
215,"00224","224","Austria (NMC)","Operational"
216,"00225","225","Azerbaijan (NMC)","Operational"
217,"00226","226","Belarus (NMC)","Operational"
218,"00227","227","Belgium (NMC)","Operational"
219,"00228","228","Bosnia and Herzegovina (NMC)","Operational"
220,"00229","229","Bulgaria (NMC)","Operational"
221,"00230","230","Cyprus (NMC)","Operational"
222,"00231","231","Estonia (NMC)","Operational"
223,"00232","232","Georgia (NMC)","Operational"
224,"00233","233","Dublin","Operational"
225,"00234","234","Israel (NMC)","Operational"
226,"00235","235","Jordan (NMC)","Operational"
227,"00236","236","Latvia (NMC)","Operational"
228,"00237","237","Lebanon (NMC)","Operational"
229,"00238","238","Lithuania (NMC)","Operational"
230,"00239","239","Luxembourg","Operational"
231,"00240","240","Malta (NMC)","Operational"
232,"00241","241","Monaco","Operational"
233,"00242","242","Romania (NMC)","Operational"
234,"00243","243","Syrian Arab Republic (NMC)","Operational"
235,"00244","244","The former Yugoslav Republic of Macedonia (NMC)","Operational"
236,"00245","245","Ukraine (NMC)","Operational"
237,"00246","246","Republic of Moldova (NMC)","Operational"
238,"00247","247","Operational Programme for the Exchange of weather RAdar information (OPERA) - EUMETNET","Operational"
239,"00248-00249","248-249","Reserved for other centres","Operational"
240,"00250","250","COnsortium for Small scale MOdelling (COSMO)","Operational"
241,"00251-00253","251-253","Reserved for other centres","Operational"
242,"00254","254","EUMETSAT Operation Centre","Operational"
243,"00255","255","Not to be used","Operational"
244,"00256","256","Angola (NMC)","Operational"
245,"00257","257","Benin (NMC)","Operational"
246,"00258","258","Botswana (NMC)","Operational"
247,"00259","259","Burkina Faso (NMC)","Operational"
248,"00260","260","Burundi (NMC)","Operational"
249,"00261","261","Cameroon (NMC)","Operational"
250,"00262","262","Cape Verde (NMC)","Operational"
251,"00263","263","Central African Republic (NMC)","Operational"
252,"00264","264","Chad (NMC)","Operational"
253,"00265","265","Comoros (NMC)","Operational"
254,"00266","266","Democratic Republic of the Congo (NMC)","Operational"
255,"00267","267","Djibouti (NMC)","Operational"
256,"00268","268","Eritrea (NMC)","Operational"
257,"00269","269","Ethiopia (NMC)","Operational"
258,"00270","270","Gabon (NMC)","Operational"
259,"00271","271","Gambia (NMC)","Operational"
260,"00272","272","Ghana (NMC)","Operational"
261,"00273","273","Guinea (NMC)","Operational"
262,"00274","274","Guinea-Bissau (NMC)","Operational"
263,"00275","275","Lesotho (NMC)","Operational"
264,"00276","276","Liberia (NMC)","Operational"
265,"00277","277","Malawi (NMC)","Operational"
266,"00278","278","Mali (NMC)","Operational"
267,"00279","279","Mauritania (NMC)","Operational"
268,"00280","280","Namibia (NMC)","Operational"
269,"00281","281","Nigeria (NMC)","Operational"
270,"00282","282","Rwanda (NMC)","Operational"
271,"00283","283","Sao Tome and Principe (NMC)","Operational"
272,"00284","284","Sierra Leone (NMC)","Operational"
273,"00285","285","Somalia (NMC)","Operational"
274,"00286","286","Sudan (NMC)","Operational"
275,"00287","287","Swaziland (NMC)","Operational"
276,"00288","288","Togo (NMC)","Operational"
277,"00289","289","Zambia (NMC)","Operational"
278,"00290-65534","290-65534","Reserved for other centres","Operational"
279,"65535","65535","Missing value","Operational"
280,"65536-99999","Not applicable","Not used","Operational"
