"No","CodeFigure_OriginatingCentres","Name_OriginatingCentres_E","CodeFigure_SubCentres","Name_SubCentres_E","Status"
1,,,"0","No sub-centre","Operational"
2,,"WMCs",,,"Operational"
3,"2","Melbourne","201","Casey","Operational"
4,"2","Melbourne","203","Davis","Operational"
5,"2","Melbourne","211","Melbourne Crib Point 1","Operational"
6,"2","Melbourne","214","Darwin","Operational"
7,"2","Melbourne","217","Perth","Operational"
8,"2","Melbourne","219","Townsville","Operational"
9,"2","Melbourne","232","Fiji","Operational"
10,"2","Melbourne","235","Noumea","Operational"
11,"2","Melbourne","237","Papeete","Operational"
12,"2","Melbourne","250","Vladivostock","Operational"
13,"2","Melbourne","251","Guam","Operational"
14,"2","Melbourne","252","Honolulu","Operational"
15,"7","US National Weather Service, NCEP","1","NCEP Reanalysis Project","Operational"
16,"7","US National Weather Service, NCEP","2","NCEP Ensemble Products","Operational"
17,"7","US National Weather Service, NCEP","3","NCEP Central Operations","Operational"
18,"7","US National Weather Service, NCEP","4","Environmental Modeling Center","Operational"
19,"7","US National Weather Service, NCEP","5","Hydrometeorological Prediction Center","Operational"
20,"7","US National Weather Service, NCEP","6","Marine Prediction Center","Operational"
21,"7","US National Weather Service, NCEP","7","Climate Prediction Center","Operational"
22,"7","US National Weather Service, NCEP","8","Aviation Weather Center","Operational"
23,"7","US National Weather Service, NCEP","9","Storm Prediction Center","Operational"
24,"7","US National Weather Service, NCEP","10","National Hurricane Center","Operational"
25,"7","US National Weather Service, NCEP","11","NWS Techniques Development Laboratory","Operational"
26,"7","US National Weather Service, NCEP","12","NESDIS Office of Research and Applications","Operational"
27,"7","US National Weather Service, NCEP","13","Federal Aviation Administration","Operational"
28,"7","US National Weather Service, NCEP","14","NWS Meteorological Development Laboratory","Operational"
29,"7","US National Weather Service, NCEP","15","North American Regional Reanalysis Project","Operational"
30,"7","US National Weather Service, NCEP","16","Space Weather Prediction Center","Operational"
31,,"Region II",,,"Operational"
32,"34","Tokyo (RSMC), Japan Meteorological Agency","207","Syowa","Operational"
33,"34","Tokyo (RSMC), Japan Meteorological Agency","240","Kiyose","Operational"
34,"39","Beijing (RSMC)","225","Beijing","Operational"
35,"39","Beijing (RSMC)","226","Guangzhou","Operational"
36,"39","Beijing (RSMC)","228","Urumuqi","Operational"
37,"40","Seoul","243","Seoul","Operational"
38,"40","Seoul","245","Jincheon","Operational"
39,,"Region III",,,"Operational"
40,"46","Brazilian Space Agency ­ INPE","10","Cachoeira Paulista (INPE)","Operational"
41,"46","Brazilian Space Agency ­ INPE","11","Cuiaba (INPE)","Operational"
42,"46","Brazilian Space Agency ­ INPE","12","Brasilia (INMET)","Operational"
43,"46","Brazilian Space Agency ­ INPE","13","Fortaleza (FUNCEME)","Operational"
44,"46","Brazilian Space Agency ­ INPE","14","Natal (Navy Hygrog. Centre)","Operational"
45,"46","Brazilian Space Agency ­ INPE","15","Manaus (SIVAM)","Operational"
46,"46","Brazilian Space Agency ­ INPE","16","Natal (INPE)","Operational"
47,"46","Brazilian Space Agency ­ INPE","17","Boa Vista","Operational"
48,,"Region V",,,"Operational"
49,"69","Wellington (RSMC)","243","Kelburn","Operational"
50,"72","Singapore","249","Singapore","Operational"
51,,"Region VI",,,"Operational"
52,"74","UK Met Office, Exeter (RSMC)","1","Shanwick Oceanic Area Control Centre","Operational"
53,"74","UK Met Office, Exeter (RSMC)","2","Fucino","Operational"
54,"74","UK Met Office, Exeter (RSMC)","3","Gatineau","Operational"
55,"74","UK Met Office, Exeter (RSMC)","4","Maspalomas","Operational"
56,"74","UK Met Office, Exeter (RSMC)","5","ESA ERS Central Facility","Operational"
57,"74","UK Met Office, Exeter (RSMC)","6","Prince Albert","Operational"
58,"74","UK Met Office, Exeter (RSMC)","7","West Freugh","Operational"
59,"74","UK Met Office, Exeter (RSMC)","13","Tromso","Operational"
60,"74","UK Met Office, Exeter (RSMC)","21","Agenzia Spaziale Italiana (Italy)","Operational"
61,"74","UK Met Office, Exeter (RSMC)","22","Centre National de la Recherche Scientifique (France)","Operational"
