"No","CodeFigure_DataCategories","Name_DataCategories_E","CodeFigure_InternationalDataSubcategories","Name_InternationalDataSubcategories_E","Status"
1,"000","Surface data - land","000","Hourly synoptic observations from fixed-land stations (SYNOP)","Operational"
2,"000","Surface data - land","001","Intermediate synoptic observations from fixed-land stations (SYNOP)","Operational"
3,"000","Surface data - land","002","Main synoptic observations from fixed-land stations (SYNOP)","Operational"
4,"000","Surface data - land","003","Hourly synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
5,"000","Surface data - land","004","Intermediate synoptic observations from mobile-land stations (SYNOP MOBIL)","Operational"
6,"000","Surface data - land","005","Main synoptic observations from mobile land stations (SYNOP MOBIL)","Operational"
7,"000","Surface data - land","006","One-hour observations from automated stations","Operational"
8,"000","Surface data - land","007","n-minute observations from AWS stations","Operational"
9,"000","Surface data - land","010","Routine aeronautical observations (METAR)","Operational"
10,"000","Surface data - land","011","Special aeronautical observations (SPECI)","Operational"
11,"000","Surface data - land","014","Ground-based GPS humidity observations (GPSIWV)","Operational"
12,"000","Surface data - land","020","Climatological observations (CLIMAT)","Operational"
13,"000","Surface data - land","030","Sferics locations","Operational"
14,"000","Surface data - land","040","Hydrologic reports","Operational"
15,"000","Surface data - land","050","Hourly synoptic observations with supplementary one-hour data","Operational"
16,"000","Surface data - land","051","Intermediate synoptic observations with supplementary one-hour data","Operational"
17,"000","Surface data - land","052","Main synoptic observations with supplementary one-hour data","Operational"
18,"001","Surface data - sea","000","Synoptic observations (SHIP)","Operational"
19,"001","Surface data - sea","006","One-hour observations from automated stations","Operational"
20,"001","Surface data - sea","007","n-minute observations from AWS stations","Operational"
21,"001","Surface data - sea","020","Climatological observations (CLIMAT SHIP)","Operational"
22,"001","Surface data - sea","025","Buoy observation (BUOY)","Operational"
23,"001","Surface data - sea","030","Tide gauge","Operational"
24,"001","Surface data - sea","031","Observed water level time series","Operational"
25,"002","Vertical soundings (other than satellite)","001","Upper-wind reports from fixed-land stations (PILOT)","Operational"
26,"002","Vertical soundings (other than satellite)","002","Upper-wind reports from ships (PILOT SHIP)","Operational"
27,"002","Vertical soundings (other than satellite)","003","Upper-wind reports from mobile land stations (PILOT MOBIL)","Operational"
28,"002","Vertical soundings (other than satellite)","004","Upper-level temperature/humidity/wind reports from fixed-land stations (TEMP)","Operational"
29,"002","Vertical soundings (other than satellite)","005","Upper-level temperature/humidity/wind reports from ships (TEMP SHIP)","Operational"
30,"002","Vertical soundings (other than satellite)","006","Upper-level temperature/humidity/wind report from mobile land stations (TEMP MOBIL)","Operational"
31,"002","Vertical soundings (other than satellite)","007","Upper-level temperature/humidity/wind reports from dropwinsondes (TEMP DROP)","Operational"
32,"002","Vertical soundings (other than satellite)","010","Wind profiler reports","Operational"
33,"002","Vertical soundings (other than satellite)","011","RASS temperature profiles","Operational"
34,"002","Vertical soundings (other than satellite)","020","ASDAR/ACARS profiles (AMDAR)","Operational"
35,"002","Vertical soundings (other than satellite)","025","Climatological observations from fixed-land stations (CLIMAT TEMP)","Operational"
36,"002","Vertical soundings (other than satellite)","026","Climatological observations from ships (CLIMAT TEMP SHIP)","Operational"
37,"003","Vertical soundings (satellite)","000","Temperature (SATEM)","Operational"
38,"003","Vertical soundings (satellite)","001","TIROS (TOVS)","Operational"
39,"003","Vertical soundings (satellite)","002","ATOVS","Operational"
40,"003","Vertical soundings (satellite)","003","AMSU-A","Operational"
41,"003","Vertical soundings (satellite)","004","AMSU-B","Operational"
42,"003","Vertical soundings (satellite)","005","HIRS","Operational"
43,"003","Vertical soundings (satellite)","006","MHS","Operational"
44,"003","Vertical soundings (satellite)","007","IASI","Operational"
45,"003","Vertical soundings (satellite)","020","IR temperature/humidity sounding","Validation"
46,"003","Vertical soundings (satellite)","030","Hyperspectral temperature/humidity sounding","Validation"
47,"003","Vertical soundings (satellite)","040","MW temperature/humidity sounding","Validation"
48,"003","Vertical soundings (satellite)","050","Radio occultation sounding","Validation"
49,"004","Single level upper-air data (other than satellite)","000","ASDAR/ACARS (AMDAR)","Operational"
50,"004","Single level upper-air data (other than satellite)","001","Manual (AIREP, PIREP)","Operational"
51,"005","Single level upper-air data (satellite)","000","Cloud wind data (SATOB)","Operational"
52,"005","Single level upper-air data (satellite)","001","Cloud properties","Validation"
53,"006","Radar data","000","Reflectivity data","Operational"
54,"006","Radar data","001","Doppler wind profiles","Operational"
55,"006","Radar data","002","Derived products","Operational"
56,"006","Radar data","003","Ground radar weather (RADOB)","Operational"
57,"007","Synoptic features","000","Forecast tropical cyclone tracks from EPS","Operational"
58,"007","Synoptic features","001","Squall line","Operational"
59,"008","Physical/chemical constituents","000","Surface ozone","Operational"
60,"008","Physical/chemical constituents","001","Ozone vertical sounding","Operational"
61,"008","Physical/chemical constituents","002","Total ozone","Operational"
62,"009","Dispersal and transport","000","Trajectories, analysis or forecast","Operational"
63,"010","Radiological data","001","Observation (RADREP)","Operational"
64,"010","Radiological data","002","Forecast (RADOF)","Operational"
65,"012","Surface data (satellite)","000","ERS-uwa","Operational"
66,"012","Surface data (satellite)","001","ERS-uwi","Operational"
67,"012","Surface data (satellite)","002","ERS-ura","Operational"
68,"012","Surface data (satellite)","003","ERS-uat","Operational"
69,"012","Surface data (satellite)","004","SSM/I radiometer","Operational"
70,"012","Surface data (satellite)","005","Quikscat","Operational"
71,"012","Surface data (satellite)","006","Surface temp./radiation (SATOB)","Operational"
72,"012","Surface data (satellite)","007","ASCAT data","Operational"
73,"012","Surface data (satellite)","008","Soil moisture","Validation"
74,"012","Surface data (satellite)","009","Normalised differential vegetation index (NDVI)","Validation"
75,"012","Surface data (satellite)","010","Normalised radar backscatter","Validation"
76,"012","Surface data (satellite)","011","Surface emissivity","Validation"
77,"021","Radiances (satellite measured)","000","Earth radiation budget","Validation"
78,"021","Radiances (satellite measured)","005","Cross-track infrared sounder","Operational"
79,"021","Radiances (satellite measured)","006","Advanced technology microwave sounder","Operational"
80,"021","Radiances (satellite measured)","007","Visible/infrared imager radiometer suite","Operational"
81,"022","Radar (satellite) but not altimeter and scatterometer","000","Cloud and precipitation radar","Validation"
82,"022","Radar (satellite) but not altimeter and scatterometer","001","Synthetic aperture radar","Validation"
83,"023","Lidar (satellite)","000","Lidar based missions (for wind, for cloud/aerosol, for water vapour, for altimetry)","Validation"
84,"024","Scatterometry (satellite)","000","Wind scatterometry","Validation"
85,"025","Altimetry (satellite)","000","Radar altimetry","Validation"
86,"026","Spectrometry (satellite)","000","Cross nadir shortwave spectrometry (for chemistry)","Validation"
87,"026","Spectrometry (satellite)","001","Cross nadir IR spectrometry (for chemistry)","Validation"
88,"026","Spectrometry (satellite)","002","Limb sounding shortwave spectrometry","Validation"
89,"026","Spectrometry (satellite)","003","Limb sounding IR spectrometry","Validation"
90,"026","Spectrometry (satellite)","004","Limb sounding sub-millimetre wave spectrometry","Validation"
91,"027","Gravity measurements (satellite)",,"To be defined","Validation"
92,"028","Precision orbit (satellite)",,"To be defined","Validation"
93,"029","Space environment (satellite)",,"To be defined","Validation"
94,"030","Calibration dataset (satellite)","000","Subsetted data","Validation"
95,"030","Calibration dataset (satellite)","001","Collocated data","Validation"
96,"030","Calibration dataset (satellite)","002","On-board calibration data","Validation"
97,"030","Calibration dataset (satellite)","003","Bias Monitoring","Validation"
98,"030","Calibration dataset (satellite)","004","Near Real-Time Correction","Validation"
99,"030","Calibration dataset (satellite)","005","Re-analysis Correction","Validation"
100,"031","Oceanographic data","000","Surface observation","Operational"
101,"031","Oceanographic data","001","Surface observation along track (TRACKOB)","Operational"
102,"031","Oceanographic data","002","Spectral wave observation (WAVEOB)","Operational"
103,"031","Oceanographic data","003","Bathythermal observation (BATHY)","Operational"
104,"031","Oceanographic data","004","Sub-surface floats (profile)","Operational"
105,"031","Oceanographic data","005","XBT/XCTD profiles (TESAC)","Operational"
106,"031","Oceanographic data","006","Waves reports","Operational"
107,"031","Oceanographic data","007","Tsunameter data","Operational"
108,"101","Image data (satellite)","000","Multi-purpose VIS/IR imagery","Validation"
109,"101","Image data (satellite)","001","Conical scanning MW imagery (intermediate frequencies)","Validation"
110,"101","Image data (satellite)","002","Low frequency MW imagery","Validation"
111,"101","Image data (satellite)","003","Ocean colour imagery","Validation"
112,"101","Image data (satellite)","004","Imagery with special viewing geometry","Validation"
113,"101","Image data (satellite)","005","Lightning imagery","Validation"
114,"101","Image data (satellite)","006","High resolution shortwave imagery for land observation","Validation"
115,"101","Image data (satellite)","007","SMOS data","Operational"
