"No","CodeFigure","Meaning_E","ChemicalFormula","Status"
1,"0","Ozone","O3","Operational"
2,"1","Water vapour","H2O","Operational"
3,"2","Methane","CH4","Operational"
4,"3","Carbon dioxide","CO2","Operational"
5,"4","Carbon monoxide","CO","Operational"
6,"5","Nitrogen dioxide","NO2","Operational"
7,"6","Nitrous oxide","N2O","Operational"
8,"7","Formaldehyde","HCHO","Operational"
9,"8","Sulphur dioxide","SO2","Operational"
10,"9","Ammonia","NH3","Operational"
11,"10","Ammonium","NH4+","Operational"
12,"11","Nitrogen monoxide","NO","Operational"
13,"12","Atomic oxygen","O","Operational"
14,"13","Nitrate radical","NO3","Operational"
15,"14","Hydroperoxyl radical","HO2","Operational"
16,"15","Dinitrogen pentoxide","N2O5","Operational"
17,"16","Nitrous acid","HONO","Operational"
18,"17","Nitric acid","HNO3","Operational"
19,"18","Peroxynitric acid","HO2NO2","Operational"
20,"19","Hydrogen peroxide","H2O2","Operational"
21,"20","Molecular hydrogen","H","Operational"
22,"21","Atomic nitrogen","N","Operational"
23,"22","Sulphate","SO42-","Operational"
24,"23","Radon","Rn","Operational"
25,"24","Elemental mercury","Hg(0)","Operational"
26,"25","Divalent mercury","Hg2+","Operational"
27,"26","Atomic chlorine","Cl","Operational"
28,"27","Chlorine monoxide","ClO","Operational"
29,"28","Dichlorine peroxide","Cl2O2","Operational"
30,"29","Hypochlorous acid","HClO","Operational"
31,"30","Chlorine nitrate","ClONO2","Operational"
32,"31","Chlorine dioxide","ClO2","Operational"
33,"32","Atomic bromine","Br","Operational"
34,"33","Bromine monoxide","BrO","Operational"
35,"34","Bromine chloride","BrCl","Operational"
36,"35","Hydrogen bromide","HBr","Operational"
37,"36","Hypobromous acid","HBrO","Operational"
38,"37","Bromine nitrate","BrONO2","Operational"
39,"38-9999","Reserved",,"Operational"
40,"10000","Hydroxyl radical","OH","Operational"
41,"10001","Methyl peroxy radical","CH3O2","Operational"
42,"10002","Methyl hydroperoxide","CH3O2H","Operational"
43,"10004","Methanol","CH3OH","Operational"
44,"10005","Formic acid","CH3OOH","Operational"
45,"10006","Hydrogen Cyanide","HCN","Operational"
46,"10007","Aceto nitrile","CH3CN","Operational"
47,"10008","Ethane","C2H6","Operational"
48,"10009","Ethene (= Ethylene)","C2H4","Operational"
49,"10010","Ethyne (= Acetylene)","C2H2","Operational"
50,"10011","Ethanol","C2H5OH","Operational"
51,"10012","Acetic acid","C2H5OOH","Operational"
52,"10013","Peroxyacetyl nitrate","CH3C(O)OONO2","Operational"
53,"10014","Propane","C3H8","Operational"
54,"10015","Propene","C3H6","Operational"
55,"10016","Butanes","C4H10","Operational"
56,"10017","Isoprene","C5H10","Operational"
57,"10018","Alpha pinene","C10H16","Operational"
58,"10019","Beta pinene","C10H16","Operational"
59,"10020","Limonene","C10H16","Operational"
60,"10021","Benzene","C6H6","Operational"
61,"10022","Toluene","C7H8","Operational"
62,"10023","Xylene","C8H10","Operational"
63,"10024-10499","Reserved for other simple organic molecules (e.g. higher aldehydes, alcohols, peroxides,…)",,"Operational"
64,"10500","Dimethyl sulphide","CH3SCH3 (DMS)","Operational"
65,"10501-20000","Reserved",,"Operational"
66,"20001","Hydrogen chloride",,"Operational"
67,"20002","CFC-11",,"Operational"
68,"20003","CFC-12",,"Operational"
69,"20004","CFC-113",,"Operational"
70,"20005","CFC-113a",,"Operational"
71,"20006","CFC-114",,"Operational"
72,"20007","CFC-115",,"Operational"
73,"20008","HCFC-22",,"Operational"
74,"20009","HCFC-141b",,"Operational"
75,"20010","HCFC-142b",,"Operational"
76,"20011","Halon-1202",,"Operational"
77,"20012","Halon-1211",,"Operational"
78,"20013","Halon-1301",,"Operational"
79,"20014","Halon-2402",,"Operational"
80,"20015","Methyl chloride (HCC-40)",,"Operational"
81,"20016","Carbon tetrachloride (HCC-10)",,"Operational"
82,"20017","HCC-140a","CH3CCl3","Operational"
83,"20018","Methyl bromide (HBC-40B1)",,"Operational"
84,"20019","Hexachlorocyclohexane (HCH)",,"Operational"
85,"20020","Alpha hexachlorocyclohexane",,"Operational"
86,"20021","Hexachlorobiphenyl (PCB-153)",,"Operational"
87,"20022-29999","Reserved",,"Operational"
89,"30000","Radioactive pollutant (tracer, defined by originating centre)",,"Operational"
90,"30001 - 30009","Reserved",,"Operational"
91,"30010","Hydrogen","H-3 ","Operational"
92,"30011","Hydrogen organic bounded","H-3o","Operational"
93,"30012","Hydrogen inorganic","H-3a ","Operational"
94,"30013","Beryllium 7","Be-7 ","Operational"
95,"30014","Beryllium 10","Be-10 ","Operational"
96,"30015","Carbon 14","C-14 ","Operational"
97,"30016","Carbon 14 CO2","C-14CO2 ","Operational"
98,"30017","Carbon 14 other gases","C-14og","Operational"
