"No","CodeFigureForI6I6I6","CodeFigureForBUFR","CodeFigureForGRIB2","SatelliteName_E","Status"
1,"000","0","0","Reserved","Operational"
2,,,,"001-099: Numbers allocated to Europe","Operational"
3,"001","1","1","ERS 1","Operational"
4,"002","2","2","ERS 2","Operational"
5,"003","3","3","METOP-1 (Metop-B)","Operational"
6,"004","4","4","METOP-2 (Metop-A)","Operational"
7,"005","5","5","METOP-3 (Metop-C)","Operational"
8,"020","20","20","SPOT1","Operational"
9,"021","21","21","SPOT2","Operational"
10,"022","22","22","SPOT3","Operational"
11,"023","23","23","SPOT4","Operational"
12,"040","40","40","OERSTED","Operational"
13,"041","41","41","CHAMP","Operational"
14,"042","42","42","TerraSAR-X","Operational"
15,"046","46","46","SMOS","Operational"
16,"050","50","50","METEOSAT 3","Operational"
17,"051","51","51","METEOSAT 4","Operational"
18,"052","52","52","METEOSAT 5","Operational"
19,"053","53","53","METEOSAT 6","Operational"
20,"054","54","54","METEOSAT 7","Operational"
21,"055","55","55","METEOSAT 8","Operational"
22,"056","56","56","METEOSAT 9","Operational"
23,"057","57","57","METEOSAT 10","Operational"
24,"058","58","58","METEOSAT 1","Operational"
25,"059","59","59","METEOSAT 2","Operational"
26,"060","60","60","ENVISAT","Operational"
27,"070","70","70","METEOSAT 11","Operational"
28,,,,"100-199: Numbers allocated to Japan","Operational"
29,"120","120","120","ADEOS","Operational"
30,"121","121","121","ADEOS II","Operational"
31,"140","140","140","GOSAT","Operational"
32,"150","150","150","GMS 3","Operational"
33,"151","151","151","GMS 4","Operational"
34,"152","152","152","GMS 5","Operational"
35,"171","171","171","MTSAT-1R","Operational"
36,"172","172","172","MTSAT-2","Operational"
37,,,,"200-299: Numbers allocated to USA","Operational"
38,"200","200","200","NOAA 8","Operational"
39,"201","201","201","NOAA 9","Operational"
40,"202","202","202","NOAA 10","Operational"
41,"203","203","203","NOAA 11","Operational"
42,"204","204","204","NOAA 12","Operational"
43,"205","205","205","NOAA 14","Operational"
44,"206","206","206","NOAA 15","Operational"
