"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
1,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"0",,"Meteorological products",,,"Operational"
2,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"1",,"Hydrological products",,,"Operational"
3,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"2",,"Land surface products",,,"Operational"
4,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"3",,"Space products",,,"Operational"
5,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"4-9",,"Reserved",,,"Operational"
6,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"10",,"Oceanographic products",,,"Operational"
7,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"11-191",,"Reserved",,,"Operational"
8,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"192-254",,"Reserved for local use",,,"Operational"
9,"Code table 0.0 - Discipline of processed data in the GRIB message, number of GRIB Master table",,"255",,"Missing",,,"Operational"
10,"Code table 1.0 - GRIB master tables version number",,"0",,"Experimental",,,"Operational"
11,"Code table 1.0 - GRIB master tables version number",,"1",,"Version implemented on 7 November 2001",,,"Operational"
12,"Code table 1.0 - GRIB master tables version number",,"2",,"Version implemented on 4 November 2003",,,"Operational"
13,"Code table 1.0 - GRIB master tables version number",,"3",,"Version implemented on 2 November 2005",,,"Operational"
14,"Code table 1.0 - GRIB master tables version number",,"4",,"Version implemented on 7 November 2007",,,"Operational"
15,"Code table 1.0 - GRIB master tables version number",,"5",,"Version implemented on 4 November 2009",,,"Operational"
16,"Code table 1.0 - GRIB master tables version number",,"6",,"Version implemented on 15 September 2010",,,"Operational"
17,"Code table 1.0 - GRIB master tables version number",,"7",,"Version implemented on 4 May 2011",,,"Operational"
18,"Code table 1.0 - GRIB master tables version number",,"8",,"Pre-operational to be implemented by next amendment",,,"Operational"
19,"Code table 1.0 - GRIB master tables version number",,"9-254",,"Future versions",,,"Operational"
20,"Code table 1.0 - GRIB master tables version number",,"255",,"Missing",,,"Operational"
21,"Code table 1.1 - GRIB local tables version number",,"0",,"Local tables not used. Only table entries and templates from the current master table are valid",,,"Operational"
22,"Code table 1.1 - GRIB local tables version number",,"1-254",,"Number of local tables version used",,,"Operational"
23,"Code table 1.1 - GRIB local tables version number",,"255",,"Missing",,,"Operational"
24,"Code table 1.2 - Significance of reference time",,"0",,"Analysis",,,"Operational"
25,"Code table 1.2 - Significance of reference time",,"1",,"Start of forecast",,,"Operational"
26,"Code table 1.2 - Significance of reference time",,"2",,"Verifying time of forecast",,,"Operational"
27,"Code table 1.2 - Significance of reference time",,"3",,"Observation time",,,"Operational"
28,"Code table 1.2 - Significance of reference time",,"4-191",,"Reserved",,,"Operational"
29,"Code table 1.2 - Significance of reference time",,"192-254",,"Reserved for local use",,,"Operational"
30,"Code table 1.2 - Significance of reference time",,"255",,"Missing",,,"Operational"
31,"Code table 1.3 - Production status of data",,"0",,"Operational products",,,"Operational"
32,"Code table 1.3 - Production status of data",,"1",,"Operational test products",,,"Operational"
33,"Code table 1.3 - Production status of data",,"2",,"Research products",,,"Operational"
34,"Code table 1.3 - Production status of data",,"3",,"Re-analysis products",,,"Operational"
35,"Code table 1.3 - Production status of data",,"4",,"THORPEX Interactive Grand Global Ensemble (TIGGE)",,,"Operational"
36,"Code table 1.3 - Production status of data",,"5",,"THORPEX Interactive Grand Global Ensemble (TIGGE) test",,,"Operational"
37,"Code table 1.3 - Production status of data",,"6-191",,"Reserved",,,"Operational"
38,"Code table 1.3 - Production status of data",,"192-254",,"Reserved for local use",,,"Operational"
39,"Code table 1.3 - Production status of data",,"255",,"Missing",,,"Operational"
40,"Code table 1.4 - Type of data",,"0",,"Analysis products",,,"Operational"
41,"Code table 1.4 - Type of data",,"1",,"Forecast products",,,"Operational"
42,"Code table 1.4 - Type of data",,"2",,"Analysis and forecast products",,,"Operational"
43,"Code table 1.4 - Type of data",,"3",,"Control forecast products",,,"Operational"
44,"Code table 1.4 - Type of data",,"4",,"Perturbed forecast products",,,"Operational"
45,"Code table 1.4 - Type of data",,"5",,"Control and perturbed forecast products",,,"Operational"
46,"Code table 1.4 - Type of data",,"6",,"Processed satellite observations",,,"Operational"
47,"Code table 1.4 - Type of data",,"7",,"Processed radar observations",,,"Operational"
48,"Code table 1.4 - Type of data",,"8",,"Event probability",,,"Operational"
49,"Code table 1.4 - Type of data",,"9-191",,"Reserved",,,"Operational"
50,"Code table 1.4 - Type of data",,"192-254",,"Reserved for local use",,,"Operational"
51,"Code table 1.4 - Type of data",,"255",,"Missing",,,"Operational"
