"No","Title_E","OctetNo","Contents_E","Note_E","Status"
1,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
2,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","16","Scale factor of radius of spherical Earth",,"Operational"
3,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","17-20","Scaled value of radius of spherical Earth",,"Operational"
4,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
5,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
6,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
7,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
8,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","31-34","Ni - number of points along a parallel",,"Operational"
9,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","35-38","Nj - number of points along a meridian",,"Operational"
10,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","39-42","Basic angle of the initial production domain","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
11,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
12,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","47-50","La1 - latitude of first grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
13,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","51-54","Lo1 - longitude of first grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
14,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","55","Resolution and component flags","(see Flag table 3.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF33","Operational"
15,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","56-59","La2 - latitude of last grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
16,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","60-63","Lo2 - longitude of last grid point","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
17,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","64-67","Di - i direction increment","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
18,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","68-71","Dj - j direction increment","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
19,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","72","Scanning mode","(flags - see Flag table 3.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF34","Operational"
20,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Notes 2 and 3)#GRIB2_7_0_0_Temp.doc#G2_Gdt30n","Operational"
21,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt31n","Operational"
22,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the southern pole of projection",,"Operational"
23,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the southern pole of projection",,"Operational"
24,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Angle of rotation of projection",,"Operational"
25,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)#GRIB2_7_0_0_Temp.doc#G2_Gdt31n","Operational"
26,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt32n","Operational"
27,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the pole of stretching",,"Operational"
28,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the pole of stretching",,"Operational"
29,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Stretching factor",,"Operational"
30,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)#GRIB2_7_0_0_Temp.doc#G2_Gdt32n","Operational"
31,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt33n","Operational"
32,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the southern pole of projection",,"Operational"
33,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the southern pole of projection",,"Operational"
34,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Angle of rotation of projection",,"Operational"
35,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-88","Latitude of the pole of stretching",,"Operational"
36,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","89-92","Longitude of the pole of stretching",,"Operational"
37,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","93-96","Stretching factor",,"Operational"
38,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_7_0_0_Temp.doc#G2_Gdt33n","Operational"
39,"Grid definition template 3.10 - Mercator","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
40,"Grid definition template 3.10 - Mercator","16","Scale factor of radius of spherical Earth",,"Operational"
41,"Grid definition template 3.10 - Mercator","17-20","Scaled value of radius of spherical Earth",,"Operational"
42,"Grid definition template 3.10 - Mercator","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
43,"Grid definition template 3.10 - Mercator","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
44,"Grid definition template 3.10 - Mercator","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
45,"Grid definition template 3.10 - Mercator","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
46,"Grid definition template 3.10 - Mercator","31-34","Ni - number of points along a parallel",,"Operational"
47,"Grid definition template 3.10 - Mercator","35-38","Nj - number of points along a meridian",,"Operational"
48,"Grid definition template 3.10 - Mercator","39-42","La1 - latitude of first grid point",,"Operational"
49,"Grid definition template 3.10 - Mercator","43-46","Lo1 - longitude of first grid point",,"Operational"
50,"Grid definition template 3.10 - Mercator","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_7_0_0_CodeFlag.doc#G2_CF33","Operational"
51,"Grid definition template 3.10 - Mercator","48-51","LaD - latitude(s) at which the Mercator projection intersects the Earth (Latitude(s) where Di and Dj are specified)",,"Operational"
52,"Grid definition template 3.10 - Mercator","52-55","La2 - latitude of last grid point",,"Operational"
53,"Grid definition template 3.10 - Mercator","56-59","Lo2 - longitude of last grid point",,"Operational"
54,"Grid definition template 3.10 - Mercator","60","Scanning mode","(flags - see Flag table 3.4)#GRIB2_7_0_0_CodeFlag.doc#G2_CF34","Operational"
55,"Grid definition template 3.10 - Mercator","61-64","Orientation of the grid, angle between i direction on the map and the Equator","(see Note 1)#GRIB2_7_0_0_Temp.doc#G2_Gdt310n","Operational"
56,"Grid definition template 3.10 - Mercator","65-68","Di - longitudinal direction grid length","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Gdt310n","Operational"
57,"Grid definition template 3.10 - Mercator","69-72","Dj - latitudinal direction grid length","(see Note 2)#GRIB2_7_0_0_Temp.doc#G2_Gdt310n","Operational"
58,"Grid definition template 3.10 - Mercator","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Notes 2 and 3 of GDT 3.1)#GRIB2_7_0_0_Temp.doc#G2_Gdt310n","Operational"
59,"Grid definition template 3.20 - polar stereographic projection","15","Shape of the Earth","(see Code table 3.2)#GRIB2_7_0_0_CodeFlag.doc#G2_CF32","Operational"
60,"Grid definition template 3.20 - polar stereographic projection","16","Scale factor of radius of spherical Earth",,"Operational"
61,"Grid definition template 3.20 - polar stereographic projection","17-20","Scaled value of radius of spherical Earth",,"Operational"
62,"Grid definition template 3.20 - polar stereographic projection","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
63,"Grid definition template 3.20 - polar stereographic projection","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
64,"Grid definition template 3.20 - polar stereographic projection","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
65,"Grid definition template 3.20 - polar stereographic projection","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
66,"Grid definition template 3.20 - polar stereographic projection","31-34","Nx - number of points along the x-axis",,"Operational"
